DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
222237,222237,UT,DS,4,0,0,120,88,05:56:21 14-Feb-2023,SR,,,,,,,,401650000,
222237,222237,UT,DS,2,0,0,93,93,06:12:58 14-Feb-2023,A1,,,,,,,,401650000,-134
222237,222237,UT,DS,10,2,0,,,07:32:37 14-Feb-2023,SR,,,,,,,,401650000,
222237,222237,UT,DS,3,0,0,89,88,07:44:31 14-Feb-2023,A1,,,,,,,,401650000,-126
222237,222237,UT,DS,1,0,0,,,08:48:37 14-Feb-2023,NP,,,,,,,,401650000,-130
222237,222237,UT,DS,5,0,0,89,87,09:17:00 14-Feb-2023,NK,3,-23.8350,151.2478,-23.8350,151.2478,60,,401677648,-117
222237,222237,UT,DS,8,2,0,,,07:08:40 15-Feb-2023,SR,0,-23.2667,151.6570,-23.2667,151.6570,40,,401677640,-115
222237,222237,UT,DS,6,1,0,,,07:30:33 15-Feb-2023,A1,0,-23.2918,151.7187,-23.2918,151.7187,46,,401677634,-116
222237,222237,UT,DS,4,0,0,121,90,08:37:07 15-Feb-2023,NP,0,-23.3031,151.6861,-23.3031,151.6861,47,,401677642,-130
222237,222237,UT,DS,9,1,0,,,08:41:41 15-Feb-2023,SR,0,-23.2756,151.7046,-23.2756,151.7046,46,,401677677,-129
222237,222237,UT,DS,3,0,0,272,182,08:57:32 15-Feb-2023,NK,A,-23.2571,151.6958,-23.2571,151.6958,6,,401677635,-128
222237,222237,UT,DS,1,0,0,,,09:04:56 15-Feb-2023,A1,B,-23.2760,151.7086,-23.2760,151.7086,6,,401677652,-138
222237,222237,UT,DS,5,0,0,89,88,09:58:49 15-Feb-2023,MC,0,-23.2997,151.6877,-23.2997,151.6877,48,,401677648,-119
222237,222237,UT,DS,10,3,0,,,10:15:40 15-Feb-2023,NP,1,-23.2940,151.7030,-23.2940,151.7030,58,,401677644,-117
222237,222237,UT,DS,6,1,0,,,10:30:10 15-Feb-2023,NK,2,-23.2941,151.6971,-23.2941,151.6971,56,,401677645,-121
222237,222237,UT,DS,5,0,0,111,90,10:48:14 15-Feb-2023,MB,0,-23.2789,151.6859,-23.2789,151.6859,46,,401677645,-132
222237,222237,UT,DS,6,1,0,,,11:16:40 15-Feb-2023,NN,1,-23.2869,151.6858,,,56,,401677641,-130
222237,222237,UT,DS,8,3,0,,,11:38:19 15-Feb-2023,MC,0,-23.2912,151.6810,-23.2912,151.6810,56,,401677641,-115
222237,222237,UT,DS,5,1,0,,,11:57:44 15-Feb-2023,NP,1,-23.2887,151.6837,-23.2887,151.6837,56,,401677640,-125
