DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
222239,222239,UT,10:28:19 14-Feb-2023,,,0,-23.8540,151.1545,CRC 14.1,10:28:19 14-Feb-2023,Status,78,77,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,09:55:31 20-Feb-2023,,,1,-23.2489,151.7835,CRC 86.220,15:53:39 18-Feb-2023,Status,74,208,165,252,21,153,184,142,137,63,89,204,156,233,4,163,190,224,122,82,67,67,40,,,,,,,,,
222239,222239,UT,11:11:11 21-Feb-2023,,,0,-23.2515,151.7796,CRC 2.1,11:11:11 21-Feb-2023,Status,66,58,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,11:18:39 21-Feb-2023,,,0,-23.2515,151.7796,CRC 4.1,,,100,134,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,06:59:26 22-Feb-2023,,,2,-23.2514,151.7667,CRC 13.12,,,109,11,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,08:34:22 22-Feb-2023,,,B,-23.2534,151.7691,CRC 4.5,,,180,6,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,19:53:28 23-Feb-2023,,,2,-23.2505,151.7784,CRC 2.14,19:53:28 23-Feb-2023,Status,82,173,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,19:53:28 23-Feb-2023,,,2,-23.2522,151.7717,CRC 2.10,19:53:28 23-Feb-2023,Status,82,117,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,19:31:18 24-Feb-2023,,,2,-23.2531,151.7779,CRC 2.11,19:31:18 24-Feb-2023,Status,82,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,19:31:53 24-Feb-2023,,,2,-23.2531,151.7779,CRC 138.250,19:38:16 24-Feb-2023,Status,81,80,165,253,104,33,76,164,44,78,100,23,86,19,57,14,1,177,27,211,65,127,208,,,,,,,,,
222239,222239,UT,22:14:21 24-Feb-2023,,,B,-23.2526,151.7808,CRC 15.4,22:14:21 24-Feb-2023,Status,15,105,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222239,222239,UT,08:28:42 25-Feb-2023,,,0,-23.2609,151.7534,CRC 0.2,08:28:42 25-Feb-2023,Status,80,231,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
