Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7495,222239,3,NP,0,1,14-Feb-2023,10:30:36,-23.8540,151.1545,Speed to avg loc 23 x median,401677675,-132,60,0,14-Feb-2023,10:28:19,-23.8540,151.1545,274,4296,405517,45,77,,,78,77,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,NP,0,1,14-Feb-2023,10:30:36,-23.8540,151.1545,Speed to avg loc 23 x median,401677675,-132,60,0,14-Feb-2023,10:29:52,-23.8540,151.1545,274,4296,405517,45,77,,,93,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,NP,0,1,14-Feb-2023,10:30:36,-23.8540,151.1545,Speed to avg loc 23 x median,401677675,-132,60,0,14-Feb-2023,10:31:22,-23.8540,151.1545,274,4296,405517,45,77,,,108,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,NP,0,1,14-Feb-2023,10:30:36,-23.8540,151.1545,Speed to avg loc 23 x median,401677675,-132,60,0,14-Feb-2023,10:32:53,-23.8540,151.1545,274,4296,405517,45,77,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,MC,B,2,14-Feb-2023,11:59:42,-23.8371,151.2054,Speed to avg loc 22 x median,401677666,-131,8,0,14-Feb-2023,11:58:13,-23.8371,151.2054,179,2845,202294,40,84,,,111,129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,MC,B,2,14-Feb-2023,11:59:42,-23.8371,151.2054,Speed to avg loc 22 x median,401677666,-131,8,0,14-Feb-2023,12:01:12,-23.8371,151.2054,179,2845,202294,40,84,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,SR,1,3,15-Feb-2023,07:00:00,-23.2715,151.6673,,401677665,-118,40,0,15-Feb-2023,07:02:57,-23.2715,151.6673,630,1112,2311,534,102,,,67,145,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,SR,1,3,15-Feb-2023,07:00:00,-23.2715,151.6673,,401677665,-118,40,0,15-Feb-2023,07:04:27,-23.2715,151.6673,630,1112,2311,534,102,,,84,135,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,SR,1,3,15-Feb-2023,07:00:00,-23.2715,151.6673,,401677665,-118,40,0,15-Feb-2023,07:05:55,-23.2715,151.6673,630,1112,2311,534,102,,,104,138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,222239,3,SR,1,3,15-Feb-2023,07:00:00,-23.2715,151.6673,,401677665,-118,40,1,15-Feb-2023,07:07:25,-23.2715,151.6673,630,1112,2311,534,102,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
