DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
141148,141148,,SPOT,,,08:35:41 28-Feb-2015,,,,,,,,,384,3.424,,0.208,28.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,22:33:24 28-Feb-2015,,,,,,,,,384,3.440,,0.196,29.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:05:45 03-Mar-2015,,,,,,,,,640,3.440,,0.212,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:21:59 03-Mar-2015,,,,,,,,,640,3.440,,0.204,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:39:43 03-Mar-2015,,,,,,,,,640,3.424,,0.216,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,20:19:31 03-Mar-2015,,,,,,,,,640,3.328,,0.412,28.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,12:59:18 05-Mar-2015,,,,,,,,,640,3.440,,0.216,29.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,17:27:48 05-Mar-2015,,,,,,,,,640,3.424,,0.224,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:02:18 06-Mar-2015,,,,,,,,,640,3.440,,0.204,29.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,05:46:21 09-Mar-2015,,,,,,,,,640,3.424,,0.188,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:19:56 09-Mar-2015,,,,,,,,,640,3.440,,0.196,30.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:48:25 09-Mar-2015,,,,,,,,,640,3.424,,0.196,30.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,08:51:48 09-Mar-2015,,,,,,,,,640,3.408,,0.220,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,06:39:22 10-Mar-2015,,,,,,,,,640,3.424,,0.196,28.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:57:16 10-Mar-2015,,,,,,,,,640,3.440,,0.188,29.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:48:33 11-Mar-2015,,,,,,,,,896,3.392,,0.252,28.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141148,141148,,SPOT,,,07:10:12 12-Mar-2015,,,,,,,,,8064,3.216,,0.852,-17.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
