DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
146704,146704,SPOT,06:39:25 03-Mar-2015,,,A,-16.5462,145.7190,Voltage: 2.35,06:39:25 03-Mar-2015,Status,131,170,147,88,162,209,237,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,06:42:26 12-Mar-2015,,,,,,Voltage: 3.82,06:42:26 12-Mar-2015,Status,13,192,239,163,41,81,249,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,07:13:46 12-Mar-2015,,,,,,Temperature: 43.26,07:13:46 12-Mar-2015,Status,5,136,214,51,73,235,62,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,07:13:46 12-Mar-2015,,,A,-16.3826,145.7794,Temperature: -61.45,07:13:46 12-Mar-2015,Status,5,136,214,51,76,60,13,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,08:54:23 28-Mar-2015,,,B,-16.3103,145.9188,Temperature: 85.00,08:54:23 28-Mar-2015,Status,9,126,214,49,75,67,204,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,07:51:38 30-Mar-2015,,,B,-16.4279,145.7996,Voltage: 1.31,07:51:38 30-Mar-2015,Status,8,82,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,16:07:08 01-Apr-2015,,,,,,Voltage: 3.94,16:07:08 01-Apr-2015,Status,10,164,246,67,161,210,192,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,21:09:26 07-Apr-2015,,,,,,Voltage: 1.28,21:09:26 07-Apr-2015,Status,15,45,80,25,180,84,183,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,04:27:01 12-Apr-2015,,,A,-16.3297,145.7932,Voltage: 0.90,04:27:01 12-Apr-2015,Status,12,56,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146704,146704,SPOT,08:30:11 15-Apr-2015,,,B,-16.4238,145.8370,Voltage: 1.39,08:30:11 15-Apr-2015,Status,27,46,87,142,97,244,224,,,,,,,,,,,,,,,,,,,,,,,,,
