Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5171,146706,7,NK, ,1,28-Feb-2015,19:50:24,,,,401650000,-128,,0,28-Feb-2015,19:50:24,,,,,,,,,,4,133,213,60,89,50,216,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN, ,2,01-Mar-2015,07:03:20,,,,401650000,-125,,0,01-Mar-2015,07:03:20,,,,,,,,,,4,130,214,57,83,58,211,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NP, ,3,01-Mar-2015,16:48:20,,,,401650000,-134,,0,01-Mar-2015,16:48:20,,,,,,,,,,5,198,237,241,91,50,15,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,B,4,01-Mar-2015,20:26:40,-16.2693,145.7585,,401677562,-122,,0,01-Mar-2015,20:24:20,-16.2693,145.7585,281,6085,,,,,,4,119,212,59,86,38,213,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,B,4,01-Mar-2015,20:26:40,-16.2693,145.7585,,401677562,-122,,0,01-Mar-2015,20:29:01,-16.2693,145.7585,281,6085,,,,,,4,130,214,63,91,42,211,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NP,B,5,02-Mar-2015,03:48:24,-16.2550,145.8575,,401677552,-129,8,0,02-Mar-2015,03:48:24,-16.2550,145.8575,,4992,18507,1346,65,,,4,124,215,55,85,54,216,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,B,6,03-Mar-2015,08:39:28,-16.3114,145.7486,,401677565,-124,,0,03-Mar-2015,08:38:38,-16.3114,145.7486,102,3162,124062,80,87,,,4,120,216,51,81,66,217,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,B,6,03-Mar-2015,08:39:28,-16.3114,145.7486,,401677565,-124,,0,03-Mar-2015,08:40:20,-16.3114,145.7486,102,3162,124062,80,87,,,4,127,214,57,85,54,217,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN,B,7,04-Mar-2015,08:08:25,-16.2757,145.8229,,401677569,-131,,0,04-Mar-2015,08:08:26,-16.2757,145.8229,,5699,13645,2379,77,,,4,143,214,185,117,49,42,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,B,8,04-Mar-2015,08:08:25,-16.3292,145.7637,,401677580,-120,,0,04-Mar-2015,08:08:26,-16.3292,145.7637,,6110,43267,862,81,,,4,143,214,57,86,78,213,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN,B,9,04-Mar-2015,17:44:12,-16.2841,145.8546,,401677572,-135,8,0,04-Mar-2015,17:44:13,-16.2841,145.8546,,5588,13864,2252,88,,,5,156,82,93,94,42,211,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,B,10,04-Mar-2015,18:54:50,-16.2919,145.8347,,401677559,-137,8,0,04-Mar-2015,18:54:51,-16.2919,145.8347,,4395,16344,1181,105,,,5,164,211,218,84,66,148,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,B,11,04-Mar-2015,19:54:04,-16.2930,145.7911,,401677567,-126,8,0,04-Mar-2015,19:51:22,-16.2930,145.7911,324,1111,15289,80,176,,,5,166,211,87,88,50,214,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,B,11,04-Mar-2015,19:54:04,-16.2930,145.7911,,401677567,-126,8,0,04-Mar-2015,19:56:46,-16.2930,145.7911,324,1111,15289,80,176,,,5,156,206,119,93,38,214,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN,B,12,05-Mar-2015,17:33:23,-16.2087,145.5897,,401677541,-133,,0,05-Mar-2015,17:33:23,-16.2087,145.5897,,4165,6800,2551,132,,,5,130,215,63,91,38,211,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN,B,13,05-Mar-2015,19:09:58,-16.2257,145.5899,,401677544,-128,8,0,05-Mar-2015,19:09:58,-16.2257,145.5899,,6473,23582,1776,111,,,5,181,212,81,83,54,211,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,A,14,05-Mar-2015,19:58:07,-16.2906,145.7366,,401677565,-122,6,0,05-Mar-2015,19:58:08,-16.2906,145.7366,506,461,808,263,97,,,33,95,87,85,84,106,85,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,A,14,05-Mar-2015,19:58:07,-16.2906,145.7366,,401677565,-122,6,0,05-Mar-2015,20:02:54,-16.2906,145.7366,506,461,808,263,97,,,5,127,214,62,93,38,212,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,A,14,05-Mar-2015,19:58:07,-16.2906,145.7366,,401677565,-122,6,0,05-Mar-2015,20:06:34,-16.2906,145.7366,506,461,808,263,97,,,5,167,213,76,90,42,212,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN,B,15,06-Mar-2015,06:04:08,-16.4710,146.1940,,401677588,-131,8,0,06-Mar-2015,06:04:08,-16.4710,146.1940,,12527,19163,8189,102,,,5,121,215,56,169,210,213,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN,B,16,06-Mar-2015,19:04:56,-16.6574,146.7462,,401677508,-133,,0,06-Mar-2015,19:04:56,-16.6574,146.7462,,13943,18394,10567,91,,,5,154,210,125,114,229,5,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,Z,17,06-Mar-2015,20:42:10,-16.4216,146.1450,,401677613,-130,6,0,06-Mar-2015,20:42:10,-16.4216,146.1450,,38268,266794,5488,122,,,5,140,215,56,86,70,213,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NP,B,18,07-Mar-2015,04:33:17,-16.2993,145.9657,,401677575,-127,8,0,07-Mar-2015,04:33:17,-16.2993,145.9657,,14397,50928,4069,77,,,5,134,214,60,92,62,211,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,A,19,07-Mar-2015,20:38:56,-16.3610,145.6987,,401677557,-125,,0,07-Mar-2015,20:37:22,-16.3610,145.6987,237,1054,19833,56,89,,,5,154,210,99,100,66,213,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,A,19,07-Mar-2015,20:38:56,-16.3610,145.6987,,401677557,-125,,0,07-Mar-2015,20:38:09,-16.3610,145.6987,237,1054,19833,56,89,,,5,193,212,84,8,44,8,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,A,19,07-Mar-2015,20:38:56,-16.3610,145.6987,,401677557,-125,,0,07-Mar-2015,20:41:19,-16.3610,145.6987,237,1054,19833,56,89,,,5,175,212,81,91,42,194,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR,B,20,08-Mar-2015,09:22:48,-16.3801,145.8658,,401677542,-135,,0,08-Mar-2015,09:22:48,-16.3801,145.8658,,5131,9035,2913,104,,,5,161,209,199,37,198,198,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,MB,B,21,08-Mar-2015,11:16:09,-16.2537,145.5987,,401677514,-128,8,0,08-Mar-2015,11:15:46,-16.2537,145.5987,48,4679,45159,484,76,,,46,136,253,209,25,154,202,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,MB,B,21,08-Mar-2015,11:16:09,-16.2537,145.5987,,401677514,-128,8,0,08-Mar-2015,11:16:34,-16.2537,145.5987,48,4679,45159,484,76,,,5,110,215,53,82,38,213,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,MB, ,22,09-Mar-2015,12:36:43,,,,401650000,-134,,0,09-Mar-2015,12:36:43,,,,,,,,,,6,42,44,26,231,152,23,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,SR, ,23,10-Mar-2015,20:42:40,,,,401650000,-135,,0,10-Mar-2015,20:42:40,,,,,,,,,,6,114,214,37,139,174,60,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK, ,24,10-Mar-2015,20:42:40,,,,401650000,-132,,0,10-Mar-2015,20:42:40,,,,,,,,,,6,114,214,60,224,237,20,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NN, ,25,11-Mar-2015,06:53:20,,,,401650000,-133,,0,11-Mar-2015,06:53:20,,,,,,,,,,6,139,215,51,80,90,207,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,0,26,11-Mar-2015,07:39:16,-16.2242,145.8502,,401677563,-127,40,0,11-Mar-2015,07:34:09,-16.2242,145.8502,358,1595,10016,254,80,,,6,145,207,88,47,155,146,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,0,26,11-Mar-2015,07:39:16,-16.2242,145.8502,,401677563,-127,40,0,11-Mar-2015,07:34:57,-16.2242,145.8502,358,1595,10016,254,80,,,6,100,215,53,87,11,215,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,0,26,11-Mar-2015,07:39:16,-16.2242,145.8502,,401677563,-127,40,0,11-Mar-2015,07:35:44,-16.2242,145.8502,358,1595,10016,254,80,,,4,80,216,48,91,213,80,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,0,26,11-Mar-2015,07:39:16,-16.2242,145.8502,,401677563,-127,40,0,11-Mar-2015,07:36:50,-16.2242,145.8502,358,1595,10016,254,80,,,6,149,213,68,89,50,209,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,0,26,11-Mar-2015,07:39:16,-16.2242,145.8502,,401677563,-127,40,0,11-Mar-2015,07:38:25,-16.2242,145.8502,358,1595,10016,254,80,,,6,166,212,73,92,58,209,,,,,,,,,,,,,,,,,,,,,,,,,
5171,146706,7,NK,0,26,11-Mar-2015,07:39:16,-16.2242,145.8502,,401677563,-127,40,0,11-Mar-2015,07:40:07,-16.2242,145.8502,358,1595,10016,254,80,,,6,99,215,49,72,54,209,,,,,,,,,,,,,,,,,,,,,,,,,
