DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
146708,146708,UT,21:01:27.159999 17-Feb-2015,FastGPS,,-16.3657,146.2950,,,,,,,,,,
146708,146708,UT,20:45:52.9 19-Feb-2015,FastGPS,,-16.6270,146.4870,,,,,,,,,,
146708,146708,UT,17:24:35.35 20-Feb-2015,FastGPS,,-16.8748,146.6566,,,,,,,,,,
146708,146708,UT,04:10:03.02 21-Feb-2015,FastGPS,,-17.0914,146.7386,,,,,,,,,,
146708,146708,UT,12:03:02.01 22-Feb-2015,FastGPS,,-17.8705,147.0061,,,,,,,,,,
146708,146708,UT,04:59:17.38 23-Feb-2015,FastGPS,,-18.2196,147.4479,,,,,,,,,,
146708,146708,UT,20:02:29.09 24-Feb-2015,FastGPS,,-18.3441,147.3737,,,,,,,,,,
146708,146708,UT,06:18:54.01 26-Feb-2015,FastGPS,,-18.3767,146.9373,,,,,,,,,,
146708,146708,UT,06:58:13.16 01-Mar-2015,FastGPS,,-17.9418,147.1129,,,,,,,,,,
146708,146708,UT,04:14:58.84 02-Mar-2015,FastGPS,,-17.8024,147.2271,,,,,,,,,,
146708,146708,UT,05:21:02.4 03-Mar-2015,FastGPS,,-17.7298,147.0175,,,,,,,,,,
146708,146708,UT,06:38:01.48 04-Mar-2015,FastGPS,,-17.6954,146.7773,,,,,,,,,,
146708,146708,UT,10:25:40.6 05-Mar-2015,FastGPS,,-17.4030,146.7676,,,,,,,,,,
146708,146708,UT,17:06:02.88 07-Mar-2015,FastGPS,,-17.0491,146.5602,,,,,,,,,,
146708,146708,UT,10:18:25 08-Mar-2015,FastGPS,,-17.0418,146.8150,,,,,,,,,,
146708,146708,UT,06:53:29.03 12-Mar-2015,FastGPS,,-16.7751,146.3888,,,,,,,,,,
146708,146708,UT,04:01:07.86 14-Mar-2015,FastGPS,,-16.4055,146.1871,,,,,,,,,,
146708,146708,UT,19:07:17 14-Mar-2015,Argos,1,-16.4233,146.1320,612,1709,218,101,,,,,,
146708,146708,UT,19:07:40 14-Mar-2015,Argos,1,-16.4180,146.1364,538,2043,141,88,,,,,,
146708,146708,UT,06:42:00.47 15-Mar-2015,FastGPS,,-16.2523,146.1528,,,,,,,,,,
146708,146708,UT,17:17:50 15-Mar-2015,Argos,B,-16.3575,146.1659,12981,23378,7207,113,,,,,,
146708,146708,UT,22:21:39 15-Mar-2015,Argos,B,-16.2143,146.1711,7371,49428,1099,127,,,,,,
146708,146708,UT,12:17:03.52 21-Mar-2015,FastGPS,,-16.6934,146.4344,,,,,,,,,,
146708,146708,UT,20:09:31.55 22-Mar-2015,FastGPS,,-17.3201,146.6630,,,,,,,,,,
146708,146708,UT,04:02:39.67 23-Mar-2015,FastGPS,,-17.4033,146.6871,,,,,,,,,,
146708,146708,UT,04:05:29.08 25-Mar-2015,FastGPS,,-17.1253,146.5856,,,,,,,,,,
146708,146708,UT,08:20:12.42 26-Mar-2015,FastGPS,,-16.9676,146.5271,,,,,,,,,,
146708,146708,UT,05:43:01.46 03-Apr-2015,FastGPS,,-16.5883,146.2816,,,,,,,,,,
146708,146708,UT,05:15:32.19 06-Apr-2015,FastGPS,,-16.6395,146.0583,,,,,,,,,,
146708,146708,UT,08:00:06 09-Apr-2015,Argos,A,-16.2718,146.1204,214,809,56,43,,,,,,
