,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
146708,17-Feb-2015,21:03:53,1,-142.000000,,,0,7,,,,,,,,,,,,,,15,5,5930,,,37,13,3786,,,,20,4524,,,,26,31285,,,,10,31630,,,,17,17990,,,,28,5318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,19-Feb-2015,20:48:25,2,-150.000000,,,0,7,,,,,,,,,,,,,,15,23,13609,,,42,30,5873,,,,20,18119,,,,5,30389,,,,7,16914,,,,10,4890,,,,28,3356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,20-Feb-2015,17:27:11,2,-153.000000,,,0,6,,,,,,,,,,,,,,15,19,22083,,,40,23,20290,,,,27,9614,,,,16,20314,,,,20,762,,,,7,7690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,21-Feb-2015,04:12:40,2,-155.000000,,,0,5,,,,,,,,,,,,,,15,15,17566,,,37,5,20466,,,,21,31606,,,,24,24537,,,,25,5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,22-Feb-2015,12:05:43,1,-160.000000,,,0,5,,,,,,,,,,,,,,15,8,9685,,,40,22,18357,,,,31,4241,,,,18,28609,,,,4,6104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,23-Feb-2015,05:02:02,1,-162.000000,,,0,4,,,,,,,,,,,,,,15,15,23693,,,,29,15722,,,,2,5774,,,,5,17523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,24-Feb-2015,20:05:19,4,-169.000000,,,0,6,,,,,,,,,,,,,,15,5,25831,,,43,13,17489,,,,9,8140,,,,17,6114,,,,19,3498,,,,30,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,25-Feb-2015,04:12:47,1,-170.000000,,,0,1,,,,,,,,,,,,,,15,2,3728,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,26-Feb-2015,06:21:50,2,-174.000000,,,0,5,,,,,,,,,,,,,,15,22,5021,,,41,12,30835,,,,13,13182,,,,29,25264,,,,18,12228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,01-Mar-2015,07:01:20,2,-186.000000,,,0,6,,,,,,,,,,,,,,15,22,1392,,,40,29,7557,,,,14,31742,,,,16,7006,,,,18,3190,,,,25,12282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,02-Mar-2015,04:18:08,2,-189.000000,,,0,8,,,,,,,,,,,,,,15,13,24898,,,,5,622,,,,12,8724,,,,18,32101,,,,24,26516,,,,25,16150,,,,29,26602,,,,2,31036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,03-Mar-2015,05:24:16,1,-193.000000,,,0,6,,,,,,,,,,,,,,15,29,22260,,,43,5,10220,,,,18,23730,,,,22,7117,,,,15,760,,,,13,15328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,04-Mar-2015,06:41:20,1,-197.000000,,,0,6,,,,,,,,,,,,,,15,16,24078,,,38,29,23455,,,,18,6208,,,,21,7697,,,,22,22276,,,,25,18542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,05-Mar-2015,10:29:03,2,-201.000000,,,0,6,,,,,,,,,,,,,,15,19,28010,,,40,8,25927,,,,32,3070,,,,4,6503,,,,27,24314,,,,31,6996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,07-Mar-2015,17:09:33,1,-209.000000,,,0,8,,,,,,,,,,,,,,15,20,30498,,,,10,18396,,,,3,28983,,,,7,9574,,,,9,26846,,,,30,14676,,,,19,27578,,,,23,30050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,08-Mar-2015,10:21:57,1,-212.000000,,,0,6,,,,,,,,,,,,,,15,27,29668,,,42,8,1436,,,,19,10960,,,,31,6781,,,,21,14804,,,,32,23548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,12-Mar-2015,06:57:15,1,-226.000000,,,0,5,,,,,,,,,,,,,,15,14,8532,,,40,16,18885,,,,21,9930,,,,18,23012,,,,25,22872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146708,14-Mar-2015,04:05:04,1,-233.000000,,,0,4,,,,,,,,,,,,,,15,18,3836,,,,31,16170,,,,5,9244,,,,13,25264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
