DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
209947,209947,UT,09:11:32 08-Mar-2022,Argos,0,-16.8505,145.8291,3169,36964,271,99,,,,,,
209947,209947,UT,00:39:58 09-Mar-2022,Argos,B,-16.6616,145.8450,4775,13520,1686,99,,,,,,
209947,209947,UT,11:23:36 10-Mar-2022,Argos,2,-16.5491,145.8660,429,840,219,108,,,,,,
209947,209947,UT,11:24:49 10-Mar-2022,Argos,1,-16.5531,145.8568,581,662,510,178,,,,,,
209947,209947,UT,07:46:54 11-Mar-2022,Argos,B,-16.6881,145.8629,18908,79911,4473,92,,,,,,
209947,209947,UT,09:45:35 11-Mar-2022,Argos,B,-16.7205,145.9264,19854,61225,6438,89,,,,,,
209947,209947,UT,12:16:19 12-Mar-2022,Argos,B,-16.6250,145.9090,19412,495117,761,75,,,,,,
209947,209947,UT,20:11:40 12-Mar-2022,Argos,B,-16.6378,145.9250,5959,13446,2640,66,,,,,,
209947,209947,UT,20:49:31 12-Mar-2022,Argos,B,-16.5227,145.8658,2457,9390,642,113,,,,,,
209947,209947,UT,23:48:30 12-Mar-2022,Argos,B,-16.4981,145.8414,2124,2741,1645,80,,,,,,
209947,209947,UT,08:45:45 13-Mar-2022,Argos,B,-16.4117,145.8338,3667,72483,185,32,,,,,,
209947,209947,UT,08:48:32 13-Mar-2022,Argos,B,-16.4188,145.8238,3363,91105,124,19,,,,,,
209947,209947,UT,23:08:24 13-Mar-2022,Argos,B,-16.4299,145.8165,3386,6062,1891,132,,,,,,
209947,209947,UT,23:39:25 13-Mar-2022,Argos,1,-16.6063,145.9819,580,1725,195,81,,,,,,
209947,209947,UT,08:38:04 14-Mar-2022,Argos,B,-16.6436,145.9862,9077,13564,6073,84,,,,,,
209947,209947,UT,10:05:06 14-Mar-2022,Argos,1,-16.7065,146.0427,1261,7094,224,65,,,,,,
209947,209947,UT,10:14:11 14-Mar-2022,Argos,2,-16.7163,146.0360,344,2083,56,77,,,,,,
209947,209947,UT,10:46:55 14-Mar-2022,Argos,B,-16.7292,146.0274,3803,19427,744,156,,,,,,
209947,209947,UT,08:20:30 15-Mar-2022,Argos,B,-16.6756,145.9991,2543,6491,996,3,,,,,,
209947,209947,UT,08:28:33 15-Mar-2022,Argos,B,-16.6686,145.9994,1442,1914,1086,8,,,,,,
209947,209947,UT,09:43:37 15-Mar-2022,Argos,2,-16.6878,145.9711,324,763,137,63,,,,,,
209947,209947,UT,10:05:19 15-Mar-2022,Argos,B,-16.6891,145.9722,897,3947,203,75,,,,,,
209947,209947,UT,11:21:54 15-Mar-2022,Argos,B,-16.6959,146.0014,1595,2605,976,75,,,,,,
209947,209947,UT,11:21:54 15-Mar-2022,Argos,B,-16.6971,145.9995,2530,4131,1548,79,,,,,,
209947,209947,UT,12:09:03 15-Mar-2022,Argos,B,-16.6838,145.9922,1720,2838,1041,47,,,,,,
209947,209947,UT,12:09:03 15-Mar-2022,Argos,B,-16.6849,145.9929,1599,2457,1041,51,,,,,,
209947,209947,UT,09:48:09 16-Mar-2022,Argos,B,-16.6859,146.1026,3730,18227,763,3,,,,,,
209947,209947,UT,10:50:39 16-Mar-2022,Argos,1,-16.5504,146.1061,1076,2786,415,94,,,,,,
209947,209947,UT,10:51:20 16-Mar-2022,Argos,0,-16.5535,146.0935,6591,47684,910,72,,,,,,
209947,209947,UT,11:45:12 16-Mar-2022,Argos,1,-16.5375,146.0888,553,4607,66,80,,,,,,
209947,209947,UT,11:47:21 16-Mar-2022,Argos,2,-16.5374,146.0886,283,809,99,59,,,,,,
209947,209947,UT,13:36:02 16-Mar-2022,Argos,B,-16.5603,146.0870,3418,5606,2083,91,,,,,,
209947,209947,UT,08:04:21 17-Mar-2022,Argos,B,-16.6629,146.0102,11723,46557,2951,123,,,,,,
209947,209947,UT,09:39:03 17-Mar-2022,Argos,2,-16.7121,146.0374,273,327,228,24,,,,,,
209947,209947,UT,10:23:12 17-Mar-2022,Argos,B,-16.7160,146.0469,826,3849,177,47,,,,,,
209947,209947,UT,10:37:59 17-Mar-2022,Argos,B,-16.7162,146.0466,916,1759,477,48,,,,,,
209947,209947,UT,11:16:17 17-Mar-2022,Argos,A,-16.6779,146.0691,762,2024,286,9,,,,,,
209947,209947,UT,11:25:46 17-Mar-2022,Argos,B,-16.6781,146.0691,1406,1673,1182,11,,,,,,
209947,209947,UT,11:35:55 17-Mar-2022,Argos,B,-16.6849,146.0836,888,4505,175,41,,,,,,
209947,209947,UT,13:05:16 17-Mar-2022,Argos,B,-16.6484,146.0905,2414,2534,2299,55,,,,,,
209947,209947,UT,13:15:54 17-Mar-2022,Argos,3,-16.7220,146.0823,190,391,91,85,,,,,,
209947,209947,UT,13:14:19 19-Mar-2022,Argos,B,-16.8209,146.1244,6043,13416,2721,34,,,,,,
209947,209947,UT,10:56:26 20-Mar-2022,Argos,B,-16.5221,146.3564,12121,12590,11668,94,,,,,,
209947,209947,UT,11:00:27 20-Mar-2022,Argos,B,-16.6100,146.2855,10776,32515,3571,43,,,,,,
209947,209947,UT,11:07:20 20-Mar-2022,Argos,A,-16.6080,146.3054,3452,31892,373,109,,,,,,
209947,209947,UT,12:39:18 20-Mar-2022,Argos,1,-16.5551,146.2117,903,5532,147,78,,,,,,
209947,209947,UT,12:47:25 20-Mar-2022,Argos,B,-16.5526,146.2110,1475,1828,1189,79,,,,,,
209947,209947,UT,22:23:09 20-Mar-2022,Argos,B,-16.4757,146.0912,7867,11678,5299,122,,,,,,
209947,209947,UT,23:02:55 20-Mar-2022,Argos,B,-16.5391,146.0912,4975,16916,1463,71,,,,,,
209947,209947,UT,08:26:23 21-Mar-2022,Argos,B,-16.6902,146.0162,10754,13765,8401,61,,,,,,
209947,209947,UT,10:31:52 21-Mar-2022,Argos,B,-16.7094,145.9477,10407,15882,6819,37,,,,,,
209947,209947,UT,10:31:52 21-Mar-2022,Argos,B,-16.6961,145.9484,7351,12346,4376,16,,,,,,
209947,209947,UT,19:53:16 21-Mar-2022,Argos,B,-16.6917,145.8584,3375,5271,2161,104,,,,,,
209947,209947,UT,20:05:55 21-Mar-2022,Argos,3,-16.6161,145.9335,176,407,75,87,,,,,,
209947,209947,UT,20:07:43 21-Mar-2022,Argos,2,-16.6176,145.9322,378,749,190,104,,,,,,
209947,209947,UT,20:11:38 21-Mar-2022,Argos,2,-16.6206,145.9318,323,736,141,40,,,,,,
209947,209947,UT,21:56:53 21-Mar-2022,Argos,B,-16.5977,145.9685,1335,6273,284,144,,,,,,
209947,209947,UT,23:11:34 21-Mar-2022,Argos,B,-16.5987,145.9677,1940,2933,1282,141,,,,,,
209947,209947,UT,08:04:19 22-Mar-2022,Argos,B,-16.5967,145.9707,5010,6956,3607,147,,,,,,
209947,209947,UT,08:38:58 22-Mar-2022,Argos,1,-16.5544,145.9308,512,932,281,173,,,,,,
209947,209947,UT,08:47:47 22-Mar-2022,Argos,B,-16.5372,145.9340,1326,1945,903,116,,,,,,
209947,209947,UT,10:07:00 22-Mar-2022,Argos,0,-16.5477,145.9131,6693,25927,1727,91,,,,,,
209947,209947,UT,10:20:35 22-Mar-2022,Argos,3,-16.5457,145.8911,226,483,105,87,,,,,,
209947,209947,UT,19:37:07 22-Mar-2022,Argos,B,-16.4862,145.8931,8480,17296,4157,92,,,,,,
209947,209947,UT,19:50:53 22-Mar-2022,Argos,B,-16.4398,145.7702,6649,12113,3649,76,,,,,,
209947,209947,UT,19:59:41 22-Mar-2022,Argos,A,-16.4574,145.7540,2910,11467,738,21,,,,,,
209947,209947,UT,08:18:16 23-Mar-2022,Argos,A,-16.3474,145.7984,6473,65242,642,115,,,,,,
209947,209947,UT,08:29:54 23-Mar-2022,Argos,B,-16.3133,145.7340,15740,441368,561,116,,,,,,
209947,209947,UT,09:42:13 23-Mar-2022,Argos,2,-16.2915,145.7040,281,812,97,70,,,,,,
209947,209947,UT,10:08:51 23-Mar-2022,Argos,2,-16.2904,145.6867,255,2798,23,77,,,,,,
209947,209947,UT,10:09:42 23-Mar-2022,Argos,A,-16.2903,145.6849,276,450,168,74,,,,,,
209947,209947,UT,00:56:44 24-Mar-2022,Argos,B,-15.7632,145.2803,6306,8235,4829,142,,,,,,Lat > 4 deviations from mean
209947,209947,UT,07:35:21 24-Mar-2022,Argos,B,-16.4200,145.1693,1100,2127,568,162,,,,,,Lon > 4 deviations from mean
209947,209947,UT,08:20:51 24-Mar-2022,Argos,B,-16.4152,145.7664,2724,82914,89,80,,,,,,
209947,209947,UT,09:08:33 24-Mar-2022,Argos,0,-16.4054,145.8097,2265,7591,675,46,,,,,,
209947,209947,UT,09:16:38 24-Mar-2022,Argos,2,-16.3975,145.7859,288,562,147,130,,,,,,
209947,209947,UT,09:30:52 24-Mar-2022,Argos,B,-16.4216,145.7269,8341,23439,2967,54,,,,,,
209947,209947,UT,10:46:42 24-Mar-2022,Argos,B,-16.4260,145.7099,9467,16244,5517,55,,,,,,
209947,209947,UT,11:25:29 24-Mar-2022,Argos,0,-16.3603,145.8039,1671,18836,148,93,,,,,,
209947,209947,UT,11:07:09 25-Mar-2022,Argos,Z,-18.8314,144.0771,4928,17466,1390,48,,,,,,Speed to avg loc 27 x median
209947,209947,UT,11:59:17 25-Mar-2022,Argos,A,-16.4126,145.6532,10386,405990,265,81,,,,,,
209947,209947,UT,00:33:12 26-Mar-2022,Argos,A,-16.3592,145.8313,12750,179039,907,125,,,,,,
209947,209947,UT,00:49:31 26-Mar-2022,Argos,B,-16.3688,145.8447,6460,29007,1438,125,,,,,,
209947,209947,UT,07:01:44 26-Mar-2022,Argos,A,-16.3768,146.0453,5969,41109,866,86,,,,,,Lon > 4 deviations from mean
209947,209947,UT,08:24:55 26-Mar-2022,Argos,1,-16.4028,145.7752,576,1514,219,157,,,,,,
209947,209947,UT,08:39:05 26-Mar-2022,Argos,3,-16.3994,145.7693,147,242,88,22,,,,,,
209947,209947,UT,09:36:06 26-Mar-2022,Argos,3,-16.3744,145.7538,178,296,106,112,,,,,,
209947,209947,UT,09:58:52 26-Mar-2022,Argos,B,-16.3728,145.7534,483,4007,58,75,,,,,,
209947,209947,UT,11:17:36 26-Mar-2022,Argos,B,-16.3550,145.7217,948,7495,120,30,,,,,,
209947,209947,UT,06:17:11 27-Mar-2022,Argos,0,-16.4639,145.8232,14160,80758,2482,16,,,,,,Lat > 4 deviations from mean
209947,209947,UT,06:47:48 27-Mar-2022,Argos,1,-16.4128,145.8269,1213,5518,266,119,,,,,,
209947,209947,UT,08:27:55 27-Mar-2022,Argos,B,-16.3554,145.8179,2970,3368,2617,112,,,,,,
209947,209947,UT,08:07:27 28-Mar-2022,Argos,B,-16.3924,145.7988,1724,45166,65,63,,,,,,
209947,209947,UT,09:20:12 28-Mar-2022,Argos,B,-16.3649,145.7933,1476,2253,966,68,,,,,,
209947,209947,UT,10:45:20 28-Mar-2022,Argos,B,-16.3468,145.7952,2436,3268,1815,11,,,,,,
209947,209947,UT,10:57:02 28-Mar-2022,Argos,B,-16.3899,145.7937,1434,11565,177,107,,,,,,
209947,209947,UT,10:57:46 28-Mar-2022,Argos,B,-16.3988,145.8208,350,1685,72,70,,,,,,
209947,209947,UT,11:09:53 28-Mar-2022,Argos,1,-16.3907,145.8449,900,2056,394,23,,,,,,
209947,209947,UT,11:41:33 28-Mar-2022,Argos,1,-16.3742,145.8336,666,1420,312,72,,,,,,
209947,209947,UT,08:35:35 29-Mar-2022,Argos,A,-16.3842,145.8762,12966,250891,670,102,,,,,,
209947,209947,UT,12:09:12 29-Mar-2022,Argos,B,-16.3118,145.9452,20730,29256,14688,97,,,,,,
209947,209947,UT,07:37:07 30-Mar-2022,Argos,2,-16.4056,145.7094,442,1056,185,102,,,,,,
209947,209947,UT,08:48:50 30-Mar-2022,Argos,B,-16.3903,145.7193,12641,13942,11459,95,,,,,,
209947,209947,UT,10:05:47 30-Mar-2022,Argos,0,-16.3601,145.7188,1883,23781,149,76,,,,,,
209947,209947,UT,12:45:53 30-Mar-2022,Argos,B,-16.2997,145.7313,10651,15132,7497,78,,,,,,
209947,209947,UT,07:20:45 31-Mar-2022,Argos,3,-16.4006,145.8407,191,257,142,101,,,,,,
209947,209947,UT,07:27:13 31-Mar-2022,Argos,2,-16.4020,145.8539,326,580,182,106,,,,,,
209947,209947,UT,09:38:56 31-Mar-2022,Argos,2,-16.4230,145.8272,293,341,251,57,,,,,,
209947,209947,UT,10:13:05 31-Mar-2022,Argos,A,-16.4060,145.8858,5961,60317,589,48,,,,,,
209947,209947,UT,20:00:04 31-Mar-2022,Argos,A,-16.1537,146.1348,10533,158542,699,54,,,,,,
209947,209947,UT,08:43:09 01-Apr-2022,Argos,B,-16.0228,146.3284,33657,55030,20584,54,,,,,,
209947,209947,UT,08:43:09 01-Apr-2022,Argos,B,-16.0311,146.3012,48174,173820,13351,68,,,,,,
209947,209947,UT,10:12:25 01-Apr-2022,Argos,B,-16.0250,146.3407,37806,156390,9139,64,,,,,,
209947,209947,UT,10:24:46 01-Apr-2022,Argos,B,-16.2782,145.7821,5455,28394,1047,160,,,,,,
209947,209947,UT,23:04:11 01-Apr-2022,Argos,B,-16.2708,146.0847,12064,16714,8707,67,,,,,,
209947,209947,UT,23:14:23 01-Apr-2022,Argos,1,-16.4415,145.8300,768,7706,76,117,,,,,,
209947,209947,UT,23:17:21 01-Apr-2022,Argos,1,-16.4370,145.8253,524,2140,128,103,,,,,,
209947,209947,UT,08:26:05 02-Apr-2022,Argos,2,-16.3559,145.8279,274,1334,56,97,,,,,,
209947,209947,UT,08:42:33 02-Apr-2022,Argos,B,-16.3542,145.8322,728,830,638,94,,,,,,
209947,209947,UT,09:59:15 02-Apr-2022,Argos,0,-16.3128,145.8828,3573,55709,229,69,,,,,,
