DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
79982,79982,SPOT,DS,1,0,0,,,12:20:05 28-Aug-2015,MA,,,,,,,,401677203,-119
79982,79982,SPOT,DS,1,0,0,,,07:35:19 29-Aug-2015,NN,,,,,,,,401677203,-125
79982,79982,SPOT,DS,1,0,0,,,08:32:34 29-Aug-2015,NK,,,,,,,,401677203,-124
79982,79982,SPOT,DS,1,0,0,,,19:40:43 29-Aug-2015,NK,,,,,,,,401677203,-128
79982,79982,SPOT,DS,1,0,0,,,08:10:22 30-Aug-2015,NK,,,,,,,,401677203,-133
79982,79982,SPOT,DS,1,0,0,,,07:10:05 31-Aug-2015,NN,,,,,,,,401677203,-128
79982,79982,SPOT,DS,1,0,0,,,07:10:05 31-Aug-2015,SR,,,,,,,,401677203,-128
79982,79982,SPOT,DS,1,0,0,,,20:04:45 31-Aug-2015,NN,,,,,,,,401677203,-129
79982,79982,SPOT,DS,1,0,0,,,21:11:46 31-Aug-2015,SR,,,,,,,,401677203,-135
79982,79982,SPOT,DS,1,0,0,,,04:43:10 01-Sep-2015,NP,,,,,,,,401677203,-127
79982,79982,SPOT,DS,1,0,0,,,08:19:23 01-Sep-2015,SR,,,,,,,,401677203,-131
79982,79982,SPOT,DS,1,0,0,,,15:54:01 01-Sep-2015,NP,,,,,,,,401677203,-135
79982,79982,SPOT,DS,1,0,0,,,22:39:38 04-Sep-2015,MA,,,,,,,,401677203,-127
79982,79982,SPOT,DS,1,0,0,,,20:24:53 05-Sep-2015,SR,,,,,,,,401677203,-129
79982,79982,SPOT,DS,1,0,0,,,08:58:22 08-Sep-2015,NN,,,,,,,,401677203,-137
79982,79982,SPOT,DS,1,0,0,,,17:38:00 10-Sep-2015,NP,,,,,,,,401677203,-133
79982,79982,SPOT,DS,1,0,0,,,19:47:23 10-Sep-2015,NN,,,,,,,,401677203,-130
79982,79982,SPOT,DS,3,0,0,45,45,08:10:12 11-Sep-2015,SR,,,,,,,,401677203,-130
79982,79982,SPOT,DS,3,0,0,69,45,08:12:30 11-Sep-2015,NK,,,,-15.9866,146.0812,30,,401677189,-123
79982,79982,SPOT,DS,1,0,1,,,08:31:35 11-Sep-2015,NN,,,,,,,,401677203,-129
79982,79982,SPOT,DS,1,0,0,,,17:17:47 12-Sep-2015,NP,,,,,,,,401677203,-126
79982,79982,SPOT,DS,1,0,0,,,20:30:53 12-Sep-2015,NK,,,,,,,,401677203,-128
79982,79982,SPOT,DS,1,0,0,,,23:11:30 12-Sep-2015,MA,,,,,,,,401677203,-126
79982,79982,SPOT,DS,3,0,0,146,120,19:31:43 16-Sep-2015,SR,A,-16.4685,145.8162,-10.5376,172.2189,,,401677198,-129
79982,79982,SPOT,DS,4,0,0,181,137,20:25:27 16-Sep-2015,NN,3,-16.4703,145.7940,-9.4552,116.0864,60,,401677203,-132
79982,79982,SPOT,DS,3,0,0,143,137,20:27:36 16-Sep-2015,NK,A,-16.4701,145.7927,-11.0749,121.3936,50,,401677203,-129
79982,79982,SPOT,DS,3,0,0,99,96,21:14:13 16-Sep-2015,SR,A,-16.4619,145.7754,-21.0397,124.6336,8,,401677197,-124
79982,79982,SPOT,DS,1,0,0,,,21:55:21 16-Sep-2015,MA,,,,,,,,401677198,-131
79982,79982,SPOT,DS,1,0,1,,,05:11:53 17-Sep-2015,NP,,,,,,,,401677198,-130
79982,79982,SPOT,DS,5,0,0,140,51,07:17:55 17-Sep-2015,NN,2,-16.4660,145.8213,-13.6068,157.9770,58,,401677183,-124
79982,79982,SPOT,DS,4,0,0,121,51,07:16:16 17-Sep-2015,NK,3,-16.4644,145.8226,-11.9187,165.7531,66,,401677183,-123
79982,79982,SPOT,DS,8,0,1,52,46,08:56:30 17-Sep-2015,NK,2,-16.4445,145.8540,-22.7096,117.8422,68,,401677194,-128
79982,79982,SPOT,DS,5,0,0,62,46,08:57:28 17-Sep-2015,NN,1,-16.4439,145.8430,-24.8957,109.6218,68,,401677192,-132
79982,79982,SPOT,DS,1,0,0,,,11:58:04 17-Sep-2015,MA,,,,,,,,401677183,-134
79982,79982,SPOT,DS,1,0,0,,,20:10:25 17-Sep-2015,NN,,,,,,,,401677183,-126
79982,79982,SPOT,DS,1,0,0,,,20:10:25 17-Sep-2015,NK,,,,,,,,401677183,-135
79982,79982,SPOT,DS,1,0,0,,,11:07:46 20-Sep-2015,MA,,,,,,,,401677183,-129
79982,79982,SPOT,DS,1,0,0,,,19:13:15 20-Sep-2015,SR,,,,,,,,401677183,-135
79982,79982,SPOT,DS,3,0,0,147,46,11:55:09 22-Sep-2015,MA,,,,,,,,401677183,-130
79982,79982,SPOT,DS,1,0,0,,,04:00:18 23-Sep-2015,NP,,,,,,,,401677183,-124
79982,79982,SPOT,DS,1,0,0,,,08:04:54 23-Sep-2015,NK,,,,,,,,401677183,-128
79982,79982,SPOT,DS,2,0,0,85,85,15:02:31 24-Sep-2015,NP,B,-16.4130,145.8892,-25.0964,-174.5156,,,401677183,-134
79982,79982,SPOT,DS,2,0,0,200,200,16:37:00 24-Sep-2015,NP,B,-16.2157,145.7341,-14.2763,137.6508,,,401677183,-137
79982,79982,SPOT,DS,1,0,0,,,03:37:51 25-Sep-2015,NP,,,,,,,,401677183,-130
79982,79982,SPOT,DS,2,0,0,246,246,07:00:31 27-Sep-2015,NN,B,-16.4471,145.9244,-11.1042,166.4375,,,401677183,-125
79982,79982,SPOT,DS,1,0,0,,,16:11:29 27-Sep-2015,NP,,,,,,,,401677183,-126
79982,79982,SPOT,DS,1,0,0,,,18:18:45 27-Sep-2015,NN,,,,,,,,401677183,-133
