DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
252319,252319,UT,DS,1,0,0,,,22:30:54 28-Nov-2023,MC,,,,,,,,401650000,-126
252319,252319,UT,DS,1,0,0,,,23:03:31 04-Dec-2023,NP,,,,,,,,401650000,-132
252319,252319,UT,DS,2,0,1,20,20,00:53:57 05-Dec-2023,NN,B,-10.4684,145.0628,-9.4616,140.7973,,,401677703,-128
252319,252319,UT,DS,1,0,0,,,07:04:28 07-Dec-2023,CS,,,,,,,,401650000,-132
252319,252319,UT,DS,1,0,1,,,12:54:39 08-Dec-2023,NN,,,,,,,,401650000,-133
252319,252319,UT,DS,1,0,1,,,22:18:02 08-Dec-2023,NK,,,,,,,,401650000,-129
252319,252319,UT,DS,1,0,1,,,22:18:02 08-Dec-2023,NP,,,,,,,,401650000,-131
252319,252319,UT,DS,1,0,1,,,03:16:10 09-Dec-2023,O3,,,,,,,,401650000,-134
252319,252319,UT,DS,3,0,0,88,42,19:12:47 10-Dec-2023,CS,A,-10.8103,144.3694,-10.8103,144.3694,,,401677724,-125
252319,252319,UT,DS,1,0,0,,,20:15:54 10-Dec-2023,SR,B,-10.8106,144.3675,-10.8106,144.3675,8,,401677728,-126
252319,252319,UT,DS,1,0,0,,,23:31:09 10-Dec-2023,NP,B,-10.8127,144.3624,-10.8127,144.3624,8,,401677732,-131
252319,252319,UT,DS,1,0,1,,,23:45:53 10-Dec-2023,NN,B,-10.8205,144.3600,-10.8205,144.3600,6,,401677741,-128
252319,252319,UT,DS,1,0,0,,,03:17:19 11-Dec-2023,O3,B,-10.8369,144.3493,-10.8369,144.3493,8,,401677753,-127
252319,252319,UT,DS,1,0,0,,,07:36:33 11-Dec-2023,CS,B,-10.8330,144.3385,-10.8330,144.3385,8,,401677759,-126
252319,252319,UT,DS,3,0,1,77,17,08:17:16 11-Dec-2023,NK,A,-10.8652,144.1480,-10.8652,144.1480,8,,401677713,-133
252319,252319,UT,DS,1,0,0,,,08:51:36 11-Dec-2023,SR,B,-10.8799,144.3168,-10.8799,144.3168,6,,401677793,-126
252319,252319,UT,DS,1,0,1,,,22:43:56 11-Dec-2023,NK,B,-11.1920,142.8200,-11.1920,142.8200,,,401677718,-130
252319,252319,UT,DS,2,0,1,318,318,20:36:16 12-Dec-2023,NK,B,-10.7560,144.1338,-10.7560,144.1338,,,401677768,-129
252319,252319,UT,DS,1,0,0,,,20:43:55 12-Dec-2023,SR,B,-11.1134,143.4668,-11.1134,143.4668,,,401677637,-130
252319,252319,UT,DS,1,0,1,,,21:09:17 12-Dec-2023,CS,B,-11.1600,143.4275,-11.1600,143.4275,6,,401677642,-137
252319,252319,UT,DS,2,0,0,78,78,07:52:47 13-Dec-2023,SR,B,-10.9442,143.7154,-10.9442,143.7154,8,,401677660,-125
252319,252319,UT,DS,2,0,0,78,78,07:52:47 13-Dec-2023,CS,B,-11.1333,144.0733,-11.1333,144.0733,,,401677724,-126
252319,252319,UT,DS,3,0,2,111,82,08:22:10 13-Dec-2023,A1,A,-11.1349,144.0953,-11.1349,144.0953,6,,401677712,-123
252319,252319,UT,DS,2,0,1,126,126,09:11:25 13-Dec-2023,NK,B,-11.1086,144.0409,-11.1086,144.0409,8,,401677687,-127
252319,252319,UT,DS,1,0,0,,,10:14:16 13-Dec-2023,NP,B,-11.0967,143.9893,-11.0967,143.9893,8,,401677694,-134
252319,252319,UT,DS,2,0,0,43,43,10:42:38 13-Dec-2023,NK,B,-11.1117,144.1141,-11.1117,144.1141,6,,401677720,-129
252319,252319,UT,DS,1,0,0,,,11:51:35 13-Dec-2023,NP,B,-11.1343,144.0164,-11.1343,144.0164,8,,401677666,-126
252319,252319,UT,DS,1,0,0,,,11:51:35 13-Dec-2023,NN,B,-11.1363,144.1044,-11.1363,144.1044,,,401677716,-137
252319,252319,UT,DS,1,0,0,,,12:07:51 13-Dec-2023,MB,B,-11.1346,144.0160,-11.1346,144.0160,6,,401677713,-135
252319,252319,UT,DS,2,0,0,15,15,12:50:30 13-Dec-2023,MC,B,-11.1342,144.1524,-11.1342,144.1524,7,,401677724,-126
252319,252319,UT,DS,2,0,0,95,95,13:36:19 13-Dec-2023,NN,B,-11.1745,144.1107,-11.1745,144.1107,8,,401677714,-126
252319,252319,UT,DS,2,0,0,15,15,21:37:22 13-Dec-2023,A1,B,-11.2825,144.0485,-11.2825,144.0485,8,,401677685,-135
252319,252319,UT,DS,1,0,0,,,02:29:51 14-Dec-2023,NN,B,-11.3532,143.9949,-11.3532,143.9949,8,,401677687,-137
252319,252319,UT,DS,1,0,1,,,07:08:29 14-Dec-2023,CS,B,-11.3127,144.0884,-11.3127,144.0884,8,,401677726,-128
252319,252319,UT,DS,1,0,1,,,19:40:42 14-Dec-2023,CS,B,-11.4161,144.0262,-11.4161,144.0262,,,401677729,-137
252319,252319,UT,DS,1,0,1,,,19:40:42 14-Dec-2023,SR,B,-11.4064,144.0200,-11.4064,144.0200,,,401677720,-136
252319,252319,UT,DS,2,0,0,51,51,21:18:58 14-Dec-2023,A1,B,-11.4667,144.0198,-11.4667,144.0198,8,,401677723,-130
252319,252319,UT,DS,5,0,3,166,51,21:18:58 14-Dec-2023,NK,3,-11.4612,144.0234,-11.4612,144.0234,50,,401677718,-130
252319,252319,UT,DS,2,0,1,487,487,22:44:17 14-Dec-2023,NP,B,-11.4848,144.0126,-11.4848,144.0126,8,,401677717,-126
252319,252319,UT,DS,1,0,0,,,22:44:17 14-Dec-2023,MB,B,-11.4645,144.0136,-11.4645,144.0136,,,401677722,-136
252319,252319,UT,DS,1,0,0,,,23:01:01 14-Dec-2023,NK,B,-11.4664,144.0123,-11.4664,144.0123,6,,401677726,-133
252319,252319,UT,DS,2,0,0,38,38,23:44:57 14-Dec-2023,MC,B,-11.5073,144.0047,-11.5073,144.0047,8,,401677717,-122
252319,252319,UT,DS,3,0,1,238,57,00:32:19 15-Dec-2023,NP,A,-11.5126,143.9599,-11.5126,143.9599,,,401677714,-132
252319,252319,UT,DS,3,0,1,114,57,00:32:19 15-Dec-2023,NN,A,-11.5191,143.9688,-11.5191,143.9688,8,,401677709,-123
252319,252319,UT,DS,1,0,0,,,00:32:48 15-Dec-2023,MB,B,-11.5173,144.0031,-11.5173,144.0031,6,,401677709,-134
252319,252319,UT,DS,1,0,1,,,01:52:57 15-Dec-2023,O3,B,-11.5473,143.9926,-11.5473,143.9926,8,,401677706,-124
252319,252319,UT,DS,1,0,0,,,02:15:17 15-Dec-2023,NN,B,-11.5499,143.9889,-11.5499,143.9889,6,,401677718,-131
252319,252319,UT,DS,2,0,1,342,342,08:22:44 15-Dec-2023,SR,B,-11.6343,143.9302,-11.6343,143.9302,8,,401677719,-125
252319,252319,UT,DS,2,0,1,74,74,21:03:02 15-Dec-2023,NK,B,-11.8218,143.9872,-11.8218,143.9872,,,401677710,-128
252319,252319,UT,DS,8,1,1,,,22:33:15 15-Dec-2023,NP,1,-11.8668,144.0016,-11.8668,144.0016,48,,401677712,-125
252319,252319,UT,DS,4,0,1,125,46,22:34:04 15-Dec-2023,NK,1,-11.8630,144.0013,-11.8630,144.0013,56,,401677713,-130
252319,252319,UT,DS,2,0,0,251,251,23:15:33 15-Dec-2023,MC,B,-11.8818,143.9975,-11.8818,143.9975,8,,401677713,-120
252319,252319,UT,DS,1,0,0,,,02:44:50 16-Dec-2023,O3,B,-11.9586,143.9787,-11.9586,143.9787,8,,401677725,-130
252319,252319,UT,DS,1,0,0,,,22:22:14 16-Dec-2023,NP,B,-11.7211,143.9312,-11.7211,143.9312,,,401677707,-133
252319,252319,UT,DS,2,0,1,32,32,00:09:47 17-Dec-2023,NP,B,-11.6653,143.9248,-11.6653,143.9248,8,,401677727,-130
252319,252319,UT,DS,2,0,0,32,32,00:09:47 17-Dec-2023,NN,B,-11.6966,143.9858,-11.6966,143.9858,8,,401677702,-124
252319,252319,UT,DS,2,0,1,17,17,00:35:25 17-Dec-2023,MC,B,-11.6711,143.9469,-11.6711,143.9469,6,,401677705,-124
252319,252319,UT,DS,1,0,0,,,21:01:26 17-Dec-2023,CS,B,-11.4946,143.7832,-11.4946,143.7832,,,401677655,-136
252319,252319,UT,DS,1,0,0,,,21:30:53 17-Dec-2023,SR,B,-11.5052,143.8652,-11.5052,143.8652,6,,401677661,-127
252319,252319,UT,DS,2,0,0,430,430,21:47:10 17-Dec-2023,NK,B,-11.4695,143.9854,-11.4695,143.9854,6,,401677649,-133
252319,252319,UT,DS,1,0,0,,,23:30:27 17-Dec-2023,MB,B,-11.4644,144.0441,-11.4644,144.0441,6,,401677697,-131
252319,252319,UT,DS,2,0,1,143,143,23:52:47 17-Dec-2023,NP,B,-11.4440,144.2762,-11.4440,144.2762,6,,401677706,-125
252319,252319,UT,DS,2,0,1,143,143,23:53:59 17-Dec-2023,NN,B,-11.4154,144.2421,-11.4154,144.2421,6,,401677740,-128
252319,252319,UT,DS,2,0,1,297,297,00:15:24 18-Dec-2023,MC,B,-11.4054,144.2293,-11.4054,144.2293,6,,401677712,-119
252319,252319,UT,DS,2,0,0,15,15,01:20:38 18-Dec-2023,O3,B,-11.3993,144.2384,-11.3993,144.2384,8,,401677700,-129
252319,252319,UT,DS,1,0,0,,,02:59:46 18-Dec-2023,O3,B,-11.3979,144.2553,-11.3979,144.2553,8,,401677707,-131
252319,252319,UT,DS,1,0,1,,,06:56:30 18-Dec-2023,SR,B,-11.3996,144.2484,-11.3996,144.2484,8,,401677726,-135
252319,252319,UT,DS,2,0,0,125,125,07:41:54 18-Dec-2023,CS,B,-11.3716,144.2276,-11.3716,144.2276,8,,401677720,-128
252319,252319,UT,DS,1,0,1,,,08:12:14 18-Dec-2023,A1,B,-11.3654,144.2251,-11.3654,144.2251,8,,401677724,-127
252319,252319,UT,DS,1,0,0,,,22:16:17 18-Dec-2023,MC,B,-11.4234,144.2296,-11.4234,144.2296,,,401677742,-126
252319,252319,UT,DS,1,0,0,,,23:01:16 18-Dec-2023,MB,B,-11.3919,144.2355,-11.3919,144.2355,,,401677730,-126
252319,252319,UT,DS,1,0,0,,,23:47:01 18-Dec-2023,NP,B,-11.4252,144.2229,-11.4252,144.2229,8,,401677700,-135
252319,252319,UT,DS,1,0,0,,,23:47:01 18-Dec-2023,NN,B,-11.4836,144.1181,-11.4836,144.1181,,,401677730,-129
252319,252319,UT,DS,1,0,0,,,20:33:42 19-Dec-2023,SR,B,-11.8222,143.9688,-11.8222,143.9688,,,401677744,-131
252319,252319,UT,DS,1,0,1,,,22:33:45 19-Dec-2023,NK,B,-11.7032,144.1104,-11.7032,144.1104,8,,401677705,-129
252319,252319,UT,DS,1,0,1,,,09:03:52 20-Dec-2023,SR,B,-11.5848,144.1041,-11.5848,144.1041,,,401677754,-136
252319,252319,UT,DS,1,0,1,,,09:03:52 20-Dec-2023,A1,B,-11.6236,144.1904,-11.6236,144.1904,8,,401677679,-139
252319,252319,UT,DS,1,0,1,,,11:09:50 20-Dec-2023,NK,B,-11.6631,144.0784,-11.6631,144.0784,8,,401677714,-133
252319,252319,UT,DS,1,0,0,,,20:35:57 20-Dec-2023,NK,B,-11.7182,144.2029,-11.7182,144.2029,8,,401677702,-137
252319,252319,UT,DS,1,0,0,,,20:35:58 20-Dec-2023,CS,,,,,,,,401650000,
252319,252319,UT,DS,1,0,0,,,20:46:23 20-Dec-2023,A1,B,-11.7254,144.2226,-11.7254,144.2226,8,,401677736,-133
252319,252319,UT,DS,1,0,0,,,02:21:47 21-Dec-2023,O3,B,-11.6428,144.2043,-11.6428,144.2043,8,,401677710,-128
252319,252319,UT,DS,2,0,0,283,283,07:01:08 21-Dec-2023,SR,B,-11.5585,144.1266,-11.5585,144.1266,8,,401677733,-127
252319,252319,UT,DS,1,0,0,,,07:05:12 21-Dec-2023,A1,B,-11.5594,144.1232,-11.5594,144.1232,6,,401677731,-139
252319,252319,UT,DS,2,0,0,424,424,07:17:23 21-Dec-2023,CS,,,,,,,,401650000,
252319,252319,UT,DS,1,0,0,,,19:59:47 21-Dec-2023,CS,B,-11.5634,144.1269,-11.5634,144.1269,,,401677741,-124
252319,252319,UT,DS,2,0,0,34,34,20:19:27 21-Dec-2023,A1,B,-11.5809,144.1095,-11.5809,144.1095,6,,401677722,-125
252319,252319,UT,DS,2,0,0,517,517,21:10:34 21-Dec-2023,SR,B,-11.5833,144.1596,-11.5833,144.1596,8,,401677717,-131
252319,252319,UT,DS,3,0,1,177,35,23:02:31 21-Dec-2023,NP,A,-11.5795,144.1665,-11.5795,144.1665,8,,401677708,-129
252319,252319,UT,DS,1,0,0,,,23:08:09 21-Dec-2023,NN,B,-11.5795,144.1656,-11.5795,144.1656,6,,401677712,-135
252319,252319,UT,DS,3,0,0,174,32,00:34:03 22-Dec-2023,MC,A,-11.5948,144.1741,-11.5948,144.1741,8,,401677716,-121
252319,252319,UT,DS,1,0,0,,,00:48:56 22-Dec-2023,NN,B,-11.5958,144.1766,-11.5958,144.1766,6,,401677713,-129
252319,252319,UT,DS,1,0,1,,,01:35:58 22-Dec-2023,O3,B,-11.5985,144.1830,-11.5985,144.1830,8,,401677721,-127
252319,252319,UT,DS,2,0,1,51,51,19:56:55 22-Dec-2023,A1,B,-11.8105,144.0472,-11.8105,144.0472,,,401677707,-132
252319,252319,UT,DS,2,0,1,279,279,20:39:31 22-Dec-2023,SR,B,-11.7331,143.9345,-11.7331,143.9345,7,,401677722,-135
252319,252319,UT,DS,2,0,0,28,28,21:16:51 22-Dec-2023,NK,B,-11.7384,143.9332,-11.7384,143.9332,8,,401677709,-126
252319,252319,UT,DS,1,0,0,,,22:46:48 22-Dec-2023,NP,B,-11.7074,143.8661,-11.7074,143.8661,8,,401677720,-132
252319,252319,UT,DS,2,0,1,265,265,07:42:54 23-Dec-2023,CS,B,-11.7496,143.9418,-11.7496,143.9418,8,,401677698,-128
252319,252319,UT,DS,1,0,1,,,07:40:42 23-Dec-2023,SR,B,-11.7387,143.9655,-11.7387,143.9655,8,,401677693,-130
252319,252319,UT,DS,1,0,1,,,07:52:05 23-Dec-2023,A1,B,-11.7459,143.9810,-11.7459,143.9810,6,,401677719,-132
252319,252319,UT,DS,1,0,1,,,11:26:56 23-Dec-2023,NP,B,-11.7056,143.8371,-11.7056,143.8371,8,,401677709,-124
252319,252319,UT,DS,1,0,0,,,14:51:50 23-Dec-2023,O3,B,-11.7130,143.8728,-11.7130,143.8728,8,,401677741,-135
252319,252319,UT,DS,3,0,2,28,19,20:50:01 23-Dec-2023,NK,A,-11.6529,143.7477,-11.6529,143.7477,8,,401677762,-128
252319,252319,UT,DS,1,0,1,,,22:33:30 23-Dec-2023,NK,B,-11.5329,144.0728,-11.5329,144.0728,8,,401677691,-127
252319,252319,UT,DS,1,0,0,,,22:41:01 23-Dec-2023,NP,B,-11.6242,144.2201,-11.6242,144.2201,8,,401677663,-124
252319,252319,UT,DS,1,0,0,,,00:39:58 24-Dec-2023,MB,B,-11.6206,144.3371,-11.6206,144.3371,8,,401677685,-135
252319,252319,UT,DS,1,0,0,,,01:43:55 24-Dec-2023,O3,B,-11.5106,144.2958,-11.5106,144.2958,5,,401677773,-130
252319,252319,UT,DS,5,0,2,77,41,02:04:06 24-Dec-2023,NN,2,-11.5305,144.1324,-11.5305,144.1324,56,,401677715,-128
252319,252319,UT,DS,2,0,0,349,349,03:16:26 24-Dec-2023,O3,B,-11.5018,144.1064,-11.5018,144.1064,8,,401677728,-130
252319,252319,UT,DS,2,0,0,200,200,11:19:38 24-Dec-2023,NP,B,-11.4313,144.0388,-11.4313,144.0388,8,,401677714,-127
252319,252319,UT,DS,1,0,0,,,22:21:28 24-Dec-2023,NP,B,-11.1951,144.0060,-11.1951,144.0060,8,,401677739,-138
252319,252319,UT,DS,1,0,0,,,22:36:39 24-Dec-2023,MB,B,-11.3074,144.0191,-11.3074,144.0191,6,,401677723,-133
252319,252319,UT,DS,5,0,1,88,19,00:04:38 25-Dec-2023,NP,0,-11.2751,143.9867,-11.2751,143.9867,48,,401677727,-130
252319,252319,UT,DS,6,0,0,99,19,00:14:47 25-Dec-2023,NN,2,-11.2836,143.9864,-11.2836,143.9864,50,,401677728,-127
252319,252319,UT,DS,1,0,0,,,00:14:47 25-Dec-2023,MB,B,-11.2751,143.9868,-11.2751,143.9868,6,,401677724,-130
252319,252319,UT,DS,1,0,0,,,06:31:09 25-Dec-2023,SR,B,-11.2222,143.9024,-11.2222,143.9024,8,,401677783,-135
252319,252319,UT,DS,1,0,0,,,20:02:00 25-Dec-2023,NK,B,-11.2709,143.9166,-11.2709,143.9166,,,401677788,-133
252319,252319,UT,DS,1,0,1,,,23:17:54 25-Dec-2023,MC,B,-11.3800,144.0606,-11.3800,144.0606,8,,401677725,-125
252319,252319,UT,DS,1,0,0,,,23:58:56 25-Dec-2023,MB,B,-11.3870,144.0690,-11.3870,144.0690,8,,401677725,-127
252319,252319,UT,DS,1,0,0,,,23:58:56 25-Dec-2023,NN,B,-11.3893,144.0556,-11.3893,144.0556,,,401677713,-129
252319,252319,UT,DS,1,0,0,,,23:58:56 25-Dec-2023,NP,B,-11.3895,144.0401,-11.3895,144.0401,,,401677710,-126
252319,252319,UT,DS,2,0,1,119,119,00:53:55 26-Dec-2023,MC,B,-11.3906,143.9976,-11.3906,143.9976,8,,401677713,-124
252319,252319,UT,DS,10,1,0,,,01:46:06 26-Dec-2023,O3,3,-11.3781,144.0002,-11.3781,144.0002,56,,401677712,-125
252319,252319,UT,DS,3,0,0,98,86,01:45:12 26-Dec-2023,NN,A,-11.3855,143.9845,-11.3855,143.9845,8,,401677711,-125
252319,252319,UT,DS,1,0,0,,,07:13:21 26-Dec-2023,CS,B,-11.3850,143.9269,-11.3850,143.9269,8,,401677730,-132
252319,252319,UT,DS,1,0,0,,,07:44:35 26-Dec-2023,SR,B,-11.3663,144.0297,-11.3663,144.0297,8,,401677701,-126
252319,252319,UT,DS,1,0,0,,,08:21:57 26-Dec-2023,A1,B,-11.3616,144.0518,-11.3616,144.0518,8,,401677706,-127
