DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
252319,252319,UT,00:53:47 05-Dec-2023,,,B,-10.4684,145.0628,CRC (both failed),00:00:00 04-Dec-2023,TAT,40,240,128,238,230,238,238,238,238,238,224,238,238,238,224,155,240,128,0,0,0,0,0,0,0,137,255,2,0,0,67,
252319,252319,UT,12:54:39 08-Dec-2023,,,,,,CRC (both failed),,,40,240,128,238,238,238,230,248,162,197,227,179,134,102,146,151,86,107,146,157,75,52,169,51,203,204,169,87,122,166,47,
252319,252319,UT,22:18:02 08-Dec-2023,,,,,,CRC (both failed),,,40,99,166,45,49,165,94,77,202,164,26,53,36,139,177,43,145,136,116,87,135,144,149,2,189,54,156,76,101,233,124,
252319,252319,UT,22:18:02 08-Dec-2023,,,,,,CRC,,Fast-GPS,104,107,130,52,18,219,99,100,47,6,134,53,246,117,150,230,65,101,96,174,13,65,65,64,140,78,118,169,129,199,179,
252319,252319,UT,03:16:10 09-Dec-2023,,,,,,CRC 198.156,03:16:59 09-Dec-2023,Status,88,208,165,253,232,146,78,248,100,141,14,213,0,63,165,67,179,129,166,4,99,244,89,,,,,,,,,
252319,252319,UT,23:45:54 10-Dec-2023,,,B,-10.8205,144.3600,CRC (both failed),00:00:00 05-Dec-2023,TAT,40,240,160,15,238,142,238,239,239,230,238,174,238,238,224,32,240,160,0,0,0,0,0,0,8,173,255,0,0,0,207,
252319,252319,UT,08:16:20 11-Dec-2023,,,A,-10.8652,144.1480,CRC (both failed),00:00:00 09-Dec-2023,TAT,40,241,32,174,238,238,224,238,238,238,238,238,238,238,238,217,241,32,2,1,1,1,3,6,20,174,255,0,0,0,69,
252319,252319,UT,22:43:56 11-Dec-2023,,,B,-11.1920,142.8200,CRC (both failed),,,40,240,160,14,238,14,234,76,184,207,114,247,189,57,55,179,34,245,123,44,124,199,123,37,1,43,130,67,208,3,128,
252319,252319,UT,20:33:37 12-Dec-2023,,,B,-10.7560,144.1338,CRC (both failed),,,40,241,0,238,238,238,238,14,14,14,228,78,205,154,105,46,64,225,228,93,47,52,168,139,194,198,48,51,171,232,19,
252319,252319,UT,21:09:17 12-Dec-2023,,,B,-11.1600,143.4275,CRC 149.5,21:09:17 12-Dec-2023,Status,82,176,165,253,232,149,241,7,157,252,162,159,255,197,224,91,195,122,131,209,195,128,33,,,,,,,,,
