DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
252319,252319,UT,06:20:00 28-Nov-2023,User,,-11.4983,144.0436,,,,,,,,,,
252319,252319,UT,00:53:57 05-Dec-2023,Argos,B,-10.4684,145.0628,7434,314522,175,132,,,,,,
252319,252319,UT,19:12:47 10-Dec-2023,Argos,A,-10.8103,144.3694,1366,8022,232,73,,,,,,
252319,252319,UT,20:15:54 10-Dec-2023,Argos,B,-10.8106,144.3675,21129,22084,20215,73,,,,,,
252319,252319,UT,23:31:09 10-Dec-2023,Argos,B,-10.8127,144.3624,29965,30635,29309,97,,,,,,
252319,252319,UT,23:45:53 10-Dec-2023,Argos,B,-10.8205,144.3600,23551,28117,19726,112,,,,,,
252319,252319,UT,03:17:19 11-Dec-2023,Argos,B,-10.8369,144.3493,2740,3456,2171,110,,,,,,
252319,252319,UT,07:36:33 11-Dec-2023,Argos,B,-10.8330,144.3385,2822,5987,1330,79,,,,,,
252319,252319,UT,08:17:16 11-Dec-2023,Argos,A,-10.8652,144.1480,18791,118515,2979,25,,,,,,
252319,252319,UT,08:51:36 11-Dec-2023,Argos,B,-10.8799,144.3168,2753,8439,898,87,,,,,,
252319,252319,UT,22:43:56 11-Dec-2023,Argos,B,-11.1920,142.8200,29299,45480,18875,70,,,,,,Lon > 4 deviations from mean
252319,252319,UT,20:36:16 12-Dec-2023,Argos,B,-10.7560,144.1338,13715,262435,716,1,,,,,,
252319,252319,UT,20:43:55 12-Dec-2023,Argos,B,-11.1134,143.4668,52245,96523,28278,49,,,,,,
252319,252319,UT,21:09:17 12-Dec-2023,Argos,B,-11.1600,143.4275,38527,109015,13616,65,,,,,,
252319,252319,UT,07:52:47 13-Dec-2023,Argos,B,-10.9442,143.7154,33089,737281,1485,117,,,,,,
252319,252319,UT,07:52:47 13-Dec-2023,Argos,B,-11.1333,144.0733,3847,9023,1639,71,,,,,,
252319,252319,UT,08:22:10 13-Dec-2023,Argos,A,-11.1349,144.0953,3504,50243,244,110,,,,,,
252319,252319,UT,09:11:25 13-Dec-2023,Argos,B,-11.1086,144.0409,1400,7677,255,84,,,,,,
252319,252319,UT,10:14:16 13-Dec-2023,Argos,B,-11.0967,143.9893,4226,14319,1247,86,,,,,,
252319,252319,UT,10:42:38 13-Dec-2023,Argos,B,-11.1117,144.1141,2110,5822,764,64,,,,,,
252319,252319,UT,11:51:35 13-Dec-2023,Argos,B,-11.1343,144.0164,1963,4348,885,80,,,,,,
252319,252319,UT,11:51:35 13-Dec-2023,Argos,B,-11.1363,144.1044,3497,16936,722,82,,,,,,
252319,252319,UT,12:07:51 13-Dec-2023,Argos,B,-11.1346,144.0160,5581,37569,829,86,,,,,,
252319,252319,UT,12:50:30 13-Dec-2023,Argos,B,-11.1342,144.1524,14177,40907,4912,80,,,,,,
252319,252319,UT,13:36:19 13-Dec-2023,Argos,B,-11.1745,144.1107,11323,250360,512,96,,,,,,
252319,252319,UT,21:37:22 13-Dec-2023,Argos,B,-11.2825,144.0485,8172,21205,3149,98,,,,,,
252319,252319,UT,02:29:51 14-Dec-2023,Argos,B,-11.3532,143.9949,5938,11112,3172,74,,,,,,
252319,252319,UT,07:08:29 14-Dec-2023,Argos,B,-11.3127,144.0884,6042,11246,3246,96,,,,,,
252319,252319,UT,19:40:42 14-Dec-2023,Argos,B,-11.4161,144.0262,6156,7571,5004,124,,,,,,
252319,252319,UT,19:40:42 14-Dec-2023,Argos,B,-11.4064,144.0200,5872,9118,3781,178,,,,,,
252319,252319,UT,21:18:58 14-Dec-2023,Argos,B,-11.4667,144.0198,1864,15786,220,27,,,,,,
252319,252319,UT,21:18:58 14-Dec-2023,Argos,3,-11.4612,144.0234,107,353,32,104,,,,,,
252319,252319,UT,22:44:17 14-Dec-2023,Argos,B,-11.4848,144.0126,896,6673,120,5,,,,,,
252319,252319,UT,22:44:17 14-Dec-2023,Argos,B,-11.4645,144.0136,1789,25544,125,5,,,,,,
252319,252319,UT,23:01:01 14-Dec-2023,Argos,B,-11.4664,144.0123,1788,7383,433,6,,,,,,
252319,252319,UT,23:44:57 14-Dec-2023,Argos,B,-11.5073,144.0047,1814,2471,1330,156,,,,,,
252319,252319,UT,00:32:19 15-Dec-2023,Argos,A,-11.5126,143.9599,231,485,110,129,,,,,,
252319,252319,UT,00:32:19 15-Dec-2023,Argos,A,-11.5191,143.9688,441,3392,57,125,,,,,,
252319,252319,UT,00:32:48 15-Dec-2023,Argos,B,-11.5173,144.0031,831,3410,202,92,,,,,,
252319,252319,UT,01:52:57 15-Dec-2023,Argos,B,-11.5473,143.9926,1458,2021,1051,90,,,,,,
252319,252319,UT,02:15:17 15-Dec-2023,Argos,B,-11.5499,143.9889,4457,6037,3290,21,,,,,,
252319,252319,UT,08:22:44 15-Dec-2023,Argos,B,-11.6343,143.9302,2303,92535,57,69,,,,,,
252319,252319,UT,21:03:02 15-Dec-2023,Argos,B,-11.8218,143.9872,3149,43966,225,114,,,,,,
252319,252319,UT,22:33:15 15-Dec-2023,Argos,1,-11.8668,144.0016,518,559,479,113,,,,,,
252319,252319,UT,22:34:04 15-Dec-2023,Argos,1,-11.8630,144.0013,558,896,347,68,,,,,,
252319,252319,UT,23:15:33 15-Dec-2023,Argos,B,-11.8818,143.9975,1657,9564,287,78,,,,,,
252319,252319,UT,02:44:50 16-Dec-2023,Argos,B,-11.9586,143.9787,5505,5873,5159,94,,,,,,
252319,252319,UT,22:22:14 16-Dec-2023,Argos,B,-11.7211,143.9312,4019,6813,2370,72,,,,,,
252319,252319,UT,00:09:47 17-Dec-2023,Argos,B,-11.6653,143.9248,6385,22086,1845,78,,,,,,
252319,252319,UT,00:09:47 17-Dec-2023,Argos,B,-11.6966,143.9858,2080,11012,392,155,,,,,,
252319,252319,UT,00:35:25 17-Dec-2023,Argos,B,-11.6711,143.9469,3903,7003,2175,91,,,,,,
252319,252319,UT,21:01:26 17-Dec-2023,Argos,B,-11.4946,143.7832,6161,10647,3565,100,,,,,,
252319,252319,UT,21:30:53 17-Dec-2023,Argos,B,-11.5052,143.8652,9173,73215,1149,87,,,,,,
252319,252319,UT,21:47:10 17-Dec-2023,Argos,B,-11.4695,143.9854,4504,33053,613,92,,,,,,
252319,252319,UT,23:30:27 17-Dec-2023,Argos,B,-11.4644,144.0441,4000,13871,1153,95,,,,,,
252319,252319,UT,23:52:47 17-Dec-2023,Argos,B,-11.4440,144.2762,2361,38691,144,129,,,,,,
252319,252319,UT,23:53:59 17-Dec-2023,Argos,B,-11.4154,144.2421,676,2145,213,117,,,,,,
252319,252319,UT,00:15:24 18-Dec-2023,Argos,B,-11.4054,144.2293,1798,61320,52,103,,,,,,
252319,252319,UT,01:20:38 18-Dec-2023,Argos,B,-11.3993,144.2384,1938,5645,665,101,,,,,,
252319,252319,UT,02:59:46 18-Dec-2023,Argos,B,-11.3979,144.2553,1922,2670,1383,92,,,,,,
252319,252319,UT,06:56:30 18-Dec-2023,Argos,B,-11.3996,144.2484,2535,2944,2182,144,,,,,,
252319,252319,UT,07:41:54 18-Dec-2023,Argos,B,-11.3716,144.2276,2541,9402,686,76,,,,,,
252319,252319,UT,08:12:14 18-Dec-2023,Argos,B,-11.3654,144.2251,2696,6784,1071,76,,,,,,
252319,252319,UT,22:16:17 18-Dec-2023,Argos,B,-11.4234,144.2296,5466,9342,3197,82,,,,,,
252319,252319,UT,23:01:16 18-Dec-2023,Argos,B,-11.3919,144.2355,5357,11034,2600,71,,,,,,
252319,252319,UT,23:47:01 18-Dec-2023,Argos,B,-11.4252,144.2229,8573,14012,5245,74,,,,,,
252319,252319,UT,23:47:01 18-Dec-2023,Argos,B,-11.4836,144.1181,6245,9691,4023,115,,,,,,
252319,252319,UT,20:33:42 19-Dec-2023,Argos,B,-11.8222,143.9688,11928,14682,9689,113,,,,,,
252319,252319,UT,22:33:45 19-Dec-2023,Argos,B,-11.7032,144.1104,10060,22416,4514,128,,,,,,
252319,252319,UT,09:03:52 20-Dec-2023,Argos,B,-11.5848,144.1041,3644,7146,1857,15,,,,,,
252319,252319,UT,09:03:52 20-Dec-2023,Argos,B,-11.6236,144.1904,4132,5318,3210,7,,,,,,
252319,252319,UT,11:09:50 20-Dec-2023,Argos,B,-11.6631,144.0784,2531,3216,1992,119,,,,,,
252319,252319,UT,20:35:57 20-Dec-2023,Argos,B,-11.7182,144.2029,3729,5933,2343,125,,,,,,
252319,252319,UT,20:46:23 20-Dec-2023,Argos,B,-11.7254,144.2226,4090,4672,3579,123,,,,,,
252319,252319,UT,02:21:47 21-Dec-2023,Argos,B,-11.6428,144.2043,4804,10697,2157,127,,,,,,
252319,252319,UT,07:01:08 21-Dec-2023,Argos,B,-11.5585,144.1266,2746,65124,115,73,,,,,,
252319,252319,UT,07:05:12 21-Dec-2023,Argos,B,-11.5594,144.1232,2852,33106,245,73,,,,,,
252319,252319,UT,19:59:47 21-Dec-2023,Argos,B,-11.5634,144.1269,3991,12308,1293,76,,,,,,
252319,252319,UT,20:19:27 21-Dec-2023,Argos,B,-11.5809,144.1095,2537,15119,425,95,,,,,,
252319,252319,UT,21:10:34 21-Dec-2023,Argos,B,-11.5833,144.1596,998,8620,115,179,,,,,,
252319,252319,UT,23:02:31 21-Dec-2023,Argos,A,-11.5795,144.1665,498,4055,61,86,,,,,,
252319,252319,UT,23:08:09 21-Dec-2023,Argos,B,-11.5795,144.1656,670,1484,302,86,,,,,,
252319,252319,UT,00:34:03 22-Dec-2023,Argos,A,-11.5948,144.1741,436,2701,70,163,,,,,,
252319,252319,UT,00:48:56 22-Dec-2023,Argos,B,-11.5958,144.1766,628,857,459,151,,,,,,
252319,252319,UT,01:35:58 22-Dec-2023,Argos,B,-11.5985,144.1830,1135,1345,957,155,,,,,,
252319,252319,UT,19:56:55 22-Dec-2023,Argos,B,-11.8105,144.0472,8977,71898,1120,119,,,,,,
252319,252319,UT,20:39:31 22-Dec-2023,Argos,B,-11.7331,143.9345,7304,242613,219,79,,,,,,
252319,252319,UT,21:16:51 22-Dec-2023,Argos,B,-11.7384,143.9332,8025,24048,2678,80,,,,,,
252319,252319,UT,22:46:48 22-Dec-2023,Argos,B,-11.7074,143.8661,8743,14537,5258,88,,,,,,
252319,252319,UT,07:40:42 23-Dec-2023,Argos,B,-11.7387,143.9655,3999,5342,2992,129,,,,,,
252319,252319,UT,07:42:54 23-Dec-2023,Argos,B,-11.7496,143.9418,3159,313719,31,84,,,,,,
