Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7495,252319,3,MC, ,1,28-Nov-2023,22:30:54,,,,401650000,-126,,0,28-Nov-2023,22:30:54,,,,,,,,,,84,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,252319,31,NP, ,2,04-Dec-2023,23:03:31,,,,401650000,-132,,0,04-Dec-2023,23:03:31,,,,,,,,,,40,239,192,238,238,238,238,238,238,238,238,238,238,238,238,234,239,192,0,0,0,0,0,1,5,255,69,0,0,0,31,
7495,252319,31,NN,B,3,05-Dec-2023,00:53:57,-10.4684,145.0628,,401677703,-128,,0,05-Dec-2023,00:53:47,-9.4616,140.7973,20,7434,314522,175,132,,,40,240,128,238,230,238,238,238,238,238,224,238,238,238,224,155,240,128,0,0,0,0,0,0,0,137,255,2,0,0,67,
7495,252319,31,NN,B,3,05-Dec-2023,00:53:57,-10.4684,145.0628,,401677703,-128,,0,05-Dec-2023,00:54:07,-9.4616,140.7973,20,7434,314522,175,132,,,40,240,64,238,238,238,238,238,238,238,238,238,238,238,238,233,240,64,0,0,0,0,0,0,0,255,251,0,0,0,18,
7495,252319,31,CS, ,4,07-Dec-2023,07:04:28,,,,401650000,-132,,0,07-Dec-2023,07:04:28,,,,,,,,,,40,239,160,238,238,238,238,238,238,238,238,238,238,224,238,57,239,160,0,0,0,0,0,0,0,255,48,0,0,0,52,
7495,252319,31,NN, ,5,08-Dec-2023,12:54:39,,,,401650000,-133,,0,08-Dec-2023,12:54:39,,,,,,,,,,40,240,128,238,238,238,230,248,162,197,227,179,134,102,146,151,86,107,146,157,75,52,169,51,203,204,169,87,122,166,47,
7495,252319,31,NK, ,6,08-Dec-2023,22:18:02,,,,401650000,-129,,0,08-Dec-2023,22:18:02,,,,,,,,,,40,99,166,45,49,165,94,77,202,164,26,53,36,139,177,43,145,136,116,87,135,144,149,2,189,54,156,76,101,233,124,
7495,252319,31,NP, ,7,08-Dec-2023,22:18:02,,,,401650000,-131,,0,08-Dec-2023,22:18:02,,,,,,,,,,104,107,130,52,18,219,99,100,47,6,134,53,246,117,150,230,65,101,96,174,13,65,65,64,140,78,118,169,129,199,179,
7495,252319,23,O3, ,8,09-Dec-2023,03:16:10,,,,401650000,-134,,0,09-Dec-2023,03:16:10,,,,,,,,,,88,208,165,253,232,146,78,248,100,141,14,213,0,63,165,67,179,129,166,4,99,244,89,,,,,,,,,
7495,252319,31,CS,A,9,10-Dec-2023,19:12:47,-10.8103,144.3694,,401677724,-125,,0,10-Dec-2023,19:11:04,-10.8103,144.3694,177,1366,8022,232,73,,,40,240,64,238,238,238,238,238,238,238,238,238,238,238,238,233,240,64,0,0,0,0,0,0,0,255,251,0,0,0,18,
7495,252319,31,CS,A,9,10-Dec-2023,19:12:47,-10.8103,144.3694,,401677724,-125,,0,10-Dec-2023,19:13:19,-10.8103,144.3694,177,1366,8022,232,73,,,40,240,96,238,238,238,238,238,238,238,238,238,238,238,238,23,240,96,0,0,0,0,0,1,1,255,213,1,0,0,123,
7495,252319,31,CS,A,9,10-Dec-2023,19:12:47,-10.8103,144.3694,,401677724,-125,,0,10-Dec-2023,19:14:01,-10.8103,144.3694,177,1366,8022,232,73,,,40,239,134,0,0,0,238,238,238,238,224,238,238,238,238,31,239,134,0,0,0,0,0,2,7,255,187,0,0,0,102,
7495,252319,31,SR,B,10,10-Dec-2023,20:15:54,-10.8106,144.3675,,401677728,-126,8,0,10-Dec-2023,20:15:54,-10.8106,144.3675,,21129,22084,20215,73,,,40,240,192,238,238,14,238,238,238,238,238,238,238,238,224,219,240,192,0,0,0,0,0,5,33,174,255,1,0,0,240,
7495,252319,31,NP,B,11,10-Dec-2023,23:31:09,-10.8127,144.3624,,401677732,-131,8,0,10-Dec-2023,23:31:09,-10.8127,144.3624,,29965,30635,29309,97,,,40,239,160,238,238,238,238,238,238,238,238,238,238,224,238,57,239,160,0,0,0,0,0,0,0,255,48,0,0,0,52,
7495,252319,31,NN,B,12,10-Dec-2023,23:45:53,-10.8205,144.3600,,401677741,-128,6,0,10-Dec-2023,23:45:54,-10.8205,144.3600,,23551,28117,19726,112,,,40,240,160,15,238,142,238,239,239,230,238,174,238,238,224,32,240,160,0,0,0,0,0,0,8,173,255,0,0,0,207,
7495,252319,23,O3,B,13,11-Dec-2023,03:17:19,-10.8369,144.3493,,401677753,-127,8,0,11-Dec-2023,03:17:20,-10.8369,144.3493,,2740,3456,2171,110,,,66,240,165,253,232,146,78,248,101,141,35,86,20,7,85,2,77,50,26,213,96,187,128,,,,,,,,,
7495,252319,31,CS,B,14,11-Dec-2023,07:36:33,-10.8330,144.3385,,401677759,-126,8,0,11-Dec-2023,07:36:33,-10.8330,144.3385,,2822,5987,1330,79,,,40,240,96,238,238,238,238,238,238,238,238,238,238,238,238,23,240,96,0,0,0,0,0,1,1,255,213,1,0,0,123,
7495,252319,31,NK,A,15,11-Dec-2023,08:17:16,-10.8652,144.1480,,401677713,-133,8,0,11-Dec-2023,08:16:20,-10.8652,144.1480,154,18791,118515,2979,25,,,40,241,32,174,238,238,224,238,238,238,238,238,238,238,238,217,241,32,2,1,1,1,3,6,20,174,255,0,0,0,69,
7495,252319,31,NK,A,15,11-Dec-2023,08:17:16,-10.8652,144.1480,,401677713,-133,8,0,11-Dec-2023,08:16:37,-10.8652,144.1480,154,18791,118515,2979,25,,,40,240,160,14,238,14,238,238,238,238,238,238,238,238,224,32,240,160,0,0,0,0,0,0,8,173,255,0,0,0,207,
7495,252319,31,NK,A,15,11-Dec-2023,08:17:16,-10.8652,144.1480,,401677713,-133,8,0,11-Dec-2023,08:18:54,-10.8652,144.1480,154,18791,118515,2979,25,,,40,241,64,238,238,238,238,238,238,238,238,238,14,238,238,194,241,64,7,5,5,5,6,7,26,255,242,4,0,0,162,
