DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
132353,132353,SPOT,DS,1,0,0,,,19:53:36 27-Feb-2015,SR,B,-24.7717,153.0739,-24.7717,153.0739,8,,401677397,-127
132353,132353,SPOT,DS,2,0,0,124,124,21:26:54 27-Feb-2015,SR,B,-24.7988,153.0712,-24.7988,153.0712,8,,401677390,-136
132353,132353,SPOT,DS,5,0,2,78,48,08:35:45 28-Feb-2015,SR,1,-24.6445,153.1349,-24.6445,153.1349,58,,401677401,-128
132353,132353,SPOT,DS,1,0,0,,,08:44:40 28-Feb-2015,NK,B,-24.7423,153.1051,-24.7423,153.1051,8,,401677439,-130
132353,132353,SPOT,DS,4,0,1,187,46,19:18:06 28-Feb-2015,SR,0,-24.6582,153.1049,-24.6582,153.1049,48,,401677398,-127
132353,132353,SPOT,DS,3,0,0,139,70,19:58:29 28-Feb-2015,NK,A,-24.6556,153.1158,-24.6556,153.1158,8,,401677398,-136
132353,132353,SPOT,DS,2,0,0,207,207,20:54:50 28-Feb-2015,SR,B,-24.6700,153.1319,-24.6700,153.1319,8,,401677395,-130
132353,132353,SPOT,DS,2,0,0,48,48,06:24:05 01-Mar-2015,SR,B,-24.7560,153.1711,-24.7560,153.1711,8,,401677383,-138
132353,132353,SPOT,DS,2,0,0,135,135,06:41:34 01-Mar-2015,NK,B,-24.7366,153.1194,-24.7366,153.1194,,,401677406,-134
132353,132353,SPOT,DS,1,0,0,,,06:55:22 01-Mar-2015,NN,B,-24.7371,153.1262,-24.7371,153.1262,7,,401677400,-133
132353,132353,SPOT,DS,2,0,0,446,446,08:06:54 01-Mar-2015,SR,B,-24.7180,153.0497,-24.7180,153.0497,8,,401677399,-132
132353,132353,SPOT,DS,1,0,0,,,08:20:42 01-Mar-2015,NK,B,-24.7434,153.1237,-24.7434,153.1237,8,,401677393,-134
