"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",141155,5171,-25.13991,152.94129,0,02/28/2015 04:03:19,Argos,0,561,NP,,401677467.58,02/28/2015 03:59:17,1,5,0,-127,401677467.58,152.94129,-25.13991,152.94128,-25.13991,50,3,2067,27962,152,78,1010,8,159,213,18,84,82,193,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13991,152.94129,0,02/28/2015 04:03:19,Argos,0,561,NP,,401677467.58,02/28/2015 04:00:14,1,5,0,-127,401677467.58,152.94129,-25.13991,152.94128,-25.13991,50,3,2067,27962,152,78,1010,8,148,209,87,90,70,193,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13991,152.94129,0,02/28/2015 04:03:19,Argos,0,561,NP,,401677467.58,02/28/2015 04:02:41,1,5,0,-127,401677467.58,152.94129,-25.13991,152.94128,-25.13991,50,3,2067,27962,152,78,1010,8,145,214,44,79,62,192,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13991,152.94129,0,02/28/2015 04:03:19,Argos,0,561,NP,,401677467.58,02/28/2015 04:05:44,1,5,0,-127,401677467.58,152.94129,-25.13991,152.94128,-25.13991,50,3,2067,27962,152,78,1010,8,140,214,43,76,78,192,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13991,152.94129,0,02/28/2015 04:03:19,Argos,0,561,NP,,401677467.58,02/28/2015 04:08:38,1,5,0,-127,401677467.58,152.94129,-25.13991,152.94128,-25.13991,50,3,2067,27962,152,78,1010,8,127,214,41,73,66,192,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.07201,152.78852,B,03/01/2015 03:55:00,Argos,0,182,NP,,401677480.29,03/01/2015 03:53:29,1,2,0,-125,401677480.29,152.78852,-25.07201,152.78851,-25.07201,0,2,5531,64553,473,169,3730,8,148,214,45,75,74,193,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.07201,152.78852,B,03/01/2015 03:55:00,Argos,0,182,NP,,401677480.29,03/01/2015 03:56:31,1,2,0,-125,401677480.29,152.78852,-25.07201,152.78851,-25.07201,0,2,5531,64553,473,169,3730,8,162,213,50,78,82,193,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.1564,152.79535,A,03/02/2015 06:44:14,Argos,0,149,NN,,401677464.72,03/02/2015 06:42:53,1,3,0,-131,401677464.72,152.79535,-25.1564,152.79535,-25.1564,0,3,8301,80303,858,84,10998,8,147,215,41,71,98,198,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.1564,152.79535,A,03/02/2015 06:44:14,Argos,0,149,NN,,401677464.72,03/02/2015 06:44:28,1,3,0,-131,401677464.72,152.79535,-25.1564,152.79535,-25.1564,0,3,8301,80303,858,84,10998,8,156,214,44,76,94,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.1564,152.79535,A,03/02/2015 06:44:14,Argos,0,149,NN,,401677464.72,03/02/2015 06:45:22,1,3,0,-131,401677464.72,152.79535,-25.1564,152.79535,-25.1564,0,3,8301,80303,858,84,10998,8,164,214,49,81,94,198,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.15801,152.76906,0,03/02/2015 07:32:14,Argos,0,461,SR,,401677463.31,03/02/2015 07:28:45,1,6,0,-122,401677463.31,152.76906,-25.15801,152.76906,-25.15801,48,2,6330,257039,155,103,2784,8,149,215,41,61,114,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.15801,152.76906,0,03/02/2015 07:32:14,Argos,0,461,SR,,401677463.31,03/02/2015 07:29:32,1,6,0,-122,401677463.31,152.76906,-25.15801,152.76906,-25.15801,48,2,6330,257039,155,103,2784,8,161,215,41,73,106,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.15801,152.76906,0,03/02/2015 07:32:14,Argos,0,461,SR,,401677463.31,03/02/2015 07:30:19,1,6,0,-122,401677463.31,152.76906,-25.15801,152.76906,-25.15801,48,2,6330,257039,155,103,2784,8,182,213,63,207,231,22,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.15801,152.76906,0,03/02/2015 07:32:14,Argos,0,461,SR,,401677463.31,03/02/2015 07:32:51,1,6,0,-122,401677463.31,152.76906,-25.15801,152.76906,-25.15801,48,2,6330,257039,155,103,2784,8,145,215,41,67,98,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.15801,152.76906,0,03/02/2015 07:32:14,Argos,0,461,SR,,401677463.31,03/02/2015 07:35:32,1,6,0,-122,401677463.31,152.76906,-25.15801,152.76906,-25.15801,48,2,6330,257039,155,103,2784,8,173,213,50,85,82,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.15801,152.76906,0,03/02/2015 07:32:14,Argos,0,461,SR,,401677463.31,03/02/2015 07:36:26,1,6,0,-122,401677463.31,152.76906,-25.15801,152.76906,-25.15801,48,2,6330,257039,155,103,2784,8,137,215,40,68,78,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13374,152.72958,1,03/02/2015 07:51:18,Argos,0,520,NK,,401677462.53,03/02/2015 07:50:12,1,4,0,-125,401677462.53,152.72958,-25.13374,152.72958,-25.13374,48,2,863,1110,670,28,283,8,132,215,41,73,74,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13374,152.72958,1,03/02/2015 07:51:18,Argos,0,520,NK,,401677462.53,03/02/2015 07:52:26,1,4,0,-125,401677462.53,152.72958,-25.13374,152.72958,-25.13374,48,2,863,1110,670,28,283,8,157,213,51,83,58,196,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13374,152.72958,1,03/02/2015 07:51:18,Argos,0,520,NK,,401677462.53,03/02/2015 07:56:27,1,4,0,-125,401677462.53,152.72958,-25.13374,152.72958,-25.13374,48,2,863,1110,670,28,283,8,127,215,41,95,166,74,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.13374,152.72958,1,03/02/2015 07:51:18,Argos,0,520,NK,,401677462.53,03/02/2015 07:58:52,1,4,0,-125,401677462.53,152.72958,-25.13374,152.72958,-25.13374,48,2,863,1110,670,28,283,8,141,215,44,71,66,198,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.16094,152.43672,B,03/03/2015 07:26:38,Argos,0,121,NK,,401677461.02,03/03/2015 07:25:38,1,2,0,-130,401677461.02,152.43672,-25.16094,152.43672,-25.16094,0,3,18645,725850,479,75,10304,8,154,215,42,75,102,193,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.16094,152.43672,B,03/03/2015 07:26:38,Argos,0,121,NK,,401677461.02,03/03/2015 07:27:39,1,2,0,-130,401677461.02,152.43672,-25.16094,152.43672,-25.16094,0,3,18645,725850,479,75,10304,8,140,215,40,65,102,197,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-25.10999,152.64819,B,03/04/2015 03:24:44,Argos,0,0,NP,,401677460.95,03/04/2015 03:24:44,1,1,0,-137,401677460.95,152.64819,-25.10999,152.6482,-25.10999,0,2,33733,119778,9500,57,21523,9,169,211,148,83,12,53,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-24.82784,152.65712,A,03/05/2015 07:43:03,Argos,0,95,SR,,401677467.47,03/05/2015 07:42:16,1,3,0,-121,401677467.47,152.65712,-24.82784,152.65712,-24.82784,0,3,29809,0,705,98,10826,9,124,215,40,68,74,195,,,,,,,,,,,,,,,,,,,,,,,,,
"",141155,5171,-24.82784,152.65712,A,03/05/2015 07:43:03,Argos,0,95,SR,,401677467.47,03/05/2015 07:43:03,1,3,0,-121,401677467.47,152.65712,-24.82784,152.65712,-24.82784,0,3,29809,0,705,98,10826,9,149,214,43,78,74,195,,,,,,,,,,,,,,,,,,,,,,,,,
