DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
141155,141155,SPOT,03:24:44 04-Mar-2015,,,B,-25.1100,152.6482,Temperature: -41.36,03:24:44 04-Mar-2015,Status,9,169,211,148,83,12,53,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,07:51:36 05-Mar-2015,,,2,-24.8427,152.7470,Temperature: -49.95,07:51:36 05-Mar-2015,Status,9,143,215,48,216,144,30,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,07:52:23 05-Mar-2015,,,2,-24.8427,152.7470,Voltage: 2.40,07:52:23 05-Mar-2015,Status,9,195,150,173,217,228,168,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,06:39:26 07-Mar-2015,,,A,-24.9799,152.5806,Temperature: 59.24,06:39:26 07-Mar-2015,Status,10,137,214,44,75,95,140,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,03:38:48 11-Mar-2015,,,1,-24.7879,152.5668,Temperature: 64.52,03:38:48 11-Mar-2015,Status,10,171,213,48,232,179,158,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,03:48:17 11-Mar-2015,,,1,-24.7879,152.5668,Temperature: 47.01,03:48:17 11-Mar-2015,Status,11,160,213,45,72,127,84,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,11:44:42 11-Mar-2015,,,B,-24.7830,152.5627,Voltage: 1.41,11:44:42 11-Mar-2015,Status,105,222,88,216,80,193,74,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,07:21:37 12-Mar-2015,,,1,-24.7830,152.7433,Voltage: 2.19,07:21:37 12-Mar-2015,Status,11,153,137,46,212,114,2,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,06:50:22 13-Mar-2015,,,A,-24.8573,152.6623,Voltage: 2.16,06:50:22 13-Mar-2015,Status,11,150,135,255,129,98,130,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,SPOT,07:01:33 16-Mar-2015,,,A,-24.8851,152.6752,Voltage: 3.95,07:01:33 16-Mar-2015,Status,12,127,247,47,125,94,0,,,,,,,,,,,,,,,,,,,,,,,,,
