DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
141155,141155,SPOT,04:03:19 28-Feb-2015,Argos,0,-25.1399,152.9413,2067,27962,152,78,,,,,,
141155,141155,SPOT,03:55:00 01-Mar-2015,Argos,B,-25.0720,152.7885,5531,64553,473,169,,,,,,
141155,141155,SPOT,06:44:14 02-Mar-2015,Argos,A,-25.1564,152.7953,8301,80303,858,84,,,,,,
141155,141155,SPOT,07:32:14 02-Mar-2015,Argos,0,-25.1580,152.7691,6330,257039,155,103,,,,,,
141155,141155,SPOT,07:51:18 02-Mar-2015,Argos,1,-25.1337,152.7296,863,1110,670,28,,,,,,
141155,141155,SPOT,07:26:38 03-Mar-2015,Argos,B,-25.1609,152.4367,18645,725850,479,75,,,,,,
141155,141155,SPOT,03:24:44 04-Mar-2015,Argos,B,-25.1100,152.6482,33733,119778,9500,57,,,,,,
141155,141155,SPOT,07:43:03 05-Mar-2015,Argos,A,-24.8278,152.6571,29809,,,,,,,,,
141155,141155,SPOT,07:54:41 05-Mar-2015,Argos,2,-24.8427,152.7470,251,283,221,96,,,,,,
141155,141155,SPOT,07:54:41 05-Mar-2015,Argos,2,-24.8427,152.7470,251,283,221,96,,,,,,
141155,141155,SPOT,08:18:06 05-Mar-2015,Argos,2,-24.8500,152.7318,333,410,269,85,,,,,,
141155,141155,SPOT,07:13:53 06-Mar-2015,Argos,B,-24.7787,152.5335,9911,11370,8638,145,,,,,,
141155,141155,SPOT,07:42:10 06-Mar-2015,Argos,B,-25.0932,152.6544,4984,155856,159,92,,,,,,
141155,141155,SPOT,07:51:46 06-Mar-2015,Argos,B,-25.0959,152.7346,8249,86079,790,92,,,,,,
141155,141155,SPOT,04:28:08 07-Mar-2015,Argos,1,-24.9599,152.6127,597,1618,220,77,,,,,,
141155,141155,SPOT,05:54:46 07-Mar-2015,Argos,B,-24.9564,152.6045,4967,5720,4312,74,,,,,,
141155,141155,SPOT,06:38:25 07-Mar-2015,Argos,A,-24.9799,152.5806,1430,4769,428,12,,,,,,
141155,141155,SPOT,04:22:44 08-Mar-2015,Argos,B,-24.9785,152.3704,5405,6054,4825,91,,,,,,Lon > 4 deviations from mean
141155,141155,SPOT,07:21:33 08-Mar-2015,Argos,1,-25.0164,152.5641,546,983,302,9,,,,,,
141155,141155,SPOT,07:45:08 08-Mar-2015,Argos,1,-25.0121,152.5560,530,1905,147,101,,,,,,
141155,141155,SPOT,02:26:27 09-Mar-2015,Argos,B,-24.9140,152.5630,18166,30851,10696,79,,,,,,
141155,141155,SPOT,07:07:43 09-Mar-2015,Argos,B,-24.8276,152.5612,13313,,,,,,,,,
141155,141155,SPOT,07:09:25 09-Mar-2015,Argos,B,-24.8210,152.5879,2920,69048,123,75,,,,,,
141155,141155,SPOT,06:14:44 10-Mar-2015,Argos,B,-24.7567,152.6066,4759,12855,1762,95,,,,,,
141155,141155,SPOT,06:41:32 10-Mar-2015,Argos,B,-24.7825,152.6339,4951,13739,1783,81,,,,,,
141155,141155,SPOT,07:00:21 10-Mar-2015,Argos,A,-24.8084,152.6890,346,2397,50,79,,,,,,Lon > 4 deviations from mean
141155,141155,SPOT,03:40:38 11-Mar-2015,Argos,1,-24.7879,152.5668,704,1989,249,84,,,,,,
141155,141155,SPOT,06:45:45 11-Mar-2015,Argos,B,-24.7894,152.5658,9205,14341,5907,86,,,,,,
141155,141155,SPOT,11:44:42 11-Mar-2015,Argos,B,-24.7830,152.5627,14014,16950,11586,91,,,,,,
141155,141155,SPOT,12:36:03 11-Mar-2015,Argos,B,-24.8003,152.5638,11603,19900,6765,90,,,,,,
141155,141155,SPOT,07:07:21 12-Mar-2015,Argos,2,-24.7887,152.7245,259,721,93,80,,,,,,
141155,141155,SPOT,07:21:47 12-Mar-2015,Argos,1,-24.7830,152.7433,874,2361,323,82,,,,,,
