Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5171,141155,7,NP,0,1,28-Feb-2015,04:03:19,-25.1399,152.9413,,401677467,-127,50,0,28-Feb-2015,03:59:17,-25.1399,152.9413,561,2067,27962,152,78,,,8,159,213,18,84,82,193,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NP,0,1,28-Feb-2015,04:03:19,-25.1399,152.9413,,401677467,-127,50,0,28-Feb-2015,04:00:14,-25.1399,152.9413,561,2067,27962,152,78,,,8,148,209,87,90,70,193,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NP,0,1,28-Feb-2015,04:03:19,-25.1399,152.9413,,401677467,-127,50,0,28-Feb-2015,04:02:41,-25.1399,152.9413,561,2067,27962,152,78,,,8,145,214,44,79,62,192,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NP,0,1,28-Feb-2015,04:03:19,-25.1399,152.9413,,401677467,-127,50,0,28-Feb-2015,04:05:44,-25.1399,152.9413,561,2067,27962,152,78,,,8,140,214,43,76,78,192,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NP,0,1,28-Feb-2015,04:03:19,-25.1399,152.9413,,401677467,-127,50,0,28-Feb-2015,04:08:38,-25.1399,152.9413,561,2067,27962,152,78,,,8,127,214,41,73,66,192,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NP,B,2,01-Mar-2015,03:55:00,-25.0720,152.7885,,401677480,-125,,0,01-Mar-2015,03:53:29,-25.0720,152.7885,182,5531,64553,473,169,,,8,148,214,45,75,74,193,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NP,B,2,01-Mar-2015,03:55:00,-25.0720,152.7885,,401677480,-125,,0,01-Mar-2015,03:56:31,-25.0720,152.7885,182,5531,64553,473,169,,,8,162,213,50,78,82,193,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NN,A,3,02-Mar-2015,06:44:14,-25.1564,152.7953,,401677464,-131,,0,02-Mar-2015,06:42:53,-25.1564,152.7953,149,8301,80303,858,84,,,8,147,215,41,71,98,198,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NN,A,3,02-Mar-2015,06:44:14,-25.1564,152.7953,,401677464,-131,,0,02-Mar-2015,06:44:28,-25.1564,152.7953,149,8301,80303,858,84,,,8,156,214,44,76,94,197,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141155,7,NN,A,3,02-Mar-2015,06:44:14,-25.1564,152.7953,,401677464,-131,,0,02-Mar-2015,06:45:22,-25.1564,152.7953,149,8301,80303,858,84,,,8,164,214,49,81,94,198,,,,,,,,,,,,,,,,,,,,,,,,,
