DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
141155,141155,,SPOT,,,03:59:17 28-Feb-2015,,0,-25.1399,152.9413,,,,,2176,3.408,,0.072,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,04:00:14 28-Feb-2015,,0,-25.1399,152.9413,,,,,2176,3.344,,0.348,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,04:02:41 28-Feb-2015,,0,-25.1399,152.9413,,,,,2176,3.424,,0.176,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,04:05:44 28-Feb-2015,,0,-25.1399,152.9413,,,,,2176,3.424,,0.172,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,04:08:38 28-Feb-2015,,0,-25.1399,152.9413,,,,,2176,3.424,,0.164,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,03:53:29 01-Mar-2015,,B,-25.0720,152.7885,,,,,2176,3.424,,0.180,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,03:56:31 01-Mar-2015,,B,-25.0720,152.7885,,,,,2176,3.408,,0.200,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,06:42:53 02-Mar-2015,,A,-25.1564,152.7953,,,,,2176,3.440,,0.164,27.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,06:44:28 02-Mar-2015,,A,-25.1564,152.7953,,,,,2176,3.424,,0.176,27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,06:45:22 02-Mar-2015,,A,-25.1564,152.7953,,,,,2176,3.424,,0.196,27.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
141155,141155,,SPOT,,,07:28:45 02-Mar-2015,,0,-25.1580,152.7691,,,,,2176,3.440,,0.164,27.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
