"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",209943,5171,,,,,,,0,SR,,401650000,08/26/2021 05:31:53,1,1,0,-140,401650000,,,,,,,,,,,,90,160,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,NP,,401650000,08/29/2021 19:59:40,1,1,0,-128,401650000,,,,,,,,,,,,77,231,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,MB,,401650000,08/30/2021 11:38:04,1,1,0,-135,401650000,,,,,,,,,,,,40,99,160,254,240,238,0,238,238,14,238,238,224,238,238,66,99,160,0,0,0,1,1,255,24,0,0,0,0,0,34,
"",209943,5171,,,,,,,15,MA,,401650000,08/30/2021 21:32:10,1,2,0,-122,401650000,,,,,,,,,,,,13,3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,NP,,401650000,08/30/2021 21:32:26,1,1,0,-127,401650000,,,,,,,,,,,,40,99,141,116,233,243,96,195,179,138,67,123,137,233,123,50,131,188,172,49,173,173,3,27,243,192,16,250,244,249,205,
"",209943,5171,,,,,,,15,MA,,401650000,08/30/2021 21:32:26,1,2,0,-122,401650000,,,,,,,,,,,,40,37,46,9,63,187,187,193,116,89,193,113,193,71,77,135,147,228,251,150,89,45,16,253,143,50,222,92,164,41,232,
"",209943,5171,,,,,,,0,MC,,401650000,08/30/2021 22:04:55,1,1,0,-124,401650000,,,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,NK,,401650000,08/30/2021 22:04:55,1,1,0,-129,401650000,,,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,SR,,401650000,08/31/2021 06:15:17,1,1,0,-131,401650000,,,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,NP,,401650000,08/31/2021 08:27:31,1,1,0,-136,401650000,,,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,NP,,401650000,08/31/2021 19:38:50,1,1,0,-129,401650000,,,,,,,,,,,,15,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,295,NK,,401650000,08/31/2021 19:57:28,1,2,0,-127,401650000,,,,,,,,,,,,47,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,295,NK,,401650000,08/31/2021 20:02:23,1,2,0,-127,401650000,,,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,127,SR,,401650000,09/01/2021 07:21:22,1,2,0,-130,401650000,,,,,,,,,,,,85,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,0,A1,,401650000,09/01/2021 07:21:22,1,1,0,-131,401650000,,,,,,,,,,,,85,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,,,,,,,127,SR,,401650000,09/01/2021 07:23:29,1,2,0,-130,401650000,,,,,,,,,,,,80,208,165,245,40,148,198,52,80,157,177,22,214,6,41,14,9,164,48,207,144,255,128,,,,,,,,,
"",209943,5171,-22.61147,152.76853,B,09/01/2021 19:34:17,Argos,0,154,NK,,401677838.11,09/01/2021 19:33:00,1,2,0,-132,401677838.11,152.76853,-22.61147,152.76852,-22.61147,6,3,0,0,0,28,3277,101,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.61147,152.76853,B,09/01/2021 19:34:17,Argos,0,154,NK,,401677838.11,09/01/2021 19:35:34,1,2,0,-132,401677838.11,152.76853,-22.61147,152.76852,-22.61147,6,3,0,0,0,28,3277,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.61124,152.77167,3,09/01/2021 19:43:19,Argos,0,458,SR,,401677835.95,09/01/2021 19:39:27,1,4,0,-128,401677835.95,152.77167,-22.61124,152.77167,-22.61124,50,3,248,1463,41,74,393,73,243,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.61124,152.77167,3,09/01/2021 19:43:19,Argos,0,458,SR,,401677835.95,09/01/2021 19:41:11,1,4,0,-128,401677835.95,152.77167,-22.61124,152.77167,-22.61124,50,3,248,1463,41,74,393,95,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.61124,152.77167,3,09/01/2021 19:43:19,Argos,0,458,SR,,401677835.95,09/01/2021 19:45:36,1,4,0,-128,401677835.95,152.77167,-22.61124,152.77167,-22.61124,50,3,248,1463,41,74,393,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.61124,152.77167,3,09/01/2021 19:43:19,Argos,0,458,SR,,401677835.95,09/01/2021 19:47:05,1,4,0,-128,401677835.95,152.77167,-22.61124,152.77167,-22.61124,50,3,248,1463,41,74,393,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.61124,152.77167,3,09/01/2021 19:43:19,Argos,0,458,SR,,401677835.95,09/01/2021 19:52:08,1,4,0,-128,401677835.95,152.77167,-22.61124,152.77167,-22.61124,50,3,248,1463,41,74,393,15,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.51472,152.88959,A,09/02/2021 20:16:12,Argos,0,173,A1,,401677833.93,09/02/2021 20:14:31,1,3,0,-125,401677833.93,152.88959,-22.51472,,,0,3,301,1516,59,86,557,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.51472,152.88959,A,09/02/2021 20:16:12,Argos,0,173,A1,,401677833.93,09/02/2021 20:16:43,1,3,0,-125,401677833.93,152.88959,-22.51472,,,0,3,301,1516,59,86,557,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,5171,-22.51472,152.88959,A,09/02/2021 20:16:12,Argos,0,173,A1,,401677833.93,09/02/2021 20:17:24,1,3,0,-125,401677833.93,152.88959,-22.51472,,,0,3,301,1516,59,86,557,71,245,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
