DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
209943,209943,UT,11:38:04 30-Aug-2021,,,,,,CRC (both failed),00:00:00 29-Aug-2021,TAT,40,99,160,254,240,238,0,238,238,14,238,238,224,238,238,66,99,160,0,0,0,1,1,255,24,0,0,0,0,0,34,
209943,209943,UT,21:32:10 30-Aug-2021,,,,,,CRC 13.8,21:32:10 30-Aug-2021,Status,13,3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,21:32:26 30-Aug-2021,,,,,,CRC (both failed),,,40,37,46,9,63,187,187,193,116,89,193,113,193,71,77,135,147,228,251,150,89,45,16,253,143,50,222,92,164,41,232,
209943,209943,UT,21:32:26 30-Aug-2021,,,,,,CRC (both failed),,,40,99,141,116,233,243,96,195,179,138,67,123,137,233,123,50,131,188,172,49,173,173,3,27,243,192,16,250,244,249,205,
209943,209943,UT,19:38:50 31-Aug-2021,,,,,,CRC 15.9,19:38:50 31-Aug-2021,Status,15,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:57:28 31-Aug-2021,,,,,,CRC 15.8,19:57:28 31-Aug-2021,Status,47,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:33:00 01-Sep-2021,,,B,-22.6115,152.7685,CRC 5.6,,,101,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:41:11 01-Sep-2021,,,3,-22.6112,152.7717,CRC 15.9,19:41:11 01-Sep-2021,Status,95,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:52:08 01-Sep-2021,,,3,-22.6112,152.7717,CRC 15.5,19:52:08 01-Sep-2021,Status,15,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:35:10 02-Sep-2021,,,B,-22.5148,152.8894,,,,15,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:24:11 07-Sep-2021,,,A,-22.2019,152.8634,CRC 221.80,08:00:26 04-Sep-2021,Status,91,160,104,151,109,94,3,38,146,11,14,34,0,107,92,196,128,196,153,157,233,142,230,,,,,,,,,
209943,209943,UT,20:24:11 07-Sep-2021,,,B,-22.1721,152.8069,CRC 221.239,07:55:10 28-Aug-2021,Status,91,161,8,224,40,251,145,51,15,58,37,100,20,225,247,42,13,71,182,60,8,252,192,,,,,,,,,
209943,209943,UT,20:18:39 08-Sep-2021,,,B,-22.2840,152.8056,CRC 3.2,,,99,91,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:10:17 09-Sep-2021,,,B,-22.4093,152.5307,CRC (both failed),,,40,101,0,238,226,225,224,14,238,238,238,238,14,14,226,107,101,168,9,9,161,240,5,157,1,78,225,165,87,140,166,
