Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5171,209943,3,SR, ,3,26-Aug-2021,05:31:53,,,,401650000,-140,,0,26-Aug-2021,05:31:53,,,,,,,,,,90,160,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NP, ,4,29-Aug-2021,19:59:40,,,,401650000,-128,,0,29-Aug-2021,19:59:40,,,,,,,,,,77,231,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,31,MB, ,5,30-Aug-2021,11:38:04,,,,401650000,-135,,0,30-Aug-2021,11:38:04,,,,,,,,,,40,99,160,254,240,238,0,238,238,14,238,238,224,238,238,66,99,160,0,0,0,1,1,255,24,0,0,0,0,0,34,
5171,209943,3,MA, ,6,30-Aug-2021,21:32:10,,,,401650000,-122,,0,30-Aug-2021,21:32:10,,,16,,,,,,,13,3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,31,MA, ,6,30-Aug-2021,21:32:10,,,,401650000,-122,,0,30-Aug-2021,21:32:26,,,16,,,,,,,40,37,46,9,63,187,187,193,116,89,193,113,193,71,77,135,147,228,251,150,89,45,16,253,143,50,222,92,164,41,232,
5171,209943,31,NP, ,7,30-Aug-2021,21:32:26,,,,401650000,-127,,0,30-Aug-2021,21:32:26,,,,,,,,,,40,99,141,116,233,243,96,195,179,138,67,123,137,233,123,50,131,188,172,49,173,173,3,27,243,192,16,250,244,249,205,
5171,209943,3,MC, ,8,30-Aug-2021,22:04:55,,,,401650000,-124,,0,30-Aug-2021,22:04:55,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NK, ,9,30-Aug-2021,22:04:55,,,,401650000,-129,,0,30-Aug-2021,22:04:55,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,SR, ,10,31-Aug-2021,06:15:17,,,,401650000,-131,,0,31-Aug-2021,06:15:17,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NP, ,11,31-Aug-2021,08:27:31,,,,401650000,-136,,0,31-Aug-2021,08:27:31,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NP, ,12,31-Aug-2021,19:38:50,,,,401650000,-129,,0,31-Aug-2021,19:38:50,,,,,,,,,,15,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NK, ,13,31-Aug-2021,19:57:28,,,,401650000,-127,,0,31-Aug-2021,19:57:28,,,295,,,,,,,47,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NK, ,13,31-Aug-2021,19:57:28,,,,401650000,-127,,0,31-Aug-2021,20:02:23,,,295,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,SR, ,14,01-Sep-2021,07:21:22,,,,401650000,-130,,0,01-Sep-2021,07:21:22,,,127,,,,,,,85,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,23,SR, ,14,01-Sep-2021,07:21:22,,,,401650000,-130,,0,01-Sep-2021,07:23:29,,,127,,,,,,,80,208,165,245,40,148,198,52,80,157,177,22,214,6,41,14,9,164,48,207,144,255,128,,,,,,,,,
5171,209943,3,A1, ,15,01-Sep-2021,07:21:22,,,,401650000,-131,,0,01-Sep-2021,07:21:22,,,,,,,,,,85,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NK,B,16,01-Sep-2021,19:34:17,-22.6115,152.7685,,401677838,-132,6,0,01-Sep-2021,19:33:00,-22.6115,152.7685,154,,,,,,,101,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,NK,B,16,01-Sep-2021,19:34:17,-22.6115,152.7685,,401677838,-132,6,0,01-Sep-2021,19:35:34,-22.6115,152.7685,154,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,SR,3,17,01-Sep-2021,19:43:19,-22.6112,152.7717,,401677835,-128,50,0,01-Sep-2021,19:39:27,-22.6112,152.7717,761,248,1463,41,74,,,73,243,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,SR,3,17,01-Sep-2021,19:43:19,-22.6112,152.7717,,401677835,-128,50,0,01-Sep-2021,19:41:11,-22.6112,152.7717,761,248,1463,41,74,,,95,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,209943,3,SR,3,17,01-Sep-2021,19:43:19,-22.6112,152.7717,,401677835,-128,50,0,01-Sep-2021,19:45:36,-22.6112,152.7717,761,248,1463,41,74,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
