DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
209944,209944,UT,DS,2,0,0,45,45,12:57:34 05-May-2021,MC,,,,,,,,401650000,-130
209944,209944,UT,DS,1,0,1,,,23:59:52 05-May-2021,MC,,,,,,,,401650000,-131
209944,209944,UT,DS,3,0,0,272,268,11:36:35 06-May-2021,MB,A,-20.2603,148.9539,-19.1579,153.7743,,,401677799,-132
209944,209944,UT,DS,2,0,0,90,90,12:01:26 06-May-2021,MA,B,-20.2639,148.9475,-20.2639,148.9475,6,,401677800,-124
209944,209944,UT,DS,6,0,1,126,87,12:11:05 06-May-2021,NN,3,-20.2608,148.9380,-20.2608,148.9380,66,,401677797,-120
209944,209944,UT,DS,6,0,0,124,87,12:29:11 06-May-2021,MC,3,-20.2610,148.9370,-20.2610,148.9370,66,,401677797,-119
209944,209944,UT,DS,1,0,0,,,13:14:06 06-May-2021,MB,B,-20.2613,148.9309,-20.2613,148.9309,8,,401677795,-135
209944,209944,UT,DS,4,0,0,121,91,06:26:54 07-May-2021,A1,2,-20.4995,148.8066,-20.4995,148.8066,50,,401677766,-135
209944,209944,UT,DS,7,1,1,,,06:38:09 07-May-2021,SR,3,-20.4998,148.8088,-20.4998,148.8088,56,,401677770,-131
209944,209944,UT,DS,7,2,0,,,07:45:01 07-May-2021,NP,3,-20.5022,148.8118,-20.5022,148.8118,58,,401677782,-128
209944,209944,UT,DS,7,1,0,,,07:59:57 07-May-2021,A1,3,-20.4991,148.8129,-20.4991,148.8129,56,,401677784,-123
209944,209944,UT,DS,8,1,0,,,08:11:56 07-May-2021,SR,3,-20.5003,148.8102,-20.5003,148.8102,56,,401677785,-120
209944,209944,UT,DS,6,0,0,106,87,09:21:33 07-May-2021,NK,3,-20.5460,148.8890,-20.5460,148.8890,56,,401677791,-121
209944,209944,UT,DS,3,0,0,178,177,09:20:05 07-May-2021,NP,A,-20.5592,148.8858,-20.5592,148.8858,8,,401677794,-125
209944,209944,UT,DS,5,0,0,156,90,10:06:24 07-May-2021,MA,1,-20.5103,148.9229,-20.5103,148.9229,48,,401677792,-117
209944,209944,UT,DS,2,0,0,90,90,10:25:17 07-May-2021,NN,B,-20.4924,148.9380,-20.4924,148.9380,6,,401677800,-133
209944,209944,UT,DS,4,0,0,90,89,10:29:05 07-May-2021,MC,0,-20.4722,148.9268,-20.4722,148.9268,56,,401677797,-125
209944,209944,UT,DS,1,0,0,,,10:59:10 07-May-2021,NK,B,-20.4674,148.9396,-20.4674,148.9396,6,,401677817,-127
