DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature
209944,209944,0.500000,UT,,,06:09:23 08-Mar-2022,,1,-24.3957,152.9074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,,,06:11:33 08-Mar-2022,,1,-24.3957,152.9074,,,,,,,,,28.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,,,06:11:48 08-Mar-2022,,1,-24.3957,152.9074,,,,,8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,,,06:12:03 08-Mar-2022,,1,-24.3957,152.9074,,,,,,3.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,1.00b,,06:13:05 08-Mar-2022,,1,-24.3957,152.9074,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,,00:13:41 09-Mar-2022,00:01:35 09-Mar-2022,-725,B,-24.3274,152.8651,CRC,,,,8404,3.325,,,28.25,,,,,,,,,,,,,,255,27,255,0,,,,,,,5,,,0,99,,,
209944,209944,0.500000,UT,,,00:36:48 09-Mar-2022,,1,-24.2772,152.8660,,,,,,3.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,1.00b,,00:38:26 09-Mar-2022,,1,-24.2772,152.8660,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,,,00:40:27 09-Mar-2022,,1,-24.2772,152.8660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,,00:28:17 11-Mar-2022,00:16:06 11-Mar-2022,-730,,,,CRC,,,,8504,3.300,,,25.40,,,,,,,,,,,,,,56,27,255,0,,,,,,,7,,,0,111,,,
209944,209944,0.500000,UT,,,05:53:41 15-Mar-2022,,,,,,,,,,3.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
209944,209944,0.500000,UT,,,18:14:55 15-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
