"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",209943,7495,,,,,,,0,SR,,401650000,03/08/2022 07:56:04,1,1,0,-133,401650000,,,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,,,,,,,0,NP,,401650000,03/09/2022 07:51:02,1,1,0,-139,401650000,,,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,,,,,,,0,NK,,401650000,03/09/2022 10:33:44,1,1,0,-135,401650000,,,,,,,,,,,,42,141,1,238,238,1,14,14,238,238,238,238,174,204,238,159,169,176,24,51,36,229,96,216,0,120,2,6,7,111,117,
"",209943,7495,,,,,,,0,A1,,401650000,03/10/2022 06:29:46,1,1,0,-134,401650000,,,,,,,,,,,,85,80,165,245,40,148,198,52,85,26,172,220,144,105,247,12,7,202,29,209,173,26,26,,,,,,,,,
"",209943,7495,,,,,,,0,A1,,401650000,03/10/2022 08:07:35,1,1,0,-135,401650000,,,,,,,,,,,,94,73,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,,,,,,,0,NK,,401650000,03/10/2022 08:18:38,1,1,0,-130,401650000,,,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,-24.03864,152.70582,B,03/11/2022 07:50:11,Argos,0,35,A1,,401677808.78,03/11/2022 07:49:54,1,2,0,-126,401677808.78,152.70582,-24.03864,152.70583,-24.03864,0,3,2457,22054,273,138,3868,91,39,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,-24.03864,152.70582,B,03/11/2022 07:50:11,Argos,0,35,A1,,401677808.78,03/11/2022 07:50:29,1,2,0,-126,401677808.78,152.70582,-24.03864,152.70583,-24.03864,0,3,2457,22054,273,138,3868,97,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,-24.03699,152.70521,B,03/11/2022 07:59:13,Argos,0,0,SR,,401677807.97,03/11/2022 07:59:14,1,1,0,-124,401677807.97,152.70521,-24.03699,152.70522,-24.03699,6,3,2457,9838,613,138,3869,136,3,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,-24.00195,152.6937,B,03/11/2022 11:40:30,Argos,0,0,MB,,401677796.39,03/11/2022 11:40:30,1,1,0,-130,401677796.39,152.6937,-24.00195,152.6937,-24.00195,8,3,3145,3527,2803,89,5885,40,141,64,224,236,0,145,12,190,238,3,158,239,44,116,108,214,181,235,254,153,165,61,147,174,67,138,195,47,239,108,
"",209943,7495,-24.05612,152.69901,B,03/11/2022 23:48:43,Argos,0,0,MC,,401677807.88,03/11/2022 23:48:43,1,1,0,-123,401677807.88,152.69901,-24.05612,152.699,-24.05612,0,3,3543,10114,1241,99,9374,97,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",209943,7495,-24.05906,152.70058,B,03/12/2022 07:33:33,Argos,0,413,A1,,401677798.67,03/12/2022 07:30:07,1,2,0,-131,401677798.67,152.70058,-24.05906,152.70058,-24.05906,8,3,2486,51291,120,33,7026,40,141,96,224,14,238,14,224,238,238,238,238,238,238,0,216,141,96,0,0,0,1,3,1,104,80,255,0,0,0,194,
"",209943,7495,-24.05906,152.70058,B,03/12/2022 07:33:33,Argos,0,413,A1,,401677798.67,03/12/2022 07:37:00,1,2,0,-131,401677798.67,152.70058,-24.05906,152.70058,-24.05906,8,3,2486,51291,120,33,7026,97,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
