DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
209943,209943,UT,10:33:44 09-Mar-2022,,,,,,CRC (both failed),,,42,141,1,238,238,1,14,14,238,238,238,238,174,204,238,159,169,176,24,51,36,229,96,216,0,120,2,6,7,111,117,
209943,209943,UT,06:29:46 10-Mar-2022,,,,,,CRC 170.26,06:42:51 10-Mar-2022,Status,85,80,165,245,40,148,198,52,85,26,172,220,144,105,247,12,7,202,29,209,173,26,26,,,,,,,,,
209943,209943,UT,08:07:35 10-Mar-2022,,,,,,CRC 14.13,08:07:35 10-Mar-2022,Status,94,73,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,07:59:14 11-Mar-2022,,,B,-24.0370,152.7052,CRC 8.13,,,136,3,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,11:40:30 11-Mar-2022,,,B,-24.0019,152.6937,CRC (both failed),,,40,141,64,224,236,0,145,12,190,238,3,158,239,44,116,108,214,181,235,254,153,165,61,147,174,67,138,195,47,239,108,
209943,209943,UT,23:25:09 12-Mar-2022,,,B,-23.9683,152.6663,CRC (both failed),,,40,141,96,224,142,129,199,80,181,191,180,184,145,135,1,123,241,24,20,80,23,12,156,112,142,48,254,2,58,62,64,
209943,209943,UT,10:25:32 13-Mar-2022,,,B,-23.8510,152.6279,CRC (both failed),,,40,141,128,0,238,238,238,239,68,170,172,84,74,170,160,20,140,138,130,135,118,212,180,170,170,179,115,1,200,0,52,
209943,209943,UT,19:58:41 13-Mar-2022,,,A,-23.9678,152.6131,CRC 4.7,,,100,134,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,08:19:58 14-Mar-2022,,,A,-23.9854,152.6486,CRC 15.10,08:19:58 14-Mar-2022,Status,31,234,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,08:21:14 14-Mar-2022,,,A,-23.9854,152.6486,CRC 10.8,08:21:14 14-Mar-2022,Status,74,69,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:22:52 14-Mar-2022,,,,,,CRC 5.15,20:22:52 14-Mar-2022,Status,69,49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,21:06:40 14-Mar-2022,,,B,-24.0690,152.7212,,,,107,133,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,06:50:28 15-Mar-2022,,,B,-24.1071,152.6918,CRC 116.149,07:03:48 15-Mar-2022,Status,78,144,165,245,40,148,198,52,87,156,60,23,130,75,167,59,214,140,65,226,30,18,182,,,,,,,,,
209943,209943,UT,22:31:24 15-Mar-2022,,,B,-23.8454,152.4405,CRC 156.218,22:31:24 15-Mar-2022,Status,83,144,165,245,40,148,198,60,70,99,216,171,105,238,78,69,54,125,61,174,132,37,77,,,,,,,,,
209943,209943,UT,20:15:38 16-Mar-2022,,,B,-23.8687,152.4750,CRC 9.12,20:15:38 16-Mar-2022,Status,89,83,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,07:53:38 17-Mar-2022,,,B,-23.9757,152.7393,,,,101,163,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,07:40:16 18-Mar-2022,,,B,-23.9876,152.6977,CRC 14.13,07:40:16 18-Mar-2022,Status,30,142,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:05:27 21-Mar-2022,,,B,-23.9592,152.5623,CRC (both failed),,,40,142,128,238,14,193,0,63,63,246,106,207,14,128,72,186,47,134,135,115,195,145,18,123,147,129,50,132,247,164,189,
209943,209943,UT,20:05:27 21-Mar-2022,,,B,-23.9433,152.5020,CRC (both failed),,,40,142,128,238,126,32,23,167,176,243,242,56,142,224,82,177,47,131,58,197,103,246,85,65,211,130,242,145,230,59,254,
209943,209943,UT,07:35:59 24-Mar-2022,,,,,,CRC 200.112,07:35:59 24-Mar-2022,Status,89,26,121,230,163,127,205,227,148,103,17,143,79,227,254,76,178,245,167,94,187,49,66,,,,,,,,,
209943,209943,UT,11:39:40 25-Mar-2022,,,,,,CRC 11.15,11:39:40 25-Mar-2022,Status,11,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:55:55 26-Mar-2022,,,1,-23.8561,152.6253,CRC 15.12,,,111,132,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,10:05:46 28-Mar-2022,,,1,-23.7049,152.5876,CRC 249.182,10:19:45 28-Mar-2022,Status,95,48,165,245,40,148,198,52,94,41,59,95,82,112,205,0,7,224,29,211,240,255,153,,,,,,,,,
209943,209943,UT,21:56:59 28-Mar-2022,,,B,-23.5975,152.4843,CRC 15.13,21:56:59 28-Mar-2022,Status,15,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:58:41 29-Mar-2022,,,B,-23.4545,151.9804,CRC 6.11,,,134,120,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:54:06 31-Mar-2022,,,A,-23.9857,152.4916,CRC 15.13,19:54:06 31-Mar-2022,Status,15,1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:54:06 31-Mar-2022,,,1,-23.9601,152.5755,CRC 15.12,19:54:06 31-Mar-2022,Status,15,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:27:57 01-Apr-2022,,,B,-24.0032,152.4649,CRC 10.0,19:27:57 01-Apr-2022,Status,74,201,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:29:22 02-Apr-2022,,,B,-24.0595,152.3058,,,,107,158,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,22:43:28 04-Apr-2022,,,B,-23.9311,152.3522,CRC (both failed),,,40,144,32,14,194,231,124,150,1,212,123,13,243,7,132,89,2,55,230,1,222,9,5,134,135,255,165,0,0,0,2,
209943,209943,UT,06:04:45 06-Apr-2022,,,B,-24.1914,152.8178,CRC 14.5,06:04:45 06-Apr-2022,Status,30,142,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,06:55:24 08-Apr-2022,,,1,-24.0915,152.7319,CRC 7.8,,,167,223,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,05:45:00 13-Apr-2022,,,,,,CRC 11.8,05:45:00 13-Apr-2022,Status,91,172,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,21:50:44 13-Apr-2022,,,B,-24.0021,152.6439,CRC 4.12,21:50:44 13-Apr-2022,Status,84,193,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,05:51:25 16-Apr-2022,,,,,,CRC (both failed),,,40,145,239,133,45,82,252,65,145,11,169,52,182,51,34,73,38,249,173,230,128,11,52,222,253,145,69,91,179,18,119,
209943,209943,UT,07:20:21 18-Apr-2022,,,0,-24.0835,152.6042,CRC 3.8,07:20:21 18-Apr-2022,Status,67,54,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,21:20:43 18-Apr-2022,,,B,-24.0885,152.6046,CRC 6.3,21:20:43 18-Apr-2022,Status,70,22,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,21:20:43 18-Apr-2022,,,B,-24.0788,152.6059,CRC 6.0,21:20:43 18-Apr-2022,Status,70,62,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,06:03:15 19-Apr-2022,,,,,,CRC 6.7,06:03:15 19-Apr-2022,Status,86,240,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,07:35:03 19-Apr-2022,,,,,,CRC 14.8,07:35:03 19-Apr-2022,Status,30,142,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,07:35:24 19-Apr-2022,,,,,,CRC 2.9,,,2,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,07:36:50 19-Apr-2022,,,,,,CRC 89.126,07:36:50 19-Apr-2022,Status,75,49,161,229,38,114,68,34,96,6,6,232,8,241,90,150,226,242,59,166,33,255,0,,,,,,,,,
209943,209943,UT,20:04:06 19-Apr-2022,,,A,-24.0820,152.6319,CRC 1.4,20:04:06 19-Apr-2022,Status,65,141,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:04:31 19-Apr-2022,,,A,-24.0820,152.6319,CRC 14.2,,,110,132,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,19:57:40 21-Apr-2022,,,B,-23.4061,152.6654,CRC 8.1,,,136,49,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,22:05:08 21-Apr-2022,,,B,-23.3787,152.6289,CRC 4.8,22:05:08 21-Apr-2022,Status,84,115,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:03:22 22-Apr-2022,,,B,-23.1792,152.6108,CRC 10.12,,,106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,20:48:54 24-Apr-2022,,,,,,CRC (both failed),,,40,146,233,202,0,39,14,125,107,115,99,227,103,58,167,90,252,5,93,233,55,143,24,241,153,135,228,66,103,193,149,
209943,209943,UT,00:54:18 27-Apr-2022,,,,,,CRC (both failed),,,40,147,64,0,0,14,0,238,238,238,238,235,174,55,231,29,29,232,197,107,170,189,177,156,161,65,106,10,29,117,92,
209943,209943,UT,21:00:47 27-Apr-2022,,,A,-24.0811,152.7301,CRC 3.15,,,227,59,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,07:21:23 30-Apr-2022,,,B,-24.0469,152.7410,CRC (both failed),,,40,147,160,0,224,135,204,196,181,247,163,170,89,167,135,127,12,243,40,78,83,64,211,15,66,125,28,80,213,186,116,
209943,209943,UT,21:01:36 01-May-2022,,,B,-23.7532,152.7776,CRC 6.13,,,102,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,21:04:37 01-May-2022,,,B,-23.7532,152.7776,CRC 13.6,21:04:37 01-May-2022,Status,13,86,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209943,209943,UT,22:39:20 01-May-2022,,,B,-23.7249,152.7249,CRC (both failed),,,40,147,192,238,238,238,224,237,106,210,237,234,195,187,1,14,98,86,25,162,7,122,48,188,114,70,146,113,31,119,75,
209943,209943,UT,05:55:47 02-May-2022,,,B,-23.6222,152.6194,CRC 14.7,,,158,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
