DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
209943,209943,UT,07:50:11 11-Mar-2022,Argos,B,-24.0386,152.7058,2457,22054,273,138,,,,,,
209943,209943,UT,07:59:13 11-Mar-2022,Argos,B,-24.0370,152.7052,2457,9838,613,138,,,,,,
209943,209943,UT,11:40:30 11-Mar-2022,Argos,B,-24.0019,152.6937,3145,3527,2803,89,,,,,,
209943,209943,UT,23:48:43 11-Mar-2022,Argos,B,-24.0561,152.6990,3543,10114,1241,99,,,,,,
209943,209943,UT,07:33:33 12-Mar-2022,Argos,B,-24.0591,152.7006,2486,51291,120,33,,,,,,
209943,209943,UT,23:25:08 12-Mar-2022,Argos,B,-23.9683,152.6663,4276,4921,3714,171,,,,,,
209943,209943,UT,10:25:32 13-Mar-2022,Argos,B,-23.8510,152.6279,4000,9767,1638,73,,,,,,
209943,209943,UT,10:25:32 13-Mar-2022,Argos,B,-23.8451,152.6354,3914,9212,1663,75,,,,,,
209943,209943,UT,19:56:20 13-Mar-2022,Argos,A,-23.9678,152.6131,724,2535,206,157,,,,,,
209943,209943,UT,20:02:40 13-Mar-2022,Argos,B,-23.9671,152.6122,1038,1577,682,151,,,,,,
209943,209943,UT,08:19:15 14-Mar-2022,Argos,A,-23.9854,152.6486,540,2984,97,68,,,,,,
209943,209943,UT,19:54:08 14-Mar-2022,Argos,A,-24.0571,152.7365,652,3490,121,50,,,,,,
209943,209943,UT,21:06:39 14-Mar-2022,Argos,B,-24.0690,152.7212,2082,4984,870,58,,,,,,
209943,209943,UT,21:08:55 14-Mar-2022,Argos,2,-24.0685,152.6994,435,2366,80,85,,,,,,
209943,209943,UT,22:51:56 14-Mar-2022,Argos,B,-24.0725,152.7213,2469,4226,1441,61,,,,,,
209943,209943,UT,06:50:27 15-Mar-2022,Argos,B,-24.1071,152.6918,4145,5867,2928,137,,,,,,
209943,209943,UT,20:01:43 15-Mar-2022,Argos,A,-23.8540,152.4510,1649,1931,1407,38,,,,,,
209943,209943,UT,21:19:55 15-Mar-2022,Argos,B,-23.8482,152.4442,25809,32332,20601,107,,,,,,
209943,209943,UT,22:31:23 15-Mar-2022,Argos,B,-23.8454,152.4405,26526,32487,21659,103,,,,,,
209943,209943,UT,20:15:37 16-Mar-2022,Argos,B,-23.8687,152.4750,64371,74138,55890,56,,,,,,
209943,209943,UT,21:03:19 16-Mar-2022,Argos,B,-23.7600,152.3205,70164,77607,63434,93,,,,,,
209943,209943,UT,23:40:17 16-Mar-2022,Argos,B,-23.8221,152.4561,7505,15029,3748,136,,,,,,
209943,209943,UT,07:53:38 17-Mar-2022,Argos,B,-23.9757,152.7393,8122,16126,4090,53,,,,,,
209943,209943,UT,07:40:16 18-Mar-2022,Argos,B,-23.9876,152.6977,14227,17328,11680,60,,,,,,
209943,209943,UT,07:40:16 18-Mar-2022,Argos,B,-23.9746,152.7457,26509,238486,2946,97,,,,,,
209943,209943,UT,19:55:38 18-Mar-2022,Argos,B,-24.0069,152.7840,7687,39103,1511,73,,,,,,
209943,209943,UT,12:56:26 19-Mar-2022,Argos,B,-24.1491,152.8410,7212,15807,3290,99,,,,,,
209943,209943,UT,22:49:34 19-Mar-2022,Argos,B,-24.1698,152.7707,9071,29692,2770,115,,,,,,
209943,209943,UT,09:14:04 20-Mar-2022,Argos,B,-24.0815,152.6435,4027,66520,243,55,,,,,,
209943,209943,UT,11:04:14 20-Mar-2022,Argos,B,-24.0858,152.6452,3409,10859,1070,55,,,,,,
209943,209943,UT,11:04:14 20-Mar-2022,Argos,B,-24.0824,152.6441,4258,18334,988,55,,,,,,
209943,209943,UT,20:14:50 20-Mar-2022,Argos,B,-24.0487,152.6434,4046,13477,1214,69,,,,,,
209943,209943,UT,20:37:13 20-Mar-2022,Argos,B,-24.0571,152.6391,4021,14981,1079,64,,,,,,
209943,209943,UT,20:05:27 21-Mar-2022,Argos,B,-23.9592,152.5623,10351,40748,2629,68,,,,,,
209943,209943,UT,20:09:48 21-Mar-2022,Argos,B,-23.9433,152.5020,997,3197,310,110,,,,,,
209943,209943,UT,19:29:42 22-Mar-2022,Argos,A,-23.9528,152.5602,1285,6468,255,170,,,,,,
209943,209943,UT,19:30:20 22-Mar-2022,Argos,B,-23.9394,152.4703,3657,16498,810,114,,,,,,
209943,209943,UT,19:56:05 22-Mar-2022,Argos,B,-23.9580,152.5028,3401,13260,872,111,,,,,,
209943,209943,UT,21:43:21 22-Mar-2022,Argos,B,-23.9833,152.5788,2137,5529,826,76,,,,,,
209943,209943,UT,21:43:21 22-Mar-2022,Argos,B,-23.9903,152.5736,1683,3580,791,74,,,,,,
209943,209943,UT,23:22:18 22-Mar-2022,Argos,B,-23.9848,152.5997,1926,4102,904,89,,,,,,
209943,209943,UT,23:35:45 22-Mar-2022,Argos,B,-23.9796,152.6138,1174,17382,79,122,,,,,,
209943,209943,UT,06:17:56 23-Mar-2022,Argos,B,-23.9517,152.7040,1691,36094,79,156,,,,,,
