Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7495,209943,3,SR, ,1,08-Mar-2022,07:56:04,,,,401650000,-133,,0,08-Mar-2022,07:56:04,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209943,3,NP, ,2,09-Mar-2022,07:51:02,,,,401650000,-139,,0,09-Mar-2022,07:51:02,,,,,,,,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209943,31,NK, ,3,09-Mar-2022,10:33:44,,,,401650000,-135,,0,09-Mar-2022,10:33:44,,,,,,,,,,42,141,1,238,238,1,14,14,238,238,238,238,174,204,238,159,169,176,24,51,36,229,96,216,0,120,2,6,7,111,117,
7495,209943,23,A1, ,4,10-Mar-2022,06:29:46,,,,401650000,-134,,0,10-Mar-2022,06:29:46,,,,,,,,,,85,80,165,245,40,148,198,52,85,26,172,220,144,105,247,12,7,202,29,209,173,26,26,,,,,,,,,
7495,209943,3,A1, ,5,10-Mar-2022,08:07:35,,,,401650000,-135,,0,10-Mar-2022,08:07:35,,,,,,,,,,94,73,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209943,3,NK, ,6,10-Mar-2022,08:18:38,,,,401650000,-130,,0,10-Mar-2022,08:18:38,,,,,,,,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209943,3,A1,B,7,11-Mar-2022,07:50:11,-24.0386,152.7058,,401677808,-126,,0,11-Mar-2022,07:49:54,-24.0386,152.7058,35,2457,22054,273,138,,,91,39,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209943,3,A1,B,7,11-Mar-2022,07:50:11,-24.0386,152.7058,,401677808,-126,,0,11-Mar-2022,07:50:29,-24.0386,152.7058,35,2457,22054,273,138,,,97,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209943,3,SR,B,8,11-Mar-2022,07:59:13,-24.0370,152.7052,,401677807,-124,6,0,11-Mar-2022,07:59:14,-24.0370,152.7052,,2457,9838,613,138,,,136,3,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209943,31,MB,B,9,11-Mar-2022,11:40:30,-24.0019,152.6937,,401677796,-130,8,0,11-Mar-2022,11:40:30,-24.0019,152.6937,,3145,3527,2803,89,,,40,141,64,224,236,0,145,12,190,238,3,158,239,44,116,108,214,181,235,254,153,165,61,147,174,67,138,195,47,239,108,
