DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
184221,184221,UT,DS,1,0,0,,,20:29:05 14-Mar-2021,SR,B,-23.8256,151.2456,-23.8256,151.2456,8,,401650000,-136
184221,184221,UT,DS,6,0,0,102,84,21:08:58 14-Mar-2021,NP,2,-23.8289,151.2438,-23.8289,151.2438,50,,401677503,-129
184221,184221,UT,DS,8,2,0,,,21:28:03 14-Mar-2021,NK,2,-23.8262,151.2510,-23.8262,151.2510,46,,401677504,-117
184221,184221,UT,DS,9,2,0,,,21:27:20 14-Mar-2021,MA,2,-23.8265,151.2310,-23.8265,151.2310,46,,401677504,-112
184221,184221,UT,DS,5,0,0,127,84,22:01:22 14-Mar-2021,MC,0,-23.7542,151.3971,-23.7542,151.3971,48,,401677508,-124
184221,184221,UT,DS,6,0,1,101,81,22:18:58 14-Mar-2021,NN,1,-23.6751,151.4556,-23.6751,151.4556,56,,401677498,-124
184221,184221,UT,DS,6,0,0,83,82,22:47:12 14-Mar-2021,MB,1,-23.5077,151.5794,-23.5077,151.5794,46,,401677507,-124
184221,184221,UT,DS,8,1,0,,,23:06:02 14-Mar-2021,MA,1,-23.3070,151.5823,-23.3070,151.5823,46,,401677503,-116
184221,184221,UT,DS,7,0,1,84,83,23:34:10 14-Mar-2021,MC,3,-23.2965,151.6989,-23.2965,151.6989,56,,401677502,-115
184221,184221,UT,DS,5,1,0,,,23:52:24 14-Mar-2021,NN,3,-23.2959,151.7061,-23.2959,151.7061,56,,401677500,-126
184221,184221,UT,DS,1,0,0,,,00:21:58 15-Mar-2021,MB,B,-23.2961,151.7063,-23.2961,151.7063,6,,401677503,-132
184221,184221,UT,DS,3,0,0,85,84,21:00:01 15-Mar-2021,NP,A,-23.2812,151.7336,-23.2812,151.7336,,,401677506,-121
184221,184221,UT,DS,7,0,0,84,83,21:04:17 15-Mar-2021,NK,2,-23.2888,151.6949,-23.2888,151.6949,56,,401677512,-112
184221,184221,UT,DS,9,1,0,,,21:09:13 15-Mar-2021,MA,3,-23.2889,151.6976,-23.2889,151.6976,56,,401677513,-113
184221,184221,UT,DS,1,0,0,,,21:29:38 15-Mar-2021,SR,B,-23.2888,151.6974,-23.2888,151.6974,6,,401677516,-134
184221,184221,UT,DS,6,0,0,100,82,21:42:12 15-Mar-2021,MC,1,-23.2849,151.7033,-23.2849,151.7033,56,,401677513,-120
184221,184221,UT,DS,6,0,0,117,81,22:06:55 15-Mar-2021,NN,2,-23.2838,151.6981,-23.2838,151.6981,56,,401677512,-127
184221,184221,UT,DS,4,0,0,113,84,22:25:58 15-Mar-2021,MB,3,-23.2863,151.7015,-23.2863,151.7015,56,,401677507,-132
184221,184221,UT,DS,2,0,0,83,83,22:43:34 15-Mar-2021,NK,B,-23.2870,151.7002,-23.2870,151.7002,6,,401677506,-135
184221,184221,UT,DS,5,0,0,85,85,22:44:58 15-Mar-2021,MA,2,-23.2871,151.6908,-23.2871,151.6908,56,,401677506,-125
184221,184221,UT,DS,9,1,0,,,23:13:04 15-Mar-2021,MC,2,-23.2868,151.6930,-23.2868,151.6930,56,,401677504,-110
184221,184221,UT,DS,8,2,0,,,23:39:00 15-Mar-2021,NN,3,-23.2890,151.6988,-23.2890,151.6988,56,,401677502,-137
184221,184221,UT,DS,1,0,0,,,00:57:47 16-Mar-2021,MC,B,-23.2881,151.7019,-23.2881,151.7019,8,,401677505,-131
184221,184221,UT,DS,2,0,1,14,14,20:02:20 22-Mar-2021,A1,B,-22.9585,152.0766,-22.9585,152.0766,,,401677507,-125
184221,184221,UT,DS,2,0,2,231,231,20:26:31 22-Mar-2021,MA,B,-22.9605,152.0723,-22.9605,152.0723,6,,401677532,-127
184221,184221,UT,DS,1,0,0,,,22:20:22 22-Mar-2021,NN,B,-22.9611,152.0770,-22.9611,152.0770,8,,401677538,-129
184221,184221,UT,DS,1,0,1,,,19:24:01 23-Mar-2021,NP,B,-22.8303,152.2180,-22.8303,152.2180,,,401677519,-126
184221,184221,UT,DS,1,0,1,,,19:24:01 23-Mar-2021,NK,B,-22.8630,152.2416,-22.8630,152.2416,,,401677502,-137
184221,184221,UT,DS,1,0,1,,,19:49:03 23-Mar-2021,A1,B,-22.8956,152.2328,-22.8956,152.2328,6,,401677476,-126
184221,184221,UT,DS,1,0,0,,,20:05:18 25-Mar-2021,NK,,,,,,,,401650000,-132
184221,184221,UT,DS,1,0,0,,,21:20:17 25-Mar-2021,SR,,,,,,,,401650000,-131
184221,184221,UT,DS,2,0,0,36,36,20:36:18 26-Mar-2021,A1,B,-22.4466,152.9003,-22.4466,152.9003,,,401677608,-131
