DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
184221,184221,UT,20:29:05 14-Mar-2021,Argos,B,-23.8256,151.2456,,,,,,,,,,
184221,184221,UT,21:08:58 14-Mar-2021,Argos,2,-23.8289,151.2438,289,481,173,143,,,,,,
184221,184221,UT,21:27:20 14-Mar-2021,Argos,2,-23.8265,151.2310,378,736,194,102,,,,,,
184221,184221,UT,21:28:03 14-Mar-2021,Argos,2,-23.8262,151.2510,392,698,220,102,,,,,,
184221,184221,UT,22:01:22 14-Mar-2021,Argos,0,-23.7542,151.3971,3070,3980,2367,158,,,,,,
184221,184221,UT,22:18:58 14-Mar-2021,Argos,1,-23.6751,151.4556,550,714,422,30,,,,,,
184221,184221,UT,22:47:12 14-Mar-2021,Argos,1,-23.5077,151.5794,1240,3725,412,87,,,,,,
184221,184221,UT,23:06:02 14-Mar-2021,Argos,1,-23.3070,151.5823,978,1522,627,31,,,,,,
184221,184221,UT,23:34:10 14-Mar-2021,Argos,3,-23.2965,151.6989,166,263,104,90,,,,,,
184221,184221,UT,23:52:24 14-Mar-2021,Argos,3,-23.2959,151.7061,145,244,85,93,,,,,,
184221,184221,UT,00:21:58 15-Mar-2021,Argos,B,-23.2961,151.7063,754,830,685,95,,,,,,
184221,184221,UT,21:00:01 15-Mar-2021,Argos,A,-23.2812,151.7336,3079,43495,218,77,,,,,,
184221,184221,UT,21:04:17 15-Mar-2021,Argos,2,-23.2888,151.6949,345,5144,23,102,,,,,,
184221,184221,UT,21:09:13 15-Mar-2021,Argos,3,-23.2889,151.6976,131,167,101,106,,,,,,
184221,184221,UT,21:09:13 15-Mar-2021,Argos,3,-23.2889,151.6976,131,167,101,106,,,,,,
184221,184221,UT,21:29:38 15-Mar-2021,Argos,B,-23.2888,151.6974,662,718,609,87,,,,,,
184221,184221,UT,21:42:12 15-Mar-2021,Argos,1,-23.2849,151.7033,608,934,395,40,,,,,,
184221,184221,UT,22:06:55 15-Mar-2021,Argos,2,-23.2838,151.6981,437,517,369,31,,,,,,
184221,184221,UT,22:25:58 15-Mar-2021,Argos,3,-23.2863,151.7015,174,185,163,9,,,,,,
