"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",184221,7495,,,,,,,0,NN,,401650000,03/08/2022 22:59:11,1,1,0,-124,401650000,,,,,,,,,,,,32,139,128,0,0,30,49,74,46,51,90,255,0,0,0,255,139,96,0,0,0,0,1,16,20,47,255,0,0,0,228,
"",184221,7495,,,,,,,0,NP,,401650000,03/09/2022 20:46:52,1,1,0,-132,401650000,,,,,,,,,,,,32,140,128,0,0,0,0,0,1,94,183,255,0,0,0,109,140,96,0,0,0,5,45,70,83,126,255,0,0,0,26,
"",184221,7495,,,,,,,0,SR,,401650000,03/09/2022 21:15:51,1,1,0,-138,401650000,,,,,,,,,,,,32,139,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,,,,,,,0,SR,,401650000,03/10/2022 19:14:25,1,1,0,-129,401650000,,,,,,,,,,,,32,140,192,0,0,0,7,39,52,99,255,232,0,0,0,130,140,160,0,0,0,0,0,0,40,27,255,6,86,124,136,
"",184221,7495,,,,,,,0,MC,,401650000,03/10/2022 22:29:43,1,1,0,-129,401650000,,,,,,,,,,,,32,140,128,0,0,0,0,0,1,94,183,255,0,0,0,109,140,96,0,0,0,5,45,70,83,126,255,0,0,0,26,
"",184221,7495,,,,,,,0,NP,,401650000,03/11/2022 20:29:59,1,1,0,-132,401650000,,,,,,,,,,,,32,141,64,0,0,0,0,0,0,0,0,255,0,0,0,228,141,32,0,0,0,0,0,0,0,0,255,0,0,0,225,
"",184221,7495,,,,,,,0,NK,,401650000,03/12/2022 10:50:25,1,1,0,-131,401650000,,,,,,,,,,,,79,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,,,,,,,0,MB,,401650000,03/12/2022 11:21:00,1,1,0,-132,401650000,,,,,,,,,,,,93,111,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,,,,,,,0,NN,,401650000,03/12/2022 23:57:10,1,1,0,-129,401650000,,,,,,,,,,,,32,141,64,0,0,0,0,0,0,0,0,255,0,0,0,228,141,32,0,0,3,255,255,255,255,255,0,255,255,254,47,
"",184221,7495,,,,,,,0,A1,,401650000,03/13/2022 07:18:36,1,1,0,-125,401650000,,,,,,,,,,,,32,141,128,0,0,0,0,0,0,1,2,254,209,19,179,170,189,40,238,174,248,126,139,95,149,18,237,162,64,238,33,
"",184221,7495,,,,,,,0,MC,,401650000,03/13/2022 21:25:18,1,1,0,-132,401650000,,,,,,,,,,,,32,141,128,0,0,0,0,0,0,141,5,255,72,0,157,204,206,118,102,230,94,114,107,43,59,14,238,166,46,69,247,
"",184221,7495,,,,,,,0,MC,,401650000,03/14/2022 11:31:16,1,1,0,-120,401650000,,,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,-23.25121,151.69413,2,03/14/2022 19:32:27,Argos,0,220,NK,,401677510.45,03/14/2022 19:30:20,1,4,0,-135,401677510.45,151.69413,-23.25121,151.69414,-23.25121,50,3,377,1256,112,179,1023,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,-23.25121,151.69413,2,03/14/2022 19:32:27,Argos,0,220,NK,,401677510.45,03/14/2022 19:32:35,1,4,0,-135,401677510.45,151.69413,-23.25121,151.69414,-23.25121,50,3,377,1256,112,179,1023,73,210,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,-23.25121,151.69413,2,03/14/2022 19:32:27,Argos,0,220,NK,,401677510.45,03/14/2022 19:32:53,1,4,0,-135,401677510.45,151.69413,-23.25121,151.69414,-23.25121,50,3,377,1256,112,179,1023,80,146,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,-23.25121,151.69413,2,03/14/2022 19:32:27,Argos,0,220,NK,,401677510.45,03/14/2022 19:34:00,1,4,0,-135,401677510.45,151.69413,-23.25121,151.69414,-23.25121,50,3,377,1256,112,179,1023,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,-23.25122,151.69413,B,03/14/2022 19:52:31,Argos,0,0,NP,,401677510.55,03/14/2022 19:52:32,1,1,0,-135,401677510.55,151.69413,-23.25122,151.69414,-23.25122,6,3,713,809,627,176,1994,73,66,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,-23.47536,151.3752,B,03/15/2022 11:12:25,Argos,0,0,MC,,401677478.86,03/15/2022 11:12:25,1,1,0,-128,401677478.86,151.3752,-23.47536,151.3752,-23.47536,0,3,3082,7746,1225,97,8711,32,141,192,0,0,0,0,0,0,0,1,255,0,0,0,119,141,160,0,0,0,0,0,0,0,0,255,0,32,16,240,
"",184221,7495,,,,,,,0,MC,,401650000,03/17/2022 23:23:14,1,1,0,-123,401650000,,,,,,,,,,,,32,142,0,0,0,0,0,0,0,0,63,255,0,0,0,81,141,224,0,0,0,0,0,0,0,11,255,0,16,3,152,
"",184221,7495,,,,,,,0,NN,,401650000,03/18/2022 00:31:44,1,1,0,-125,401650000,,,,,,,,,,,,80,232,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,,,,,,,0,NP,,401650000,03/18/2022 20:46:54,1,1,0,-124,401650000,,,,,,,,,,,,10,5,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,,,,,,,0,A1,,401650000,03/21/2022 08:25:11,1,1,0,-139,401650000,,,,,,,,,,,,32,142,64,0,0,0,0,0,0,0,25,255,0,0,0,133,142,32,0,0,0,0,0,32,0,255,101,0,2,0,58,
"",184221,7495,,,,,,,0,NK,,401650000,03/22/2022 10:00:54,1,1,0,-137,401650000,,,,,,,,,,,,32,142,64,0,0,0,0,0,0,0,25,255,0,0,0,133,142,32,0,0,0,0,0,0,0,255,101,4,1,106,186,
"",184221,7495,,,,,,,0,NP,,401650000,03/22/2022 21:35:25,1,1,0,-138,401650000,,,,,,,,,,,,32,142,64,0,0,0,0,0,0,0,25,255,0,0,0,133,142,32,0,0,0,0,0,0,0,255,101,0,0,0,58,
"",184221,7495,,,,,,,0,NP,,401650000,03/23/2022 21:30:32,1,1,0,-129,401650000,,,,,,,,,,,,32,142,192,0,0,0,0,0,0,0,146,255,0,0,0,92,142,160,0,0,0,0,0,0,0,35,255,0,0,0,250,
"",184221,7495,,,,,,,0,SR,,401650000,03/26/2022 19:05:54,1,1,0,-134,401650000,,,,,,,,,,,,32,143,0,0,0,0,0,0,0,0,251,255,0,0,0,100,142,224,0,0,0,0,0,0,0,33,255,0,0,0,197,
"",184221,7495,,,,,,,0,SR,,401650000,03/26/2022 20:46:09,1,1,0,-135,401650000,,,,,,,,,,,,32,143,0,0,0,0,0,0,0,0,251,255,0,0,0,100,142,224,0,0,0,0,0,0,0,33,255,0,0,0,197,
"",184221,7495,,,,,,,0,NP,,401650000,03/26/2022 20:46:09,1,1,0,-133,401650000,,,,,,,,,,,,32,143,0,0,0,0,0,0,0,0,251,255,0,0,0,100,142,224,0,0,0,0,0,0,0,33,255,0,0,0,197,
"",184221,7495,,,,,,,0,MB,,401650000,03/28/2022 12:29:48,1,1,0,-135,401650000,,,,,,,,,,,,34,141,64,2,0,0,0,0,0,0,220,255,0,0,0,210,159,32,0,0,1,0,0,0,0,255,30,0,0,0,103,
"",184221,7495,,,,,,,0,MC,,401650000,03/30/2022 22:14:57,1,1,0,-125,401650000,,,,,,,,,,,,32,143,128,0,0,0,0,1,26,64,255,32,0,0,0,224,158,162,124,17,102,162,95,119,83,230,97,179,254,171,123,
"",184221,7495,,,,,,,0,SR,,401650000,03/31/2022 05:51:53,1,1,0,-138,401650000,,,,,,,,,,,,89,116,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",184221,7495,,,,,,,0,MC,,401650000,03/31/2022 10:43:04,1,1,0,-123,401650000,,,,,,,,,,,,32,143,192,0,0,0,0,0,1,77,247,66,195,103,40,151,231,249,78,255,155,222,222,2,59,91,72,2,46,56,173,
"",184221,7495,,,,,,,0,NK,,401650000,04/02/2022 21:35:31,1,1,0,-130,401650000,,,,,,,,,,,,32,144,32,0,0,0,0,0,0,0,32,255,0,0,32,233,252,228,163,75,118,133,71,5,94,126,28,13,94,99,78,
"",184221,7495,,,,,,,0,SR,,401650000,04/06/2022 07:43:58,1,1,0,-122,401650000,,,,,,,,,,,,32,144,160,0,0,0,0,0,2,244,222,4,44,48,225,136,112,183,22,73,179,49,194,71,200,41,106,58,37,39,166,
"",184221,7495,,,,,,,0,NP,,401650000,04/06/2022 22:07:57,1,1,0,-133,401650000,,,,,,,,,,,,68,52,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
