DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
184221,184221,UT,21:15:51 09-Mar-2022,,,,,,CRC 0.11,21:15:51 09-Mar-2022,Status,32,139,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184221,184221,UT,07:18:36 13-Mar-2022,,,,,,CRC (both failed),,,32,141,128,0,0,0,0,0,0,1,2,254,209,19,179,170,189,40,238,174,248,126,139,95,149,18,237,162,64,238,33,
184221,184221,UT,21:25:18 13-Mar-2022,,,,,,CRC (both failed),,,32,141,128,0,0,0,0,0,0,141,5,255,72,0,157,204,206,118,102,230,94,114,107,43,59,14,238,166,46,69,247,
184221,184221,UT,19:32:35 14-Mar-2022,,,2,-23.2512,151.6941,CRC 9.12,19:32:35 14-Mar-2022,Status,73,210,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184221,184221,UT,19:32:53 14-Mar-2022,,,2,-23.2512,151.6941,CRC 0.1,19:32:53 14-Mar-2022,Status,80,146,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184221,184221,UT,20:46:54 18-Mar-2022,,,,,,CRC 10.1,,,10,5,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184221,184221,UT,12:29:48 28-Mar-2022,,,,,,CRC (both failed),,,34,141,64,2,0,0,0,0,0,0,220,255,0,0,0,210,159,32,0,0,1,0,0,0,0,255,30,0,0,0,103,
184221,184221,UT,10:43:04 31-Mar-2022,,,,,,CRC (both failed),,,32,143,192,0,0,0,0,0,1,77,247,66,195,103,40,151,231,249,78,255,155,222,222,2,59,91,72,2,46,56,173,
184221,184221,UT,21:35:31 02-Apr-2022,,,,,,CRC (both failed),,,32,144,32,0,0,0,0,0,0,0,32,255,0,0,32,233,252,228,163,75,118,133,71,5,94,126,28,13,94,99,78,
184221,184221,UT,07:43:58 06-Apr-2022,,,,,,CRC (both failed),,,32,144,160,0,0,0,0,0,2,244,222,4,44,48,225,136,112,183,22,73,179,49,194,71,200,41,106,58,37,39,166,
