Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7495,184221,31,NN, ,1,08-Mar-2022,22:59:11,,,,401650000,-124,,0,08-Mar-2022,22:59:11,,,,,,,,,,32,139,128,0,0,30,49,74,46,51,90,255,0,0,0,255,139,96,0,0,0,0,1,16,20,47,255,0,0,0,228,
7495,184221,31,NP, ,2,09-Mar-2022,20:46:52,,,,401650000,-132,,0,09-Mar-2022,20:46:52,,,,,,,,,,32,140,128,0,0,0,0,0,1,94,183,255,0,0,0,109,140,96,0,0,0,5,45,70,83,126,255,0,0,0,26,
7495,184221,3,SR, ,3,09-Mar-2022,21:15:51,,,,401650000,-138,,0,09-Mar-2022,21:15:51,,,,,,,,,,32,139,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,184221,31,SR, ,4,10-Mar-2022,19:14:25,,,,401650000,-129,,0,10-Mar-2022,19:14:25,,,,,,,,,,32,140,192,0,0,0,7,39,52,99,255,232,0,0,0,130,140,160,0,0,0,0,0,0,40,27,255,6,86,124,136,
7495,184221,31,MC, ,5,10-Mar-2022,22:29:43,,,,401650000,-129,,0,10-Mar-2022,22:29:43,,,,,,,,,,32,140,128,0,0,0,0,0,1,94,183,255,0,0,0,109,140,96,0,0,0,5,45,70,83,126,255,0,0,0,26,
7495,184221,31,NP, ,6,11-Mar-2022,20:29:59,,,,401650000,-132,,0,11-Mar-2022,20:29:59,,,,,,,,,,32,141,64,0,0,0,0,0,0,0,0,255,0,0,0,228,141,32,0,0,0,0,0,0,0,0,255,0,0,0,225,
7495,184221,3,NK, ,7,12-Mar-2022,10:50:25,,,,401650000,-131,,0,12-Mar-2022,10:50:25,,,,,,,,,,79,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,184221,3,MB, ,8,12-Mar-2022,11:21:00,,,,401650000,-132,,0,12-Mar-2022,11:21:00,,,,,,,,,,93,111,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,184221,31,NN, ,9,12-Mar-2022,23:57:10,,,,401650000,-129,,0,12-Mar-2022,23:57:10,,,,,,,,,,32,141,64,0,0,0,0,0,0,0,0,255,0,0,0,228,141,32,0,0,3,255,255,255,255,255,0,255,255,254,47,
7495,184221,31,A1, ,10,13-Mar-2022,07:18:36,,,,401650000,-125,,0,13-Mar-2022,07:18:36,,,,,,,,,,32,141,128,0,0,0,0,0,0,1,2,254,209,19,179,170,189,40,238,174,248,126,139,95,149,18,237,162,64,238,33,
