Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7495,209948,3,SR,2,1,04-Oct-2022,06:52:58,-23.8455,151.2493,,401677693,-124,50,0,04-Oct-2022,06:48:47,-23.8455,151.2493,450,306,397,235,116,,,11,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,2,1,04-Oct-2022,06:52:58,-23.8455,151.2493,,401677693,-124,50,0,04-Oct-2022,06:51:45,-23.8455,151.2493,450,306,397,235,116,,,92,192,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,2,1,04-Oct-2022,06:52:58,-23.8455,151.2493,,401677693,-124,50,0,04-Oct-2022,06:53:15,-23.8455,151.2493,450,306,397,235,116,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,2,1,04-Oct-2022,06:52:58,-23.8455,151.2493,,401677693,-124,50,0,04-Oct-2022,06:54:47,-23.8455,151.2493,450,306,397,235,116,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,2,1,04-Oct-2022,06:52:58,-23.8455,151.2493,,401677693,-124,50,0,04-Oct-2022,06:56:17,-23.8455,151.2493,450,306,397,235,116,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,A1,3,2,04-Oct-2022,07:45:02,-23.8454,151.2522,,401677706,-119,57,0,04-Oct-2022,07:42:49,-23.8454,151.2522,267,140,241,81,109,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,A1,3,2,04-Oct-2022,07:45:02,-23.8454,151.2522,,401677706,-119,57,0,04-Oct-2022,07:44:19,-23.8454,151.2522,267,140,241,81,109,,,74,204,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,23,A1,3,2,04-Oct-2022,07:45:02,-23.8454,151.2522,,401677706,-119,57,0,04-Oct-2022,07:45:45,-23.8454,151.2522,267,140,241,81,109,,,73,48,165,253,40,150,250,136,98,30,226,93,150,5,201,8,1,255,1,204,161,0,0,,,,,,,,,
7495,209948,3,A1,3,2,04-Oct-2022,07:45:02,-23.8454,151.2522,,401677706,-119,57,0,04-Oct-2022,07:47:16,-23.8454,151.2522,267,140,241,81,109,,,93,229,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NP,B,3,04-Oct-2022,08:29:22,-23.8451,151.2529,,401677708,-138,8,0,04-Oct-2022,08:29:23,-23.8451,151.2529,,1062,1197,942,88,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,3,4,04-Oct-2022,08:35:26,-23.8446,151.2529,,401677708,-127,56,0,04-Oct-2022,08:29:23,-23.8446,151.2529,363,227,348,147,27,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,3,4,04-Oct-2022,08:35:26,-23.8446,151.2529,,401677708,-127,56,0,04-Oct-2022,08:30:53,-23.8446,151.2529,363,227,348,147,27,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,3,4,04-Oct-2022,08:35:26,-23.8446,151.2529,,401677708,-127,56,0,04-Oct-2022,08:32:23,-23.8446,151.2529,363,227,348,147,27,,,73,188,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,3,4,04-Oct-2022,08:35:26,-23.8446,151.2529,,401677708,-127,56,0,04-Oct-2022,08:33:56,-23.8446,151.2529,363,227,348,147,27,,,94,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,SR,3,4,04-Oct-2022,08:35:26,-23.8446,151.2529,,401677708,-127,56,0,04-Oct-2022,08:35:26,-23.8446,151.2529,363,227,348,147,27,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NK,A,5,04-Oct-2022,08:53:29,-23.8460,151.2488,,401677708,-127,6,0,04-Oct-2022,08:52:00,-23.8460,151.2488,360,236,614,90,171,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NK,A,5,04-Oct-2022,08:53:29,-23.8460,151.2488,,401677708,-127,6,1,04-Oct-2022,08:58:00,-23.8460,151.2488,360,236,614,90,171,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NP,2,6,04-Oct-2022,10:08:14,-23.8458,151.2522,,401677711,-120,58,0,04-Oct-2022,10:05:15,-23.8458,151.2522,358,359,3870,33,75,,,79,178,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NP,2,6,04-Oct-2022,10:08:14,-23.8458,151.2522,,401677711,-120,58,0,04-Oct-2022,10:06:44,-23.8458,151.2522,358,359,3870,33,75,,,83,66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NP,2,6,04-Oct-2022,10:08:14,-23.8458,151.2522,,401677711,-120,58,0,04-Oct-2022,10:08:14,-23.8458,151.2522,358,359,3870,33,75,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NP,2,6,04-Oct-2022,10:08:14,-23.8458,151.2522,,401677711,-120,58,0,04-Oct-2022,10:09:43,-23.8458,151.2522,358,359,3870,33,75,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NP,2,6,04-Oct-2022,10:08:14,-23.8458,151.2522,,401677711,-120,58,0,04-Oct-2022,10:11:13,-23.8458,151.2522,358,359,3870,33,75,,,24,206,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NK,A,7,04-Oct-2022,10:33:20,-23.8483,151.2495,,401677712,-121,6,0,04-Oct-2022,10:30:50,-23.8483,151.2495,271,222,572,85,109,,,83,82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NK,A,7,04-Oct-2022,10:33:20,-23.8483,151.2495,,401677712,-121,6,0,04-Oct-2022,10:33:51,-23.8483,151.2495,271,222,572,85,109,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209948,3,NK,A,7,04-Oct-2022,10:33:20,-23.8483,151.2495,,401677712,-121,6,0,04-Oct-2022,10:35:21,-23.8483,151.2495,271,222,572,85,109,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
