DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
Barnacle Betty,222233,UT,19:32:23 09-Oct-2022,,,B,-23.2011,151.7772,CRC 15.4,19:32:23 09-Oct-2022,Status,15,61,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,10:44:37 10-Oct-2022,,,B,-22.9594,152.0064,CRC 8.2,10:44:37 10-Oct-2022,Status,72,230,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,10:44:37 10-Oct-2022,,,B,-22.9694,152.0048,CRC 8.13,10:44:37 10-Oct-2022,Status,72,230,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,08:45:50 11-Oct-2022,,,B,-22.5804,152.0133,CRC (both failed),,,32,169,64,0,0,0,0,51,9,127,166,218,217,240,14,41,11,107,218,86,75,39,119,187,104,10,92,2,222,46,233,
Barnacle Betty,222233,UT,10:34:15 11-Oct-2022,,,B,-22.5254,152.0259,CRC (both failed),,,48,151,50,68,37,35,122,8,18,63,45,183,179,15,81,186,127,160,112,162,53,166,0,70,202,94,97,207,89,193,201,
Barnacle Betty,222233,UT,13:31:34 11-Oct-2022,,,B,-22.4306,151.9577,CRC 7.5,,,183,197,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,07:08:38 12-Oct-2022,,,B,-22.2001,152.1022,CRC 4.14,,,100,150,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle Betty,222233,UT,00:31:30 13-Oct-2022,,,B,-21.9521,152.1490,CRC (both failed),,,32,169,128,0,0,0,0,0,27,255,0,0,16,97,216,242,219,33,3,122,109,248,67,210,138,200,32,142,142,52,16,
Barnacle Betty,222233,UT,21:13:20 14-Oct-2022,,,B,-21.1664,152.5782,CRC 72.168,21:14:25 14-Oct-2022,Status,73,16,165,253,104,32,234,146,55,84,230,87,86,10,115,14,1,152,32,209,193,127,224,,,,,,,,,
Barnacle Betty,222233,UT,13:54:36 17-Oct-2022,,,A,-22.4076,152.0080,CRC (both failed),,,32,170,0,0,0,0,0,0,99,71,110,203,82,213,150,181,104,39,62,182,155,78,169,200,49,177,10,231,215,228,209,
