"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",222238,7495,-23.84088,151.24382,2,02/14/2023 10:21:00,Argos,0,546,MC,,401677558.22,02/14/2023 10:16:46,1,5,1,-118,401677558.22,151.24382,-23.84088,151.24382,-23.84088,50,3,299,400,222,2,393,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84088,151.24382,2,02/14/2023 10:21:00,Argos,0,546,MC,,401677558.22,02/14/2023 10:18:20,1,5,1,-118,401677558.22,151.24382,-23.84088,151.24382,-23.84088,50,3,299,400,222,2,393,68,75,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84088,151.24382,2,02/14/2023 10:21:00,Argos,0,546,MC,,401677558.22,02/14/2023 10:21:18,1,5,1,-118,401677558.22,151.24382,-23.84088,151.24382,-23.84088,50,3,299,400,222,2,393,107,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84088,151.24382,2,02/14/2023 10:21:00,Argos,0,546,MC,,401677558.22,02/14/2023 10:22:48,1,5,1,-118,401677558.22,151.24382,-23.84088,151.24382,-23.84088,50,3,299,400,222,2,393,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84088,151.24382,2,02/14/2023 10:21:00,Argos,0,546,MC,,401677558.22,02/14/2023 10:25:52,1,5,1,-118,401677558.22,151.24382,-23.84088,151.24382,-23.84088,50,3,299,400,222,2,393,78,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84981,151.17283,0,02/14/2023 10:29:33,Argos,0,720,NP,,401677556.43,02/14/2023 10:27:18,1,8,1,-115,401677556.43,151.17283,-23.84981,151.17284,-23.84981,60,0,6703,844429,53,77,12036,95,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84981,151.17283,0,02/14/2023 10:29:33,Argos,0,720,NP,,401677556.43,02/14/2023 10:28:48,1,8,1,-115,401677556.43,151.17283,-23.84981,151.17284,-23.84981,60,0,6703,844429,53,77,12036,103,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84981,151.17283,0,02/14/2023 10:29:33,Argos,0,720,NP,,401677556.43,02/14/2023 10:31:46,1,8,1,-115,401677556.43,151.17283,-23.84981,151.17284,-23.84981,60,0,6703,844429,53,77,12036,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84981,151.17283,0,02/14/2023 10:29:33,Argos,0,720,NP,,401677556.43,02/14/2023 10:33:20,2,8,1,-115,401677556.43,151.17283,-23.84981,151.17284,-23.84981,60,0,6703,844429,53,77,12036,78,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84981,151.17283,0,02/14/2023 10:29:33,Argos,0,720,NP,,401677556.43,02/14/2023 10:34:50,1,8,1,-115,401677556.43,151.17283,-23.84981,151.17284,-23.84981,60,0,6703,844429,53,77,12036,86,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.84981,151.17283,0,02/14/2023 10:29:33,Argos,0,720,NP,,401677556.43,02/14/2023 10:37:52,2,8,1,-115,401677556.43,151.17283,-23.84981,151.17284,-23.84981,60,0,6703,844429,53,77,12036,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.83236,151.23648,A,02/14/2023 10:54:17,Argos,0,178,NK,,401677551.42,02/14/2023 10:52:49,1,3,0,-124,401677551.42,151.23648,-23.83236,151.23648,-23.83236,6,2,3848,17658,838,100,1726,100,119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.83236,151.23648,A,02/14/2023 10:54:17,Argos,0,178,NK,,401677551.42,02/14/2023 10:54:17,1,3,0,-124,401677551.42,151.23648,-23.83236,151.23648,-23.83236,6,2,3848,17658,838,100,1726,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.83236,151.23648,A,02/14/2023 10:54:17,Argos,0,178,NK,,401677551.42,02/14/2023 10:55:47,1,3,0,-124,401677551.42,151.23648,-23.83236,151.23648,-23.83236,6,2,3848,17658,838,100,1726,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.83451,151.24536,3,02/14/2023 11:06:43,Argos,0,268,MB,,401677556.02,02/14/2023 11:04:45,1,3,0,-124,401677556.02,151.24536,-23.83451,151.24536,-23.83451,56,3,133,220,79,72,197,78,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",222238,7495,-23.83451,151.24536,3,02/14/2023 11:06:43,Argos,0,268,MB,,401677556.02,02/14/2023 11:06:14,1,3,0,-124,401677556.02,151.24536,-23.83451,151.24536,-23.83451,56,3,133,220,79,72,197,81,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
