DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
222238,222238,UT,DS,5,0,0,136,90,10:21:00 14-Feb-2023,MC,2,-23.8409,151.2438,-23.8409,151.2438,50,,401677558,-118
222238,222238,UT,DS,8,2,0,,,10:29:33 14-Feb-2023,NP,0,-23.8498,151.1728,-23.8498,151.1728,60,,401677556,-115
222238,222238,UT,DS,3,0,0,89,88,10:54:17 14-Feb-2023,NK,A,-23.8324,151.2365,-23.8324,151.2365,6,,401677551,-124
222238,222238,UT,DS,6,0,0,108,89,11:06:43 14-Feb-2023,MB,3,-23.8345,151.2454,-23.8345,151.2454,56,,401677556,-124
222238,222238,UT,DS,10,2,0,,,11:28:43 14-Feb-2023,NN,3,-23.8354,151.2453,-23.8354,151.2453,56,,401677553,-127
222238,222238,UT,DS,7,1,0,,,11:59:20 14-Feb-2023,MC,3,-23.8318,151.2498,-23.8318,151.2498,58,,401677554,-110
222238,222238,UT,DS,4,0,0,89,87,12:11:20 14-Feb-2023,NP,1,-23.8314,151.2533,-23.8314,151.2533,56,,401677559,-131
222238,222238,UT,DS,7,1,0,,,05:30:04 03-Mar-2023,SR,1,-39.6534,176.8743,-40.3042,-179.8266,50,,401677524,-121
222238,222238,UT,DS,5,0,0,113,90,05:58:54 03-Mar-2023,A1,2,-39.6546,176.8893,-39.6546,176.8893,56,,401677530,-125
222238,222238,UT,DS,3,0,0,132,87,06:59:51 03-Mar-2023,NK,A,-39.6579,176.8813,-39.6579,176.8813,8,,401677537,-135
222238,222238,UT,DS,5,0,1,91,90,07:09:19 03-Mar-2023,SR,3,-39.6567,176.8903,-39.6567,176.8903,58,,401677537,-131
222238,222238,UT,DS,7,1,0,,,08:39:14 03-Mar-2023,NK,3,-39.6572,176.8895,-39.6572,176.8895,58,,401677543,-122
222238,222238,UT,DS,4,0,0,118,86,08:44:18 03-Mar-2023,NP,3,-39.6587,176.8816,-39.6587,176.8816,58,,401677543,-125
222238,222238,UT,DS,5,0,0,91,90,09:24:40 03-Mar-2023,MC,3,-39.6576,176.8842,-39.6576,176.8842,58,,401677545,-119
222238,222238,UT,DS,6,0,6,60,60,23:29:04 06-Jun-2023,NN,1,-16.8194,145.6898,-16.8194,145.6898,58,,401677545,-121
222238,222238,UT,DS,4,0,4,80,60,23:41:49 06-Jun-2023,MB,2,-16.1738,142.7762,-16.8115,145.6759,60,,401677546,-123
222238,222238,UT,DS,4,0,4,60,60,00:34:04 07-Jun-2023,MC,0,-16.8255,145.6682,-16.8255,145.6682,48,,401677509,-113
222238,222238,UT,DS,5,0,5,75,60,01:08:04 07-Jun-2023,NN,3,-16.8157,145.6875,-16.8157,145.6875,57,,401677521,-127
222238,222238,UT,DS,3,0,1,90,90,06:11:05 11-Aug-2023,SR,,,,,,,,401650000,-135
222238,222238,UT,DS,2,0,0,90,90,06:56:36 11-Aug-2023,A1,B,-23.8291,151.2457,-23.8291,151.2457,8,,401677536,-131
222238,222238,UT,DS,6,0,0,90,89,07:41:40 11-Aug-2023,CS,3,-23.8275,151.2424,-23.8275,151.2424,58,,401677536,-119
222238,222238,UT,DS,8,2,0,,,07:50:40 11-Aug-2023,SR,3,-23.8280,151.2451,-23.8280,151.2451,58,,401677534,-120
222238,222238,UT,DS,5,0,0,112,88,08:36:02 11-Aug-2023,NK,3,-23.8280,151.2429,-23.8280,151.2429,68,,401677534,-129
222238,222238,UT,DS,8,1,0,,,12:48:49 06-Sep-2023,O3,3,-22.2760,166.4394,-20.2754,175.9049,60,,401677530,-119
222238,222238,UT,DS,6,0,1,107,87,17:38:29 06-Sep-2023,CS,3,-22.2762,166.4412,-22.2762,166.4412,68,,401677536,-124
222238,222238,UT,DS,1,0,0,,,17:48:44 06-Sep-2023,A1,B,-22.2762,166.4413,-22.2762,166.4413,6,,401677536,-137
222238,222238,UT,DS,6,1,0,,,18:17:53 06-Sep-2023,SR,3,-22.2756,166.4395,-22.2756,166.4395,56,,401677536,-121
222238,222238,UT,DS,5,0,0,45,24,06:47:34 13-Sep-2023,CS,1,-23.0618,166.9799,-23.0618,166.9799,40,,401677543,-126
222238,222238,UT,DS,1,0,0,,,06:56:08 13-Sep-2023,A1,B,-23.0621,166.9800,-23.0621,166.9800,6,,401677548,-135
222238,222238,UT,DS,1,0,1,,,11:44:49 13-Sep-2023,NP,B,-23.0575,166.9821,-23.0575,166.9821,8,,401677559,-140
222238,222238,UT,DS,9,1,2,,,18:37:15 13-Sep-2023,A1,2,-22.9976,166.8939,-22.9976,166.8939,58,,401677546,-125
222238,222238,UT,DS,1,0,0,,,19:00:27 13-Sep-2023,NK,B,-22.9967,166.8927,-22.9967,166.8927,6,,401677544,-130
222238,222238,UT,DS,1,0,0,,,20:11:43 13-Sep-2023,A1,B,-22.9897,166.8880,-22.9897,166.8880,8,,401677555,-137
222238,222238,UT,DS,2,0,0,43,43,20:29:59 13-Sep-2023,MC,B,-22.9980,166.8882,-22.9980,166.8882,6,,401677545,-133
222238,222238,UT,DS,1,0,0,,,20:38:18 13-Sep-2023,NK,B,-22.9973,166.8874,-22.9973,166.8874,6,,401677548,-130
222238,222238,UT,DS,1,0,0,,,21:42:51 13-Sep-2023,NN,B,-22.9915,166.8829,-22.9915,166.8829,8,,401677538,-135
222238,222238,UT,DS,1,0,0,,,22:58:55 13-Sep-2023,NP,B,-22.9894,166.8788,-22.9894,166.8788,8,,401677545,-135
222238,222238,UT,DS,1,0,0,,,23:44:39 13-Sep-2023,MC,B,-22.9906,166.8808,-22.9906,166.8808,8,,401677541,-128
222238,222238,UT,DS,1,0,0,,,11:24:31 14-Sep-2023,MB,B,-22.9240,166.8473,-22.9240,166.8473,8,,401677553,-134
222238,222238,UT,DS,2,0,0,340,340,13:20:27 14-Sep-2023,O3,B,-22.7603,166.5814,-22.7603,166.5814,8,,401677546,-129
