Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7495,253098,3,NK,3,1,06-Sep-2023,09:12:26,-22.2751,166.4446,,401677642,-129,58,0,06-Sep-2023,09:08:14,-22.2751,166.4446,539,119,168,84,61,,,12,33,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NK,3,1,06-Sep-2023,09:12:26,-22.2751,166.4446,,401677642,-129,58,0,06-Sep-2023,09:11:10,-22.2751,166.4446,539,119,168,84,61,,,72,230,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NK,3,1,06-Sep-2023,09:12:26,-22.2751,166.4446,,401677642,-129,58,0,06-Sep-2023,09:12:40,-22.2751,166.4446,539,119,168,84,61,,,83,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NK,3,1,06-Sep-2023,09:12:26,-22.2751,166.4446,,401677642,-129,58,0,06-Sep-2023,09:15:43,-22.2751,166.4446,539,119,168,84,61,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NK,3,1,06-Sep-2023,09:12:26,-22.2751,166.4446,,401677642,-129,58,1,06-Sep-2023,09:17:13,-22.2751,166.4446,539,119,168,84,61,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,0,06-Sep-2023,09:42:52,-21.6078,169.3631,720,471,6328,35,75,,,77,215,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,0,06-Sep-2023,09:44:22,-21.6078,169.3631,720,471,6328,35,75,,,81,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,0,06-Sep-2023,09:45:53,-21.6078,169.3631,720,471,6328,35,75,,,104,138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,0,06-Sep-2023,09:48:54,-21.6078,169.3631,720,471,6328,35,75,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,0,06-Sep-2023,09:50:24,-21.6078,169.3631,720,471,6328,35,75,,,73,211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,0,06-Sep-2023,09:51:54,-21.6078,169.3631,720,471,6328,35,75,,,86,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,1,06-Sep-2023,09:53:24,-21.6078,169.3631,720,471,6328,35,75,,,104,138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NP,2,2,06-Sep-2023,09:45:52,-22.2748,166.4437,,401677650,-119,60,1,06-Sep-2023,09:54:52,-21.6078,169.3631,720,471,6328,35,75,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,MC,3,3,06-Sep-2023,09:56:23,-22.2744,166.4379,,401677649,-114,56,0,06-Sep-2023,09:54:52,-22.2744,166.4379,363,111,141,87,35,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,MC,3,3,06-Sep-2023,09:56:23,-22.2744,166.4379,,401677649,-114,56,0,06-Sep-2023,09:56:22,-22.2744,166.4379,363,111,141,87,35,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,MC,3,3,06-Sep-2023,09:56:23,-22.2744,166.4379,,401677649,-114,56,0,06-Sep-2023,09:57:55,-22.2744,166.4379,363,111,141,87,35,,,67,209,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,MC,3,3,06-Sep-2023,09:56:23,-22.2744,166.4379,,401677649,-114,56,0,06-Sep-2023,10:00:55,-22.2744,166.4379,363,111,141,87,35,,,104,138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NN,A,4,06-Sep-2023,10:11:25,-22.2748,166.4356,,401677655,-135,6,0,06-Sep-2023,10:09:55,,,182,401,790,202,29,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NN,A,4,06-Sep-2023,10:11:25,-22.2748,166.4356,,401677655,-135,6,0,06-Sep-2023,10:11:25,,,182,401,790,202,29,,,27,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,253098,3,NN,A,4,06-Sep-2023,10:11:25,-22.2748,166.4356,,401677655,-135,6,0,06-Sep-2023,10:12:57,,,182,401,790,202,29,,,64,206,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
