DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
253101,253101,UT,11:57:03 05-Sep-2023,,,,,,CRC 13.8,11:57:03 05-Sep-2023,Status,29,139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,11:26:25 06-Sep-2023,,,B,-22.2828,166.4319,CRC 11.14,11:26:25 06-Sep-2023,Status,43,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,20:33:57 08-Sep-2023,,,0,-22.7954,166.9229,CRC 15.11,20:33:57 08-Sep-2023,Status,31,143,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,20:34:55 08-Sep-2023,,,0,-22.7954,166.9229,CRC 14.11,20:34:55 08-Sep-2023,Status,110,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,20:34:12 08-Sep-2023,,,,,,CRC 5.3,20:34:12 08-Sep-2023,Status,69,223,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,18:41:02 14-Sep-2023,,,B,-22.0858,167.3930,CRC (both failed),,,42,229,129,37,227,225,180,108,90,169,42,14,181,86,184,17,51,98,51,253,76,251,31,6,179,46,36,173,117,65,217,
253101,253101,UT,18:38:54 19-Sep-2023,,,0,-22.0565,168.0628,CRC (both failed),,,42,230,64,238,238,14,224,238,238,238,238,238,238,0,237,66,228,48,153,198,197,70,204,6,40,176,156,117,240,67,154,
253101,253101,UT,06:25:21 24-Sep-2023,,,,,,CRC 49.71,06:27:25 24-Sep-2023,Status,70,48,165,253,232,144,190,81,76,25,182,86,131,244,135,65,215,4,65,171,92,37,120,,,,,,,,,
253101,253101,UT,06:25:21 24-Sep-2023,,,,,,CRC 49.64,04:24:27 24-Sep-2023,Status,70,48,165,253,232,144,190,81,76,17,134,192,157,186,115,82,140,143,228,189,142,138,108,,,,,,,,,
253101,253101,UT,18:22:57 25-Sep-2023,,,,,,CRC (both failed),,,42,231,0,238,238,224,238,238,110,190,230,239,236,252,126,18,206,212,220,102,4,188,145,24,87,232,24,145,241,14,243,
253101,253101,UT,22:20:36 25-Sep-2023,,,B,-22.2946,168.1733,CRC 122.1,22:22:49 25-Sep-2023,Status,79,80,165,237,232,145,190,208,76,217,108,81,116,12,29,12,13,140,27,208,0,255,128,,,,,,,,,
253101,253101,UT,18:34:17 27-Sep-2023,,,3,-22.8467,167.3096,CRC 120.146,18:36:35 27-Sep-2023,Status,79,16,165,253,232,144,190,81,77,202,72,211,20,12,79,8,27,165,27,206,64,144,0,,,,,,,,,
253101,253101,UT,18:35:37 27-Sep-2023,,,3,-22.8467,167.3096,CRC 2.4,,,98,62,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,18:36:43 27-Sep-2023,,,3,-22.8467,167.3096,CRC 15.10,18:36:43 27-Sep-2023,Status,15,28,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,18:37:55 27-Sep-2023,,,3,-22.8467,167.3096,CRC 14.8,,,110,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,18:40:47 27-Sep-2023,,,3,-22.8467,167.3096,CRC 2.14,18:40:47 27-Sep-2023,Status,66,228,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,18:42:38 27-Sep-2023,,,3,-22.8467,167.3096,CRC 8.11,18:42:38 27-Sep-2023,Status,72,230,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,19:46:51 27-Sep-2023,,,B,-22.8410,167.2904,CRC 15.12,19:46:51 27-Sep-2023,Status,15,33,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,20:15:48 27-Sep-2023,,,3,-22.8411,167.2809,CRC 2.13,,,98,204,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,21:52:17 27-Sep-2023,,,3,-22.8536,167.2560,CRC 5.1,,,101,131,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,06:27:46 28-Sep-2023,,,A,-22.7920,167.2128,CRC (both failed),,,42,231,64,238,207,239,171,202,18,134,24,24,120,46,163,167,191,252,13,2,77,145,247,177,41,167,49,131,61,97,176,
253101,253101,UT,06:38:17 28-Sep-2023,,,A,-22.7920,167.2128,CRC 15.12,06:38:17 28-Sep-2023,Status,15,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,18:11:08 02-Oct-2023,,,0,-22.9909,166.8893,CRC (both failed),,,42,231,192,238,238,238,238,238,238,238,238,238,8,227,27,200,119,40,58,83,177,3,253,173,55,30,208,182,61,44,253,
253101,253101,UT,18:28:50 02-Oct-2023,,,3,-22.9795,166.8839,CRC 5.6,18:28:50 02-Oct-2023,Status,69,223,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,18:34:05 02-Oct-2023,,,3,-22.9795,166.8839,CRC 10.7,18:34:05 02-Oct-2023,Status,90,27,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,19:45:19 03-Oct-2023,,,2,-22.8498,167.2633,CRC (both failed),,,42,231,192,238,238,238,236,60,189,201,14,206,231,211,219,229,20,129,2,212,122,97,75,102,243,99,135,188,46,247,60,
253101,253101,UT,20:27:16 03-Oct-2023,,,3,-22.8340,167.2546,CRC 11.8,20:27:16 03-Oct-2023,Status,27,143,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253101,253101,UT,20:29:20 03-Oct-2023,,,3,-22.8340,167.2546,CRC (both failed),,,42,232,64,238,224,238,238,238,238,238,238,238,0,238,238,137,88,171,165,141,199,225,101,254,220,31,129,247,182,162,26,
253101,253101,UT,23:51:42 04-Oct-2023,,,B,-22.8867,167.0821,CRC 11.14,23:51:42 04-Oct-2023,Status,27,143,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
