DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
209115,209115,UT,08:57:24 21-Feb-2021,,,2,-29.0399,167.9410,CRC 154.138,08:58:42 21-Feb-2021,Status,83,80,165,245,40,151,20,170,138,163,170,170,212,3,61,12,21,64,254,185,15,251,236,,,,,,,,,
209115,209115,UT,11:29:55 02-Mar-2021,,,1,-29.1311,167.6323,CRC 12.10,11:29:55 02-Mar-2021,Status,12,4,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,19:46:22 02-Mar-2021,,,0,-29.2062,167.6530,CRC 84.65,07:29:07 04-Mar-2021,Status,74,144,165,245,40,215,28,171,226,29,209,210,99,27,2,40,42,57,114,102,216,181,182,,,,,,,,,
209115,209115,UT,20:38:39 02-Mar-2021,,,B,-29.2286,167.8293,CRC 11.12,20:38:39 02-Mar-2021,Status,27,196,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,21:19:14 02-Mar-2021,,,B,-29.2197,167.8361,CRC 217.126,06:24:50 06-Mar-2021,Status,91,48,165,245,40,213,92,180,195,25,140,138,191,174,177,72,106,13,203,31,167,89,192,,,,,,,,,
209115,209115,UT,08:17:28 04-Mar-2021,,,0,-29.0837,167.9434,CRC 161.192,06:53:20 09-Mar-2021,Status,84,48,165,245,30,63,141,148,148,155,85,35,47,158,240,156,183,156,136,247,94,128,47,,,,,,,,,
209115,209115,UT,08:21:33 04-Mar-2021,,,2,-28.9681,167.9016,CRC 14.12,08:21:33 04-Mar-2021,Status,78,246,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,08:25:53 04-Mar-2021,,,2,-28.9681,167.9016,CRC 15.8,08:25:53 04-Mar-2021,Status,15,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,08:41:36 04-Mar-2021,,,2,-28.9622,167.8969,CRC 14.15,,,110,140,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,09:08:05 04-Mar-2021,,,1,-28.9577,167.8955,CRC 8.1,09:08:05 04-Mar-2021,Status,88,150,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,09:10:00 04-Mar-2021,,,1,-28.9577,167.8955,CRC 15.9,09:10:00 04-Mar-2021,Status,15,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,09:10:45 04-Mar-2021,,,1,-28.9577,167.8955,CRC 1.7,09:10:45 04-Mar-2021,Status,81,153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,09:13:30 04-Mar-2021,,,1,-28.9577,167.8955,Short Msg Type 13?,,,216,89,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,05:49:56 07-Mar-2021,,,0,-29.1309,167.9521,CRC 30.129,01:06:06 07-Mar-2021,Status,67,208,165,245,40,151,20,175,115,132,97,151,59,240,17,88,224,71,242,7,231,193,150,,,,,,,,,
209115,209115,UT,09:31:22 10-Mar-2021,,,1,-29.0266,168.0808,CRC 7.4,09:31:22 10-Mar-2021,Status,87,123,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,09:32:28 13-Mar-2021,,,,,,CRC 15.14,09:32:28 13-Mar-2021,Status,15,5,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,12:48:41 13-Mar-2021,,,0,-28.9299,168.0036,CRC 243.175,12:50:51 13-Mar-2021,Status,94,112,165,245,40,151,20,175,118,179,44,214,152,9,75,12,225,158,247,5,229,138,10,,,,,,,,,
209115,209115,UT,12:49:26 13-Mar-2021,,,0,-28.9299,168.0036,CRC 15.4,,,15,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209115,209115,UT,10:05:46 16-Mar-2021,,,,,,CRC (both failed),,,42,77,136,21,236,215,192,5,119,7,119,119,119,119,119,30,166,176,7,119,7,119,119,119,0,119,119,119,119,119,51,
209115,209115,UT,19:12:42 16-Mar-2021,,,0,-28.9402,167.9704,CRC 56.167,16:00:26 20-Mar-2021,Status,71,16,133,241,34,242,124,99,58,64,6,136,127,92,172,102,127,18,103,15,144,130,128,,,,,,,,,
209115,209115,UT,11:19:13 17-Mar-2021,,,3,-28.9527,167.8507,CRC (both failed),,,42,14,41,246,255,248,7,132,16,71,100,84,79,192,68,231,253,143,166,123,134,165,200,200,31,31,65,3,189,192,156,
209115,209115,UT,11:54:17 20-Mar-2021,,,B,-28.8584,167.9528,CRC (both failed),,,42,78,64,174,238,14,110,101,191,93,201,105,113,29,71,177,31,44,114,174,196,63,118,147,255,208,221,236,141,242,83,
