Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5675,227991,3,SR, ,1,15-Feb-2022,07:04:56,,,,401650000,-138,,0,15-Feb-2022,07:04:56,,,,,,,,,,30,142,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP, ,2,15-Feb-2022,07:10:51,,,,401650000,-138,,0,15-Feb-2022,07:10:51,,,181,,,,,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP, ,2,15-Feb-2022,07:10:51,,,,401650000,-138,,0,15-Feb-2022,07:12:22,,,181,,,,,,,158,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP, ,2,15-Feb-2022,07:10:51,,,,401650000,-138,,0,15-Feb-2022,07:13:52,,,181,,,,,,,69,223,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NK,3,3,15-Feb-2022,08:03:15,-29.0395,167.9459,,401677650,-125,58,0,15-Feb-2022,08:00:15,-29.0395,167.9459,359,135,204,88,104,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NK,3,3,15-Feb-2022,08:03:15,-29.0395,167.9459,,401677650,-125,58,0,15-Feb-2022,08:01:45,-29.0395,167.9459,359,135,204,88,104,,,73,195,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NK,3,3,15-Feb-2022,08:03:15,-29.0395,167.9459,,401677650,-125,58,0,15-Feb-2022,08:03:16,-29.0395,167.9459,359,135,204,88,104,,,87,198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NK,3,3,15-Feb-2022,08:03:15,-29.0395,167.9459,,401677650,-125,58,0,15-Feb-2022,08:04:46,-29.0395,167.9459,359,135,204,88,104,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NK,3,3,15-Feb-2022,08:03:15,-29.0395,167.9459,,401677650,-125,58,0,15-Feb-2022,08:06:14,-29.0395,167.9459,359,135,204,88,104,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP,3,4,15-Feb-2022,08:49:49,-29.0399,167.9429,,401677653,-131,50,0,15-Feb-2022,08:46:50,-29.0399,167.9429,539,146,557,38,76,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP,3,4,15-Feb-2022,08:49:49,-29.0399,167.9429,,401677653,-131,50,0,15-Feb-2022,08:48:18,-29.0399,167.9429,539,146,557,38,76,,,74,204,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP,3,4,15-Feb-2022,08:49:49,-29.0399,167.9429,,401677653,-131,50,0,15-Feb-2022,08:49:48,-29.0399,167.9429,539,146,557,38,76,,,88,229,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP,3,4,15-Feb-2022,08:49:49,-29.0399,167.9429,,401677653,-131,50,0,15-Feb-2022,08:51:21,-29.0399,167.9429,539,146,557,38,76,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP,3,4,15-Feb-2022,08:49:49,-29.0399,167.9429,,401677653,-131,50,0,15-Feb-2022,08:52:51,-29.0399,167.9429,539,146,557,38,76,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP,3,4,15-Feb-2022,08:49:49,-29.0399,167.9429,,401677653,-131,50,1,15-Feb-2022,08:54:19,-29.0399,167.9429,539,146,557,38,76,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NP,3,4,15-Feb-2022,08:49:49,-29.0399,167.9429,,401677653,-131,50,0,15-Feb-2022,08:55:49,-29.0399,167.9429,539,146,557,38,76,,,65,203,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,23,MC,A,5,15-Feb-2022,09:11:16,-29.0359,167.9501,,401677651,-129,6,0,15-Feb-2022,09:09:17,-29.0359,167.9501,269,364,941,140,139,,,86,16,165,245,104,191,56,158,103,164,162,20,150,3,229,10,1,255,1,203,192,0,0,,,,,,,,,
5675,227991,3,MC,A,5,15-Feb-2022,09:11:16,-29.0359,167.9501,,401677651,-129,6,0,15-Feb-2022,09:10:47,-29.0359,167.9501,269,364,941,140,139,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,A,5,15-Feb-2022,09:11:16,-29.0359,167.9501,,401677651,-129,6,0,15-Feb-2022,09:13:46,-29.0359,167.9501,269,364,941,140,139,,,88,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MB,B,6,15-Feb-2022,10:01:00,-29.0422,167.9528,,401677654,-132,8,0,15-Feb-2022,10:00:15,-29.0422,167.9528,90,721,3387,153,72,,,93,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MB,B,6,15-Feb-2022,10:01:00,-29.0422,167.9528,,401677654,-132,8,0,15-Feb-2022,10:01:45,-29.0422,167.9528,90,721,3387,153,72,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,3,7,15-Feb-2022,10:49:39,-29.0399,167.9432,,401677656,-121,58,0,15-Feb-2022,10:46:40,-29.0399,167.9432,541,148,590,37,76,,,86,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,3,7,15-Feb-2022,10:49:39,-29.0399,167.9432,,401677656,-121,58,0,15-Feb-2022,10:48:09,-29.0399,167.9432,541,148,590,37,76,,,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,3,7,15-Feb-2022,10:49:39,-29.0399,167.9432,,401677656,-121,58,0,15-Feb-2022,10:49:39,-29.0399,167.9432,541,148,590,37,76,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,3,7,15-Feb-2022,10:49:39,-29.0399,167.9432,,401677656,-121,58,0,15-Feb-2022,10:51:09,-29.0399,167.9432,541,148,590,37,76,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,3,7,15-Feb-2022,10:49:39,-29.0399,167.9432,,401677656,-121,58,0,15-Feb-2022,10:52:39,-29.0399,167.9432,541,148,590,37,76,,,66,187,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,3,7,15-Feb-2022,10:49:39,-29.0399,167.9432,,401677656,-121,58,0,15-Feb-2022,10:54:11,-29.0399,167.9432,541,148,590,37,76,,,81,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,MC,3,7,15-Feb-2022,10:49:39,-29.0399,167.9432,,401677656,-121,58,0,15-Feb-2022,10:55:41,-29.0399,167.9432,541,148,590,37,76,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NN,3,8,15-Feb-2022,10:51:09,-29.0387,167.9464,,401677655,-125,56,0,15-Feb-2022,10:48:09,-29.0387,167.9464,362,130,220,76,78,,,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NN,3,8,15-Feb-2022,10:51:09,-29.0387,167.9464,,401677655,-125,56,0,15-Feb-2022,10:49:39,-29.0387,167.9464,362,130,220,76,78,,,12,1,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NN,3,8,15-Feb-2022,10:51:09,-29.0387,167.9464,,401677655,-125,56,0,15-Feb-2022,10:51:09,-29.0387,167.9464,362,130,220,76,78,,,30,142,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5675,227991,3,NN,3,8,15-Feb-2022,10:51:09,-29.0387,167.9464,,401677655,-125,56,0,15-Feb-2022,10:52:39,-29.0387,167.9464,362,130,220,76,78,,,66,187,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
