DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
228000,228000,UT,08:03:10 15-Feb-2022,Argos,3,-29.0390,167.9465,129,190,87,103,,,,,,
228000,228000,UT,08:03:10 15-Feb-2022,Argos,3,-29.0390,167.9465,129,190,87,103,,,,,,
228000,228000,UT,08:51:12 15-Feb-2022,Argos,A,-29.0401,167.9419,,,,,,,,,,
228000,228000,UT,09:10:55 15-Feb-2022,Argos,1,-29.0378,167.9481,508,888,290,175,,,,,,
228000,228000,UT,10:49:35 15-Feb-2022,Argos,A,-29.0402,167.9417,266,1605,44,86,,,,,,
228000,228000,UT,10:50:43 15-Feb-2022,Argos,3,-29.0385,167.9487,188,407,86,86,,,,,,
228000,228000,UT,05:28:34 24-Feb-2022,Argos,B,-29.0765,167.9713,6822,79469,585,132,,,,,,
228000,228000,UT,22:22:02 24-Feb-2022,Argos,1,-28.8063,167.9460,830,3650,188,106,,,,,,
228000,228000,UT,05:11:22 25-Feb-2022,Argos,A,-28.8186,167.8382,4877,44106,539,79,,,,,,
228000,228000,UT,05:12:11 25-Feb-2022,Argos,B,-28.8201,167.8332,1709,10562,276,79,,,,,,
228000,228000,UT,06:23:03 26-Feb-2022,Argos,0,-28.8431,167.9418,1889,53752,66,100,,,,,,
228000,228000,UT,06:28:33 26-Feb-2022,Argos,3,-28.8412,167.9255,147,245,87,107,,,,,,
228000,228000,UT,08:03:07 26-Feb-2022,Argos,1,-28.8459,167.8782,1302,4909,345,42,,,,,,
228000,228000,UT,08:18:09 26-Feb-2022,Argos,0,-28.8215,167.9221,2263,19103,268,89,,,,,,
228000,228000,UT,08:23:54 26-Feb-2022,Argos,0,-28.8295,167.9143,1909,3103,1174,125,,,,,,
228000,228000,UT,10:00:36 26-Feb-2022,Argos,1,-28.8074,167.8347,903,2628,310,119,,,,,,
228000,228000,UT,10:01:15 26-Feb-2022,Argos,A,-28.8119,167.8360,843,2242,317,109,,,,,,
228000,228000,UT,10:21:59 26-Feb-2022,Argos,A,-28.8118,167.8325,1018,5273,196,167,,,,,,
228000,228000,UT,10:28:11 26-Feb-2022,Argos,0,-28.8210,167.8340,1647,12456,217,63,,,,,,
228000,228000,UT,23:13:50 26-Feb-2022,Argos,B,-28.7556,167.5898,7570,9470,6050,121,,,,,,Lon > 4 deviations from mean
228000,228000,UT,08:02:05 27-Feb-2022,Argos,B,-28.8240,167.6934,8490,18176,3965,81,,,,,,Lon > 4 deviations from mean
228000,228000,UT,08:15:09 27-Feb-2022,Argos,0,-28.8402,167.7987,10237,152748,686,54,,,,,,
228000,228000,UT,11:38:34 27-Feb-2022,Argos,0,-28.7720,167.8756,13998,169903,1153,63,,,,,,
228000,228000,UT,11:55:42 27-Feb-2022,Argos,B,-28.7796,167.8613,7314,30967,1727,63,,,,,,
228000,228000,UT,09:18:22 28-Feb-2022,Argos,1,-28.8152,167.8351,624,1236,314,10,,,,,,
228000,228000,UT,13:15:12 28-Feb-2022,Argos,B,-28.8069,167.8364,7695,9338,6340,70,,,,,,
228000,228000,UT,12:40:25 01-Mar-2022,Argos,B,-28.7483,167.9161,10009,12844,7799,151,,,,,,
228000,228000,UT,13:03:10 01-Mar-2022,Argos,B,-28.7595,167.9145,3513,4875,2531,156,,,,,,
228000,228000,UT,10:46:08 02-Mar-2022,Argos,B,-28.6923,167.9252,5986,6264,5720,92,,,,,,
228000,228000,UT,11:18:14 02-Mar-2022,Argos,B,-28.8306,167.9257,27771,187625,4110,73,,,,,,
228000,228000,UT,12:51:50 02-Mar-2022,Argos,B,-28.8642,167.8367,5640,139801,227,126,,,,,,
228000,228000,UT,07:09:05 03-Mar-2022,Argos,1,-28.8393,167.8973,592,1052,333,94,,,,,,
228000,228000,UT,09:34:50 03-Mar-2022,Argos,0,-28.8652,167.8177,1667,9775,284,74,,,,,,
228000,228000,UT,07:09:18 04-Mar-2022,Argos,B,-28.9800,167.8724,7985,80740,789,27,,,,,,
228000,228000,UT,18:20:10 05-Mar-2022,Argos,B,-28.8847,167.8142,4514,36166,563,167,,,,,,
228000,228000,UT,18:20:10 05-Mar-2022,Argos,B,-28.9229,167.9471,4395,36493,529,56,,,,,,
228000,228000,UT,18:25:05 05-Mar-2022,Argos,3,-28.9967,167.8474,147,289,74,61,,,,,,
228000,228000,UT,07:20:10 06-Mar-2022,Argos,B,-29.0812,167.7495,3551,4277,2948,62,,,,,,
228000,228000,UT,10:30:24 06-Mar-2022,Argos,B,-28.9068,167.8211,5374,81587,354,55,,,,,,
228000,228000,UT,08:20:34 07-Mar-2022,Argos,B,-28.8178,167.8554,13944,69175,2810,52,,,,,,
228000,228000,UT,18:59:19 07-Mar-2022,Argos,B,-28.8540,167.8217,9114,18787,4421,65,,,,,,
228000,228000,UT,18:59:19 07-Mar-2022,Argos,B,-28.8589,167.8221,8134,14082,4697,69,,,,,,
