DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
253099,253099,0.500000,UT,,,09:11:07 06-Sep-2023,,3,-22.2763,166.4425,,,,,,,,,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:12:37 06-Sep-2023,,3,-22.2763,166.4425,,,,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:14:07 06-Sep-2023,,3,-22.2763,166.4425,,,,,,3.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,1.00b,,09:15:40 06-Sep-2023,,3,-22.2763,166.4425,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:17:10 06-Sep-2023,,3,-22.2763,166.4425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,7311
253099,253099,0.500000,UT,,,09:42:46 06-Sep-2023,,2,-22.2756,166.4406,,,,,,,,,22.10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:45:46 06-Sep-2023,,2,-22.2756,166.4406,,,,,,3.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:48:43 06-Sep-2023,,2,-22.2756,166.4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,7311
253099,253099,0.500000,UT,,,09:50:13 06-Sep-2023,,2,-22.2756,166.4406,,,,,,,,,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:51:41 06-Sep-2023,,2,-22.2756,166.4406,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:53:11 06-Sep-2023,,2,-22.2756,166.4406,,,,,,3.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,1.00b,,09:54:43 06-Sep-2023,,2,-22.2756,166.4406,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:56:13 06-Sep-2023,,3,-22.2759,166.4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,7311
253099,253099,0.500000,UT,,,09:57:43 06-Sep-2023,,3,-22.2759,166.4380,,,,,,,,,21.90,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,09:59:13 06-Sep-2023,,3,-22.2759,166.4380,,,,,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,,,10:00:42 06-Sep-2023,,3,-22.2759,166.4380,,,,,,3.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
253099,253099,0.500000,UT,1.00b,,10:02:12 06-Sep-2023,,3,-22.2759,166.4380,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,01:00:00 14-Jan-2024,,,
