"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",175011,5171,,,,,,,91,MB,,401650000,06/08/2019 12:22:37,1,3,0,-132,401650000,,,,,,,,,,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,,,,,,,91,MB,,401650000,06/08/2019 12:23:23,1,3,0,-132,401650000,,,,,,,,,,,,69,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,,,,,,,91,MB,,401650000,06/08/2019 12:24:08,1,3,0,-132,401650000,,,,,,,,,,,,85,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,-20.25646,148.70578,1,06/08/2019 12:43:42,Argos,0,181,MA,,401677662.93,06/08/2019 12:42:12,1,4,0,-128,401677662.93,148.70578,-20.25646,148.70578,-20.25646,60,0,1088,5309,222,156,3058,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,-20.25646,148.70578,1,06/08/2019 12:43:42,Argos,0,181,MA,,401677662.93,06/08/2019 12:42:57,1,4,0,-128,401677662.93,148.70578,-20.25646,148.70578,-20.25646,60,0,1088,5309,222,156,3058,67,241,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,,,,,,,45,MA,,401650000,06/08/2019 12:44:27,1,2,0,-128,401650000,,,,,,,,,,,,100,134,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,,,,,,,45,MA,,401650000,06/08/2019 12:45:13,1,2,0,-128,401650000,,,,,,,,,,,,10,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,-20.27001,148.80916,B,06/09/2019 12:20:40,Argos,0,45,MA,,401677633.49,06/09/2019 12:20:18,1,2,0,-133,401677633.49,148.80916,-20.27001,148.80916,-20.27001,0,3,2774,19103,402,80,7840,10,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,-20.27001,148.80916,B,06/09/2019 12:20:40,Argos,0,45,MA,,401677633.49,06/09/2019 12:21:04,1,2,0,-133,401677633.49,148.80916,-20.27001,148.80916,-20.27001,0,3,2774,19103,402,80,7840,22,75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",175011,5171,-20.2601,148.95023,B,06/11/2019 06:00:21,Argos,0,44,NP,,401677608.47,06/11/2019 05:59:59,1,2,0,-131,401677608.47,148.95023,-20.2601,148.95023,-20.2601,0,3,4871,33173,715,81,13777,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
