Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5171,178941,3,NP,A,2,23-Jun-2019,15:26:29,-26.6814,32.8945,,401677389,-125,6,0,23-Jun-2019,15:25:00,-26.6814,32.8945,178,,,,,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,NP,A,2,23-Jun-2019,15:26:29,-26.6814,32.8945,,401677389,-125,6,0,23-Jun-2019,15:26:30,-26.6814,32.8945,178,,,,,,,70,191,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,NP,A,2,23-Jun-2019,15:26:29,-26.6814,32.8945,,401677389,-125,6,0,23-Jun-2019,15:27:58,-26.6814,32.8945,178,,,,,,,84,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,SR,3,3,23-Jun-2019,15:49:00,-26.6797,32.8953,,401677391,-123,66,0,23-Jun-2019,15:45:35,-26.6797,32.8953,351,145,312,67,104,,,101,131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,SR,3,3,23-Jun-2019,15:49:00,-26.6797,32.8953,,401677391,-123,66,0,23-Jun-2019,15:47:04,-26.6797,32.8953,351,145,312,67,104,,,9,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,SR,3,3,23-Jun-2019,15:49:00,-26.6797,32.8953,,401677391,-123,66,0,23-Jun-2019,15:48:32,-26.6797,32.8953,351,145,312,67,104,,,22,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,SR,3,3,23-Jun-2019,15:49:00,-26.6797,32.8953,,401677391,-123,66,0,23-Jun-2019,15:51:26,-26.6797,32.8953,351,145,312,67,104,,,87,201,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,NK,3,4,23-Jun-2019,16:13:24,-26.6788,32.8964,,401677391,-130,56,0,23-Jun-2019,16:06:12,-26.6788,32.8964,695,167,189,147,85,,,85,83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,NK,3,4,23-Jun-2019,16:13:24,-26.6788,32.8964,,401677391,-130,56,0,23-Jun-2019,16:09:05,-26.6788,32.8964,695,167,189,147,85,,,9,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171,178941,3,NK,3,4,23-Jun-2019,16:13:24,-26.6788,32.8964,,401677391,-130,56,0,23-Jun-2019,16:11:59,-26.6788,32.8964,695,167,189,147,85,,,72,214,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
