DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
178946,178946,UT,09:19:19 07-Sep-2019,Argos,0,-20.2569,148.7585,2260,73680,69,77,,,,,,
178946,178946,UT,09:41:22 07-Sep-2019,Argos,B,-20.2664,148.7190,642,773,532,114,,,,,,
178946,178946,UT,10:24:34 07-Sep-2019,Argos,2,-20.2664,148.7062,335,1022,109,126,,,,,,
178946,178946,UT,10:52:50 07-Sep-2019,Argos,3,-20.2658,148.7115,139,150,127,176,,,,,,
178946,178946,UT,10:55:38 07-Sep-2019,Argos,B,-20.2656,148.7113,268,280,255,86,,,,,,
178946,178946,UT,10:59:11 07-Sep-2019,Argos,2,-20.2657,148.7124,253,1272,50,78,,,,,,
178946,178946,UT,11:22:36 07-Sep-2019,Argos,1,-20.2670,148.7034,555,6718,45,77,,,,,,
178946,178946,UT,12:08:43 07-Sep-2019,Argos,3,-20.2657,148.7123,140,444,44,74,,,,,,
178946,178946,UT,12:32:44 07-Sep-2019,Argos,B,-20.2700,148.7058,828,3645,188,70,,,,,,
178946,178946,UT,12:37:45 07-Sep-2019,Argos,B,-20.2700,148.7055,883,2657,293,70,,,,,,
178946,178946,UT,12:57:38 07-Sep-2019,Argos,B,-20.2717,148.7009,628,1603,246,122,,,,,,
178946,178946,UT,07:02:36 08-Sep-2019,Argos,3,-20.2595,148.9378,126,264,60,79,,,,,,
178946,178946,UT,07:02:36 08-Sep-2019,Argos,3,-20.2595,148.9378,126,264,60,79,,,,,,
178946,178946,UT,07:22:20 08-Sep-2019,Argos,3,-20.2590,148.9384,128,185,87,123,,,,,,
178946,178946,UT,08:43:46 08-Sep-2019,Argos,B,-20.2560,148.9404,1202,1329,1087,69,,,,,,
178946,178946,UT,08:53:03 08-Sep-2019,Argos,A,-20.2575,148.9414,238,1263,45,75,,,,,,
178946,178946,UT,08:59:58 08-Sep-2019,Argos,A,-20.2595,148.9409,312,1050,92,56,,,,,,
178946,178946,UT,10:33:27 08-Sep-2019,Argos,3,-20.2579,148.9425,241,584,99,121,,,,,,
178946,178946,UT,10:46:11 08-Sep-2019,Argos,3,-20.2584,148.9425,233,572,94,72,,,,,,
178946,178946,UT,11:02:31 08-Sep-2019,Argos,3,-20.2586,148.9375,138,218,86,72,,,,,,
