DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature
209945,209945,0.500000,UT,,,12:07:09 07-May-2021,,0,-20.1582,148.7791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:07:24 07-May-2021,,0,-20.1582,148.7791,,,,,,,,,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:07:39 07-May-2021,,0,-20.1582,148.7791,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:07:54 07-May-2021,,0,-20.1582,148.7791,,,,,,3.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:08:39 07-May-2021,,2,-20.2936,148.8279,,,,,,,,,26.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:08:54 07-May-2021,,2,-20.2936,148.8279,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:09:54 07-May-2021,,2,-20.2936,148.8279,,,,,,,,,25.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:10:09 07-May-2021,,2,-20.2936,148.8279,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:10:54 07-May-2021,,2,-20.2936,148.8279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:11:09 07-May-2021,,2,-20.2936,148.8279,,,,,,,,,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:11:24 07-May-2021,,2,-20.2936,148.8279,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:11:39 07-May-2021,,2,-20.2936,148.8279,,,,,,3.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,1.00b,,12:11:54 07-May-2021,,2,-20.2936,148.8279,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,12:13:41 07-May-2021,,2,-20.2936,148.8279,,,,,,,,,24.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:28:49 24-Sep-2021,,3,-20.1883,148.8435,,,,,,,,,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:29:04 24-Sep-2021,,3,-20.1883,148.8435,,,,,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:30:04 24-Sep-2021,,3,-20.1883,148.8435,,,,,,,,,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:30:19 24-Sep-2021,,1,-20.1684,148.9133,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:31:19 24-Sep-2021,,3,-20.1883,148.8435,,,,,,,,,23.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:31:34 24-Sep-2021,,3,-20.1883,148.8435,,,,,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:31:49 24-Sep-2021,,3,-20.1883,148.8435,,,,,,3.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:32:34 24-Sep-2021,,3,-20.1883,148.8435,,,,,,,,,22.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:32:49 24-Sep-2021,,3,-20.1883,148.8435,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,1.00b,,19:33:19 24-Sep-2021,,3,-20.1883,148.8435,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:33:34 24-Sep-2021,,3,-20.1883,148.8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:35:04 24-Sep-2021,,3,-20.1883,148.8435,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:36:35 24-Sep-2021,,3,-20.1883,148.8435,,,,,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:51:39 24-Sep-2021,,1,-20.1997,148.8891,,,,,,,,,20.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:53:09 24-Sep-2021,,1,-20.1997,148.8891,,,,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:54:40 24-Sep-2021,,1,-20.1997,148.8891,,,,,,3.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209945,209945,0.500000,UT,,,19:57:39 24-Sep-2021,,1,-20.1997,148.8891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
