DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
209946,209946,UT,DS,3,0,3,64,59,07:13:39 09-Mar-2022,SR,A,-18.1891,148.0813,-18.1891,148.0813,,,401677688,-130
209946,209946,UT,DS,6,0,2,63,15,08:18:56 09-Mar-2022,A1,1,-18.4072,147.7761,-14.9990,130.1863,50,,401677706,-129
209946,209946,UT,DS,2,0,2,52,52,09:34:39 09-Mar-2022,NP,B,-18.4466,147.7800,-18.4466,147.7800,8,,401677709,-126
209946,209946,UT,DS,1,0,1,,,09:59:00 09-Mar-2022,MC,B,-18.4506,147.7807,-18.4506,147.7807,6,,401677706,-135
209946,209946,UT,DS,1,0,1,,,13:17:20 09-Mar-2022,MC,B,-18.4915,147.7981,-18.4915,147.7981,8,,401677686,-126
209946,209946,UT,DS,3,0,0,142,97,10:18:19 13-Mar-2022,MC,A,-18.4907,147.8002,-18.4907,147.8002,,,401677722,-130
209946,209946,UT,DS,1,0,1,,,12:00:03 13-Mar-2022,MC,B,-18.4911,147.8002,-18.4911,147.8002,8,,401677719,-122
209946,209946,UT,DS,1,0,0,,,18:58:54 13-Mar-2022,A1,B,-18.4654,147.8102,-18.4654,147.8102,8,,401677731,-134
209946,209946,UT,DS,2,0,0,99,99,20:03:58 13-Mar-2022,NP,B,-18.4406,147.8237,-18.4406,147.8237,8,,401677698,-136
209946,209946,UT,DS,1,0,0,,,07:34:15 15-Mar-2022,SR,,,,,,,,401650000,
209946,209946,UT,DS,1,0,1,,,19:58:54 15-Mar-2022,SR,,,,,,,,401650000,
209946,209946,UT,DS,1,0,1,,,20:16:03 16-Mar-2022,NK,,,,,,,,401650000,-135
209946,209946,UT,DS,1,0,0,,,06:26:31 17-Mar-2022,SR,,,,,,,,401650000,-137
209946,209946,UT,DS,1,0,1,,,07:47:46 17-Mar-2022,A1,,,,,,,,401650000,-125
