DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
209946,209946,UT,07:13:05 09-Mar-2022,,,A,-18.1891,148.0813,CRC 6.4,07:13:05 09-Mar-2022,Status,86,255,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,07:14:14 09-Mar-2022,,,A,-18.1891,148.0813,CRC 14.11,,,110,134,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,07:15:13 09-Mar-2022,,,A,-18.1891,148.0813,CRC 5.7,07:15:13 09-Mar-2022,Status,21,28,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,08:16:00 09-Mar-2022,,,1,-18.4072,147.7761,CRC 7.13,08:16:00 09-Mar-2022,Status,71,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,08:16:48 09-Mar-2022,,,1,-18.4072,147.7761,CRC (both failed),,,40,141,0,238,238,238,238,238,238,238,238,230,238,238,238,54,178,26,224,67,2,241,224,102,219,92,36,216,190,64,175,
209946,209946,UT,09:34:14 09-Mar-2022,,,B,-18.4466,147.7800,CRC (both failed),,,40,140,224,238,238,238,238,238,238,238,238,79,206,63,188,13,161,31,33,84,224,1,143,104,173,140,26,175,93,90,215,
209946,209946,UT,09:35:06 09-Mar-2022,,,B,-18.4466,147.7800,CRC 15.7,09:35:06 09-Mar-2022,Status,15,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,09:59:01 09-Mar-2022,,,B,-18.4506,147.7807,CRC 12.13,09:59:01 09-Mar-2022,Status,92,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,13:17:20 09-Mar-2022,,,B,-18.4915,147.7981,CRC (both failed),,,40,140,224,238,233,153,51,51,51,38,100,76,201,147,19,25,51,118,100,205,251,56,155,52,72,78,110,105,147,102,204,
209946,209946,UT,12:00:04 13-Mar-2022,,,B,-18.4911,147.8002,CRC 159.35,12:09:43 13-Mar-2022,Status,83,240,165,245,40,150,214,125,118,176,154,212,82,41,25,14,1,18,40,196,12,48,195,,,,,,,,,
209946,209946,UT,19:58:54 15-Mar-2022,,,,,,CRC (both failed),,,40,141,192,239,176,222,167,51,130,156,45,202,12,170,90,182,103,1,171,173,39,234,190,9,137,61,238,11,207,190,17,
209946,209946,UT,20:16:03 16-Mar-2022,,,,,,CRC 14.2,20:16:03 16-Mar-2022,Status,30,11,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,07:47:46 17-Mar-2022,,,,,,CRC 14.0,07:47:46 17-Mar-2022,Status,30,142,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,13:12:41 17-Mar-2022,,,0,-18.4072,147.7343,CRC 13.0,13:12:41 17-Mar-2022,Status,13,5,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,22:49:51 17-Mar-2022,,,B,-18.3596,147.7271,CRC 23.135,22:59:45 17-Mar-2022,Status,66,240,165,245,40,150,214,125,120,219,187,86,148,42,219,14,1,95,26,214,211,220,49,,,,,,,,,
209946,209946,UT,22:13:28 19-Mar-2022,,,A,-18.5299,147.8718,CRC 0.12,22:13:28 19-Mar-2022,Status,80,193,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,20:35:55 20-Mar-2022,,,B,-18.3554,147.6230,CRC 15.12,,,127,231,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209946,209946,UT,22:57:53 24-Mar-2022,,,,,,CRC (both failed),,,40,142,224,238,238,238,238,238,238,250,205,238,249,57,217,236,20,166,254,20,170,102,124,64,106,47,154,22,223,240,0,
209946,209946,UT,10:03:09 28-Mar-2022,,,0,-18.8110,148.9201,CRC (both failed),,,40,143,32,238,238,224,224,14,238,238,253,157,142,138,198,229,137,144,130,68,126,30,25,138,146,151,123,4,4,16,63,
209946,209946,UT,07:43:11 11-Apr-2022,,,,,,CRC (both failed),,,40,144,192,238,238,238,238,238,239,238,206,111,233,186,221,1,143,200,14,83,161,214,129,83,47,205,167,135,129,214,34,
209946,209946,UT,06:50:58 14-Apr-2022,,,B,-19.1054,148.3391,CRC (both failed),,,40,144,224,238,174,211,189,219,108,97,110,108,55,33,209,57,63,94,75,108,8,248,192,116,111,1,240,133,66,97,60,
209946,209946,UT,06:50:58 14-Apr-2022,,,B,-19.0343,148.3399,CRC (both failed),,,40,144,224,238,252,237,24,78,77,155,79,94,60,95,103,52,178,231,31,245,47,222,195,15,76,145,31,81,119,209,4,
209946,209946,UT,06:54:23 14-Apr-2022,,,B,-19.0343,148.3399,CRC (both failed),,,40,145,96,224,238,238,238,238,238,238,238,238,238,238,224,100,57,87,80,255,104,233,48,42,221,93,14,104,25,4,5,
209946,209946,UT,12:09:10 15-Apr-2022,,,B,-18.6494,148.0813,CRC (both failed),,,51,148,96,3,56,89,49,165,244,81,135,5,200,169,239,240,47,12,226,31,255,255,255,255,255,255,128,59,255,255,232,
209946,209946,UT,10:30:09 16-Apr-2022,,,B,-18.4945,148.0228,CRC (both failed),,,40,145,224,239,249,183,244,246,204,20,159,31,192,56,114,168,247,141,77,224,48,240,16,126,99,203,200,106,119,10,212,
209946,209946,UT,20:00:58 02-May-2022,,,,,,CRC (both failed),,,40,147,96,238,206,253,58,58,27,38,57,186,2,19,128,24,204,25,131,193,201,206,30,31,251,244,16,28,243,41,200,
209946,209946,UT,20:36:02 02-May-2022,,,,,,CRC (both failed),,,40,147,160,238,238,238,238,238,238,236,238,110,238,174,238,14,147,165,40,27,0,0,0,4,20,210,14,144,197,75,55,
209946,209946,UT,21:57:18 02-May-2022,,,,,,CRC (both failed),,,40,16,98,232,55,182,39,220,81,251,14,35,95,80,232,139,158,238,66,43,224,176,225,41,236,224,31,255,255,255,252,
209946,209946,UT,06:09:05 08-May-2022,,,,,,CRC 207.203,18:23:53 06-May-2022,Status,89,240,165,244,40,150,223,232,115,73,125,87,42,125,5,249,231,141,216,175,71,208,202,,,,,,,,,
209946,209946,UT,21:19:17 08-May-2022,,,B,-20.4830,148.9196,CRC (both failed),,,40,148,224,238,238,236,166,204,22,203,100,72,15,43,159,237,66,220,20,74,146,26,201,155,214,207,17,29,205,1,17,
209946,209946,UT,21:20:06 08-May-2022,,,B,-20.4830,148.9196,CRC (both failed),,,40,148,192,238,238,238,238,234,230,110,238,238,99,66,164,143,210,161,100,49,158,8,16,143,229,176,123,47,165,134,96,
209946,209946,UT,21:54:14 11-May-2022,,,,,,CRC (both failed),,,40,149,64,238,238,238,238,232,136,120,125,82,26,156,131,161,40,169,100,246,14,59,217,113,231,102,30,12,151,160,203,
