DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
209946,209946,UT,07:13:39 09-Mar-2022,Argos,A,-18.1891,148.0813,33242,525220,2103,72,,,,,,
209946,209946,UT,08:18:56 09-Mar-2022,Argos,1,-18.4072,147.7761,1035,1601,668,23,,,,,,
209946,209946,UT,09:34:39 09-Mar-2022,Argos,B,-18.4466,147.7800,7313,41016,1304,85,,,,,,
209946,209946,UT,09:59:00 09-Mar-2022,Argos,B,-18.4506,147.7807,8469,17205,4168,84,,,,,,
209946,209946,UT,13:17:20 09-Mar-2022,Argos,B,-18.4915,147.7981,2152,2761,1677,68,,,,,,
209946,209946,UT,10:18:19 13-Mar-2022,Argos,A,-18.4907,147.8002,367,1361,99,172,,,,,,
209946,209946,UT,12:00:03 13-Mar-2022,Argos,B,-18.4911,147.8002,1421,1447,1395,115,,,,,,
209946,209946,UT,18:58:54 13-Mar-2022,Argos,B,-18.4654,147.8102,2686,4193,1720,106,,,,,,
209946,209946,UT,20:03:58 13-Mar-2022,Argos,B,-18.4406,147.8237,2786,7592,1022,109,,,,,,
209946,209946,UT,13:14:50 17-Mar-2022,Argos,0,-18.4072,147.7343,2566,36576,180,66,,,,,,
209946,209946,UT,22:49:51 17-Mar-2022,Argos,B,-18.3596,147.7271,10486,15446,7118,81,,,,,,
209946,209946,UT,23:18:55 17-Mar-2022,Argos,B,-18.1995,147.3290,12154,13219,11175,79,,,,,,
209946,209946,UT,10:11:23 18-Mar-2022,Argos,B,-18.2564,147.4063,22804,102875,5054,100,,,,,,
209946,209946,UT,09:13:41 19-Mar-2022,Argos,B,-18.4117,147.8809,8573,15197,4836,113,,,,,,
209946,209946,UT,22:15:15 19-Mar-2022,Argos,A,-18.5299,147.8718,864,3107,240,128,,,,,,
