Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
7495,209946,3,SR,A,1,09-Mar-2022,07:13:39,-18.1891,148.0813,,401677688,-130,,0,09-Mar-2022,07:13:05,-18.1891,148.0813,128,33242,525220,2103,72,,,86,255,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209946,3,SR,A,1,09-Mar-2022,07:13:39,-18.1891,148.0813,,401677688,-130,,0,09-Mar-2022,07:14:14,-18.1891,148.0813,128,33242,525220,2103,72,,,110,134,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209946,3,SR,A,1,09-Mar-2022,07:13:39,-18.1891,148.0813,,401677688,-130,,0,09-Mar-2022,07:15:13,-18.1891,148.0813,128,33242,525220,2103,72,,,21,28,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209946,3,A1,1,2,09-Mar-2022,08:18:56,-18.4072,147.7761,,401677706,-129,50,0,09-Mar-2022,08:16:00,-14.9990,130.1863,319,1035,1601,668,23,,,71,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209946,31,A1,1,2,09-Mar-2022,08:18:56,-18.4072,147.7761,,401677706,-129,50,0,09-Mar-2022,08:16:48,-14.9990,130.1863,319,1035,1601,668,23,,,40,141,0,238,238,238,238,238,238,238,238,230,238,238,238,54,178,26,224,67,2,241,224,102,219,92,36,216,190,64,175,
7495,209946,31,A1,1,2,09-Mar-2022,08:18:56,-18.4072,147.7761,,401677706,-129,50,0,09-Mar-2022,08:18:20,-14.9990,130.1863,319,1035,1601,668,23,,,40,140,224,238,238,238,238,238,238,238,238,238,238,238,238,39,140,224,2,7,15,78,149,115,76,74,155,255,0,0,238,
7495,209946,3,A1,1,2,09-Mar-2022,08:18:56,-18.4072,147.7761,,401677706,-129,50,0,09-Mar-2022,08:20:27,-14.9990,130.1863,319,1035,1601,668,23,,,94,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209946,3,A1,1,2,09-Mar-2022,08:18:56,-18.4072,147.7761,,401677706,-129,50,0,09-Mar-2022,08:20:42,-14.9990,130.1863,319,1035,1601,668,23,,,107,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209946,3,A1,1,2,09-Mar-2022,08:18:56,-18.4072,147.7761,,401677706,-129,50,0,09-Mar-2022,08:21:19,-14.9990,130.1863,319,1035,1601,668,23,,,15,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,209946,31,NP,B,3,09-Mar-2022,09:34:39,-18.4466,147.7800,,401677709,-126,8,0,09-Mar-2022,09:34:14,-18.4466,147.7800,52,7313,41016,1304,85,,,40,140,224,238,238,238,238,238,238,238,238,79,206,63,188,13,161,31,33,84,224,1,143,104,173,140,26,175,93,90,215,
