DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
41821,41821,UT,07:45:30 02-Jul-2019,,,,,,CRC 15.229,02:22:46 02-Jul-2019,Status,65,240,3,191,255,171,113,51,97,9,107,182,254,23,244,207,188,66,230,72,108,196,164,,,,,,,,,
41821,41821,UT,09:23:33 05-Jul-2019,,,2,-19.7157,148.8054,CRC 228.208,19:29:43 02-Jul-2019,Status,92,144,211,76,73,36,40,177,161,77,218,198,208,8,87,171,23,111,165,89,119,47,28,,,,,,,,,
41821,41821,UT,07:44:56 13-Jul-2019,,,B,-20.2590,149.4094,CRC 20.181,07:43:24 13-Jul-2019,Status,66,144,131,220,104,5,221,148,70,158,182,23,84,5,175,8,33,141,31,206,32,255,128,,,,,,,,,
41821,41821,UT,08:08:17 02-Sep-2019,,,,,,CRC 15.5,08:08:17 02-Sep-2019,Status,111,131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,11:32:58 28-Sep-2019,,,,,,CRC 4.15,11:32:58 28-Sep-2019,Status,68,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,07:55:15 08-Oct-2019,,,,,,CRC 13.7,07:55:15 08-Oct-2019,Status,93,84,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,07:54:34 20-Oct-2019,,,,,,CRC 12.10,07:54:34 20-Oct-2019,Status,76,93,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,07:58:06 20-Oct-2019,,,,,,CRC 231.136,07:58:41 28-Oct-2019,Status,92,240,131,220,104,5,221,148,94,31,170,125,212,237,86,34,157,185,176,70,127,9,152,,,,,,,,,
41821,41821,UT,19:05:44 21-Oct-2019,,,,,,CRC 5.3,19:05:44 21-Oct-2019,Status,69,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,23:07:12 21-Oct-2019,,,,,,,,,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,06:35:51 24-Oct-2019,,,,,,CRC 10.9,06:35:51 24-Oct-2019,Status,10,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,22:57:46 11-Nov-2019,,,,,,CRC 164.43,22:57:46 11-Nov-2019,Status,84,138,20,233,66,52,118,166,24,15,99,252,42,188,250,184,44,130,187,102,164,152,146,,,,,,,,,
41821,41821,UT,06:10:50 12-Nov-2019,,,,,,CRC 235.223,06:00:17 12-Nov-2019,Status,93,113,131,76,104,5,221,148,70,24,4,85,18,10,85,0,1,97,29,212,64,255,128,,,,,,,,,
41821,41821,UT,21:46:28 18-Nov-2019,,,,,,CRC 7.2,21:46:28 18-Nov-2019,Status,23,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,18:41:31 05-Jan-2020,,,,,,CRC 93.83,18:41:31 05-Jan-2020,Status,75,176,131,220,104,5,221,148,64,26,59,196,221,71,220,124,35,247,101,146,95,202,151,,,,,,,,,
41821,41821,UT,21:11:30 06-Feb-2020,,,,,,CRC 223.218,21:08:10 06-Feb-2020,Status,91,240,131,220,104,5,221,148,67,84,130,149,208,12,173,248,1,255,31,213,32,146,128,,,,,,,,,
41821,41821,UT,10:53:59 17-Feb-2020,,,,,,CRC 10.7,,,138,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,07:31:33 15-Mar-2020,,,,,,CRC 6.12,07:31:33 15-Mar-2020,Status,22,75,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,12:15:20 15-Mar-2020,,,,,,CRC 10.2,12:15:20 15-Mar-2020,Status,74,10,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,19:46:51 15-Mar-2020,,,,,,CRC 92.103,19:43:11 15-Mar-2020,Status,75,144,131,220,104,5,221,148,71,206,178,214,85,195,129,179,69,6,22,67,95,231,217,,,,,,,,,
41821,41821,UT,08:45:32 19-Mar-2020,,,,,,CRC 56.149,02:05:33 17-Mar-2020,Status,71,16,147,220,114,45,21,0,40,136,88,87,24,245,189,136,16,237,24,158,52,38,149,,,,,,,,,
41821,41821,UT,10:51:02 31-Mar-2020,,,,,,CRC 228.15,21:28:45 14-Mar-2020,Status,92,128,162,159,74,132,148,84,114,72,178,103,134,117,92,180,97,188,103,0,143,179,155,,,,,,,,,
41821,41821,UT,09:57:00 03-Apr-2020,,,,,,CRC 8.13,09:57:00 03-Apr-2020,Status,88,157,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,13:05:11 03-Apr-2020,,,,,,CRC 9.12,13:05:11 03-Apr-2020,Status,73,242,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,21:40:01 03-Apr-2020,,,,,,CRC 8.4,,,136,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,18:53:29 24-Jun-2020,,,1,-26.2709,174.5221,CRC 43.232,18:48:59 24-Jun-2020,Status,69,112,131,220,104,5,221,148,76,75,14,217,210,19,30,246,5,129,226,39,210,243,255,,,,,,,,,
41821,41821,UT,18:53:29 24-Jun-2020,,,,,,CRC 43.209,19:48:59 24-Jun-2020,Status,69,112,131,220,104,5,221,148,76,79,14,217,210,19,30,246,1,255,29,220,48,146,0,,,,,,,,,
41821,41821,UT,06:28:28 22-Sep-2020,,,,,,CRC 10.9,06:28:28 22-Sep-2020,Status,10,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,07:04:06 26-Oct-2020,,,,,,CRC 86.103,03:09:02 12-Oct-2020,Status,74,208,152,31,26,54,195,123,22,12,144,153,15,52,202,94,56,211,122,6,102,200,186,,,,,,,,,
41821,41821,UT,18:53:52 14-Dec-2020,,,,,,CRC 2.0,,,114,164,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41821,41821,UT,07:20:19 16-Feb-2021,,,,,,CRC 228.248,17:51:14 24-Feb-2021,Status,92,145,238,73,68,176,82,46,28,71,51,182,58,241,15,247,47,220,233,64,37,194,161,,,,,,,,,
41821,41821,UT,08:49:28 02-Mar-2021,,,,,,CRC 8.11,08:49:28 02-Mar-2021,Status,40,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
